"Topic = ""H&S VRBO Model - REF"">>Topic = ""Injury"""
Date exported: 06/02/23
Exported by user: mclifford@expediagroup.com
Classification: H&S VRBO Model - REF
Report type: Topics Volume Report
Project: Expedia
Date range: from 22/01/23 to 06/02/23
Date filter: 23/01/2023 - 06/02/2023
Topic path: H&S VRBO Model - REF-->Injury
Sentiment Filter: All sentences
Matched: 74 sentences
"Injury Rule #1: [ LEVEL:SENTENCE TYPE:KEYWORD {_catRef:[model:""H&S VRBO Model - Dutch"" path:""root"" node:""Injury""], _catRef:[model:""H&S VRBO Model - English"" path:""root"" node:""Injury""], _catRef:[model:""H&S VRBO Model - French"" path:""root"" node:""Injury""], _catRef:[model:""H&S VRBO Model - German"" path:""root"" node:""Injury""], _catRef:[model:""H&S VRBO Model - Italian"" path:""root"" node:""Injury""], _catRef:[model:""H&S VRBO Model - Japanese"" path:""root"" node:""Injury""], _catRef:[model:""H&S VRBO Model - Portuguese"" path:""root"" node:""Injury""], _catRef:[model:""H&S VRBO Model - Portuguese (Brazil)"" path:""root"" node:""Injury""], _catRef:[model:""H&S VRBO Model - Swedish"" path:""root"" node:""Injury""], _catRef:[model:""H&S VRBO Model - Spanish"" path:""root"" node:""Injury""], _catRef:[model:""H&S VRBO Model - Danish"" path:""root"" node:""Injury""], }]"
"H&S VRBO Model - REF Rule #2: [ LEVEL:SENTENCE TYPE:KEYWORD {HR_TSPID:""83""}] [ LEVEL:SENTENCE TYPE:AND_KEYWORD {_language:dutch, _language:english, _language:french, _language:german, _language:italian, _language:japanese, _language:portuguese, _language:portuguese(brazil), _language:spanish, _language:swedish, _language:danish, _languagedetected:danish, _language:""greek (modern)""}]"
NaturalId,SentenceId,Source,ADM_EXPEDIAHOTELID,CB Date of Creation,Document Date,HA_HOTELNAME,HR_DISPLAYLOCALE,HR_TSPID,REVIEW_TITLE,Sentence,VerbatimType,Verbatim
63cf15f6d4eb593cabed26b2,8176611993,NOT SPECIFIED,27046733,1674515967595,23/01/2023 23:19:17 CST,"lake views, pet friendly w/hot tub, bbq, fireplace, decks, 5 levels (hnc0693)",en_us,83,don’t stay here!!,"I called manager to clear the ice dam that was blocking front door, which they refused to do even after I calling to tell them I fell and broke my ankle.",HR_REVIEWTEXT,"Wonderful view, TERRIBLE CUSTOMER SERVICE. House is more than 120 yards from the parking lot….it was not shoveled the entire time we stayed here. I called manager to clear the ice dam that was blocking front door, which they refused to do even after I calling to tell them I fell and broke my ankle. 
My husband ended up shoveling the walkway, three times. There is a terrible neighbor who yelled at us in the parking lot two days in a row. On our last day, he threatened to hit my husband with a ski pole. 
On top of the ice damn and no snow removal, the front deck was covered in dog poop. I asked the manager if they could clean it up, which they refused to do. We paid more than $10k for the time we rented this property, so hopefully you can understand our frustration. We will definitely NOT be back."
63dd6f20b8dff00b006c4d20,8181058895,NOT SPECIFIED,84050381,1675456297683,03/02/2023 20:31:28 CST,close to downtown & bishop arts! 2 king & office!,en_us,83,"convenient, clean, and quiet",• The leg on the couch was broken.,HR_REVIEWTEXT,"The property for the most part was great! I've listed a few things below that were not up to par:
• The listing said there was a coffee maker but there was no coffee maker.
• The outlets in both bathrooms did not work.
• The door in one of the bathrooms was off the hinge.
• There were not enough blankets for the beds. I would recommend putting extra blankets in the closets for use if guests want extra blankets.
• The leg on the couch was broken.
• There was no WiFi and if there was, there were no clear instructions on how to connect."
63dfbd70d9a0ad15d0e05ad3,8181767573,NOT SPECIFIED,50558942,1675607440438,05/02/2023 14:30:07 CST,luxury 5 single family  with private pool 13 guests - private pool - 2751 bm,en_us,83,perfect location,"The kitchen table has a sharp metal piece on the under side that I cut my leg on twice, we then put a bandaid over the metal.",HR_REVIEWTEXT,"Overall our stay was fine. There were some things that need improvement. The location in proximity to stores and disney world parks is perfect. It is a little farther from the pool area than we usually prefer. This is a very large complex.
They did provide a pack n play and kids dishes which was great. However there is not 1 single pan to be used in the oven. This house has 5 bedrooms with atleast 1 themed for children, children who typically love fries and chicken nuggets, we need a baking pan.
Also, the kitchen table and coffee table are not kid friendly. They are glass with pointy corners.
The kitchen table has a sharp metal piece on the under side that I cut my leg on twice, we then put a bandaid over the metal.
There are lots of dirt and markings over the walls, not a game changer but aesthically displeasing.
There are a few light bulbs that need to be changed. The lights would turn on and then flicker off after 20 minutes. 
The pool table sticks had broken tips.
The most annoying thing about staying here is that there is terrible cell service so wifi is a necessity. Well the wifi did not work for the first 3 days. I was able to contact someone when we left the house but then did not receive the response until the next day due to no service. When the company came to fix it they told us it's known that cell service here is terrible. 
Since we stayed here for our disney vacation I had to get up early to go to Starbucks down the rode 3 mornings in a row to book genie +, this was highly frustrating.
Overall, the house for the price was a bit disappointing but once the wifi was fixed it served its purpose for sleeping there while enjoying the parks. There are a lot of little things that need to taken care of."
63d76265807210288110b597,8179345338,NOT SPECIFIED,75807954,1675059838719,30/01/2023 06:23:33 CST,river retreat on golf course and a block from river,en_us,83,perfect weelender,There were a couple chairs that the legs were a bit broken but no issue.,HR_REVIEWTEXT,"The house was great overall. We enjoyed our stay. There was a learning curve to using the cooktop but that was part of the adventure. 
There were a couple chairs that the legs were a bit broken but no issue. We would definitely stay again. Great space and great house. The fireplace was nice"
63dee93b2efa1f669091a27c,8181503644,NOT SPECIFIED,18973875,1675553093901,04/02/2023 23:24:43 CST,"city haven iii:  blocks to zoo, groceries, downtown bus with parking",en_us,83,wonderful stay,I banged my head a couple of times not thinking but it was not a big deal in the grand scheme of things.,HR_REVIEWTEXT,"The location of the property was perfect for us as we were 5 mins away from where we need to be during the week. 

Our host from the onset was very communicative and quick to respond. The apartment had been cleaned early and she reached out to let us know we could check in early even though we didn't ask for it so that was a nice touch, pity we weren't in town yet. 

The apartment was accurate according to the listing and nothing was not a surprise to us which is always nice.

I would say that if you are a tall person (6' 3""), like myself, I would just be a little wary as the ceilings are lower than usual apartments. The issue really wasn't the ceiling in my case, it was the door frames. I banged my head a couple of times not thinking but it was not a big deal in the grand scheme of things.

The bathroom was clean and had plenty of body wash, shampoo and conditioner which was nice to have. 

I would recommend the host to add aluminum foil in the apartment because one day we made frozen pizzas in the oven and as the tray provided had gaps in it we had a little bit of a crumb cleanup because it was impossible to prevent crumbs falling through. 

Parking at the property was very convenient with a caveat. Parking is in the alley way where it's super tight. With a passenger van it's a tight squeeze and you have to be super careful not to not anything. 

Overall, it was a great stay hence the 5 star rating. Thank you for a lovely stay. Would certainly recommend to anyone."
63d67ca8cfe3784bbf79df9a,8179041860,NOT SPECIFIED,18977476,1675001010053,29/01/2023 14:03:19 CST,enjoy views from the brand new hot tub,en_us,83,stay,Also I am the future the blind swings open when you open the upstairs door it cut my leg.,HR_REVIEWTEXT,The only problem we had was the television in the downstairs living room didn’t work and no smoke detectors on the downstairs. Also I’m the future the blind swings open when you open the upstairs door it cut my leg. But over all we loved it
63d7ea3963bc34179c43681b,8179434716,NOT SPECIFIED,21702812,1675094646887,30/01/2023 16:03:05 CST,secluded smoky mountain log cabin rental between pigeon forge and gatlinburg,en_us,83,great stay,"The only concern I have is the stairs outside, they were very slippery and I took a fall from the top all the way down.",HR_REVIEWTEXT,"This was a perfect getaway! The cabin was clean and comfortable, they allowed our dogs! The only concern I have is the stairs outside, they were very slippery and I took a fall from the top all the way down. I would recommend to put some gripping tape on them. Other than that it was perfect!"
63dbf08d25406b328bff1fc4,8180655105,NOT SPECIFIED,88657794,1675358358997,02/02/2023 17:19:09 CST,"gorgeously updated hillside home with private hot tub, firepit & mountain view",en_us,83,nice house but safety / construction issues,there were exposed staples which cut my friends foot as she was doing down,HR_REVIEWTEXT,"Moose tracks is a really nice rental, with newer finishes, ample room, and beautiful amenities. It’s well maintained and clean. 

However, since it looks like it’s a new construction, we had a couple of issues. One is that on the stairs going down to the basement, there were exposed staples which cut my friends foot as she was doing down. I sent pictures to the Vacasa host but no real response and it wasn’t taken care of. This is a safety hazard. The second, and less important, issue was that the hot tub wasn’t properly working. We were able to
Resolve this with help from the Vacasa team but took a long time and we couldn’t use the tub.

Overall, nice house but with some issues."
63dee3ee5a6c602f6545379c,8181502692,NOT SPECIFIED,32108717,1675551807968,04/02/2023 23:02:06 CST,from luxurycozumel collection - architectural lovers dream retreat!,en_us,83,great stay marred by safety issue,"Unfortunately, one of the lasting memories of our stay were two of my family members injuring themselves on a missing step on the path into the water.",HR_REVIEWTEXT,"Overall - we enjoyed our stay at the Villa. It's a beautiful property. We also hired chefs through Sandra's kitchen which made for a comfortable eating experience. Most of the bedrooms had a mildew smell, which I suppose is understandable in a tropical environment. Unfortunately, one of the lasting memories of our stay were two of my family members injuring themselves on a missing step on the path into the water. One family member bloodied up his lower leg badly and another family member ended up falling and hitting her head and chest. It has been two weeks since our stay and unfortunately her chest pains are still there. I've notified the property manager of the issue so I hope it won't affect future guests."
63d02fdcd207d93602109433,8177012815,NOT SPECIFIED,73755279,1674588211814,24/01/2023 19:20:52 CST,"beautiful home with fireplace, hot tub, free wifi, pool table  & mountain views",en_us,83,gorgeous house but cleanliness and amenities of property were lacking,Downstairs shower needs an anti slip mat as my friend fell while showering and had to leave to seek medical attention on my 40th Birthday.,HR_REVIEWTEXT,Mattresses were all hard as a rock. My back hurt after the first night. 1 TV in all of the house. No access to master closet so had to hang my clothes in one of the other rooms. The owner should at least provide a rolling rack. Extra pillows were stored under the bed on the floor. Found crumbs and pills in corner of floor in kitchen. Thank geez we didn't have infants or toddlers with us. I swept so much debris from under fridge and stove. Kitchen appliances are the cheapest of the cheap. Master bathroom lights and outlets went out 2 days into trip and I contacted Vacasa but they never responded. Downstairs shower needs an anti slip mat as my friend fell while showering and had to leave to seek medical attention on my 40th Birthday. Checkout time is 10am but cleaners were sitting outside the house before then causing me and my daughter to stress about having to pack up by ourselves since our friends had to leave. My friend found a booger on her comforter in the downstairs bedroom so not sure how often it is cleaned between guests. Spa needed to be filled with water but there were no instructions on how to do that. With heavy snow the entire trip the driveway wasn't plowed once and the street the house was on wasn't plowed on Sunday making it difficult to get to since the house is uphill. The house is gorgeous but we just had too many issues with our stay for the amount of money it cost. We were there to spend my 40th Birthday together and it ended on a bad note.
