"Topic = ""H&S VRBO Model - REF"">>Topic = ""Window"""
Date exported: 06/02/23
Exported by user: mclifford@expediagroup.com
Classification: H&S VRBO Model - REF
Report type: Topics Volume Report
Project: Expedia
Date range: from 22/01/23 to 06/02/23
Date filter: 23/01/2023 - 06/02/2023
Topic path: H&S VRBO Model - REF-->Window
Sentiment Filter: All sentences
Matched: 46 sentences
"Window Rule #1: [ LEVEL:SENTENCE TYPE:KEYWORD {_catRef:[model:""H&S VRBO Model - Dutch"" path:""root"" node:""Window""], _catRef:[model:""H&S VRBO Model - English"" path:""root"" node:""Window""], _catRef:[model:""H&S VRBO Model - French"" path:""root"" node:""Window""], _catRef:[model:""H&S VRBO Model - German"" path:""root"" node:""Window""], _catRef:[model:""H&S VRBO Model - Italian"" path:""root"" node:""Window""], _catRef:[model:""H&S VRBO Model - Japanese"" path:""root"" node:""Window""], _catRef:[model:""H&S VRBO Model - Portuguese"" path:""root"" node:""Window""], _catRef:[model:""H&S VRBO Model - Portuguese (Brazil)"" path:""root"" node:""Window""], _catRef:[model:""H&S VRBO Model - Swedish"" path:""root"" node:""Window""], _catRef:[model:""H&S VRBO Model - Spanish"" path:""root"" node:""Window""], _catRef:[model:""H&S VRBO Model - Danish"" path:""root"" node:""Window""], }]"
"H&S VRBO Model - REF Rule #2: [ LEVEL:SENTENCE TYPE:KEYWORD {HR_TSPID:""83""}] [ LEVEL:SENTENCE TYPE:AND_KEYWORD {_language:dutch, _language:english, _language:french, _language:german, _language:italian, _language:japanese, _language:portuguese, _language:portuguese(brazil), _language:spanish, _language:swedish, _language:danish, _languagedetected:danish, _language:""greek (modern)""}]"
NaturalId,SentenceId,Source,ADM_EXPEDIAHOTELID,CB Date of Creation,Document Date,HA_HOTELNAME,HR_DISPLAYLOCALE,HR_TSPID,REVIEW_TITLE,Sentence,VerbatimType,Verbatim
63ce5760d4eb593cab6ba05e,8176359638,NOT SPECIFIED,38166713,1674467203856,23/01/2023 09:46:08 CST,flat area noble guaruja area,pt_br,83,custo benefício,"Estadia com localização perfeita, já fiquei neste imóvel antes, mas achei que desta vez estava faltando alguns ajuste, bem como uma das televisão, porta de banheiro quebrada, janela quebrada, precisa de manutenção, tirando isto o resto está tudo muito bom, inclusive o Thiago muito atencioso.",HR_REVIEWTEXT,"Estadia com localização perfeita, já fiquei neste imóvel antes, mas achei que desta vez estava faltando alguns ajuste, bem como uma das televisão, porta de banheiro quebrada, janela quebrada, precisa de manutenção, tirando isto o resto está tudo muito bom, inclusive o Thiago muito atencioso."
63d07a186f905d6c1043af3e,8177114802,NOT SPECIFIED,71948759,1674607140047,25/01/2023 00:38:48 CST,the log cabin (1 min to beach),en_au,83,disappointing!,· Every window blind in the house was broken and would not function properly.,HR_REVIEWTEXT,"· Although it did not have air-conditioning, there is insufficient fans to cool the property adequately. Three rusty old fans were an insufficient source of cooling – the house felt was extremely uncomfortable on warmer days/nights.
· No window screens on the majority of windows. To cool the property it was necessary to open windows. This caused security concerns and also allowed insects into the property.
· Every window blind in the house was broken and would not function properly.
· Security screen doors could not be locked causing further security issues.
· No storage area to store bikes etc unless they were brought inside although, due to no functioning security screens and the requirement to leave windows open (with no screens) security of bikes etc was a concern.
· Backyard unsuitable for children to play in – zero shade
· Back deck unsafe and in need repair/re-build – exposed nails extremely deteriorated timbers.
· Lattice around back deck is rotten and falling apart – our dog kept going under the deck which caused some issues leaving toys etc underneath.
· The bunk beds swayed and did not feel structurally safe.
· Advertisement states the house is “basic” and “humble” – This is an strong understatement!
· Fantastic fridge – the kids loved the ice maker.
None of the photos on the website show what state the property is actually in. Very disappointing."
63cf21389652041a170c3c44,8176632864,NOT SPECIFIED,34340485,1674518850303,24/01/2023 00:07:20 CST,full gulf-front condo - book now for fall and next year!,en_us,83,disappointed,"Doors hanging on hinges, bathroom fixtures falling off, furniture scratched, dirty and kind of cheap, broken window blinds, hard beds, suspicious stains on one of the only 2 beach chairs.",HR_REVIEWTEXT,"The location of this property was great. Right on the beach with a heated pool down below. Close to good restaurants and shopping. But the unit itself was sadly lacking in care. Doors hanging on hinges, bathroom fixtures falling off, furniture scratched, dirty and kind of cheap, broken window blinds, hard beds, suspicious stains on one of the only 2 beach chairs. And it needed a thorough deep clean. I had booked the place for myself and four friends and was somewhat embarrassed. I will definitely not go back. There are other rentals in the same building that looked kind of nice if you can figure out which they are."
63cf1e2cf8d4d46cda90e18b,8176632075,NOT SPECIFIED,33486149,1674518070619,23/01/2023 23:54:20 CST,luxury home in gated community steps from kailua beach,en_us,83,location!,"Yes, the home needs a little spiffing up, carpets are pretty dirty, some window screens broken;",HR_REVIEWTEXT,"This was our family’s second trip to this home and we have booked for next year. 
It is simply the best rental when entertaining little ones to seniors. 
The kitchen had everything we needed to cook most meals, the lanai and pool area offered hours of fun and the location near beautiful beaches is a great plus. 
Yes, the home needs a little spiffing up, carpets are pretty dirty, some window screens broken; however, our family can easily overlook those little details and focus on all the great amenities of this home. 
Thank you for sharing your home."
63d8a3b5a90e2f1d927cf224,8179688603,NOT SPECIFIED,78386964,1675142080630,31/01/2023 05:14:29 CST,private hottub/shuttle-amazing slope views-dog friendly home steps 2 park w/-3 ensuites-decks-garage,en_us,83,"disjointed, not cozy. dirty!",The windows had large orange stickers on them saying that there were broken windows that needed replacing.,HR_REVIEWTEXT,"The fireplace didn’t work. The windows had large orange stickers on them saying that there were broken windows that needed replacing. Couldn’t open curtains to enjoy viewing the snow because there were large orange stickers in the center of them. Upon initial walk through, after 15 hour drive we noticed the first cups we grabbed to make a tea had spaghetti sauce on the rims. A spatula had cooked egg on it. 2 blue throw pillows placed on top of made bed had human fluid looking substance dried on them. I photographed these, the dents on the fridge and chewed corners on stairs so they wouldn’t be blamed on my pets or us. We were only 2 people and our 2 well behaved dogs. The house rental was so that our dogs could experience snowy walks for our probably only road trip to the mountains and snow. I wanted to let itripsteamboat know about the initial findings. They offered to take care of the pillows and dirty dishes but I told them “no worries” that I would put the pillows in a closet and probably not go upstairs, where the bed with the dirty pillows was. There was a record snowfall so we spent a lot of time indoors on the first of 2 full booked days. After a good night’s sleep and with fresh eyes we wanted to sit and watch the snow fall in front of the fireplace. The fireplace was broken. We pulled open the curtains to reveal large stickers warning that there was broken glass that needed to be replaced. Now we looked further around, the house for places to relax as that was the option at this point. There was dirt in almost every corner, up the stairs etc. the chandelier above the cooktop in the island was coated in the layer of old dust on grease seen in dirty restaurants I’ve inspected . There was dripped food on the fronts of cabinets. There were no bath towels in the upstairs. I had called to ask how to check in as the email had gone to spam. This was the day prior to arrival. I asked if early check in was possible so I would leave the Colorado Springs earlier if it was allowed. They said yes, one hour no problem and 2 hours yes for $50 each of those hours. Since it actually came to about $5,300.00 for the 3 nights (2 days) another 100 bucks for 2 hours earlier off the road and out of prior hotel was no problem to me. After spending the first whole day seeing how dirty the place was we decided to leave a day early. I texted that we were leaving but got no reply. 12 hours later we got a text asking if we were clear on the check out .procedure."
63d28b948220345d2c32db20,8177728493,NOT SPECIFIED,78426164,1674742686045,26/01/2023 14:17:56 CST,perfect townhouse near beach 🏝 & airport ✈️!,en_us,83,did the job for an airport transfer,"However, I will mention that most areas of the house have broken or missing items like the closet doors and dressers missing knobs, cracks in the floor, a sink that would not drain, one coffee cup, a large rip in the couch, some windows that would not lock, etc..",HR_REVIEWTEXT,"The goal of our stay was after flying into Nassau to stay here until our resort room was ready. The place was clean and adequate for that purpose and we enjoyed our stay. The hosts were extremely responsive and check-in was a breeze. It had the main things we needed for our stay. However, I will mention that most areas of the house have broken or missing items like the closet doors and dressers missing knobs, cracks in the floor, a sink that wouldn’t drain, one coffee cup, a large rip in the couch, some windows that wouldn’t lock, etc.., but it worked for what we needed…close to the airport, clean beds, beautiful layout, large rooms, pretty balcony."
63d7ffcf95ebb613ffc1ca52,8179471094,NOT SPECIFIED,53952808,1675100285534,30/01/2023 17:35:11 CST,executive 2 bedroom/ 2 bathroom lower londale north vancouver,en_us,83,pros and cons,"If you have a small child, please be aware that the windows in the bedroom do not have safety locks.",HR_REVIEWTEXT,"What we loved: comfortable, quiet, clean, perfect location, price, amenities, well-stocked
What we disliked: the unit we stayed in was not the one listed. I even asked the property manager about this prior to our stay because I noted they own multiple units in the building and previous reviewers called attention to this. They assured me it was going to be the one listed and it was not. We were happy with our unit, regardless. One of the key FOBs was very finicky (low battery perhaps?) and we were stuck in the parking garage upon check out for 20 minutes until another vehicle come through and let us out with their FOB. The owner was responsive in a timely manner but seemed put out by this requiring their attention and somewhat dismissive at the suggestion the FOB needed attention. If you have a small child, please be aware that the windows in the bedroom do not have safety locks. The unit was on the 5th floor and have awning windows with a small opening large enough for a small child to fit though."
63dad4f783ad20586f902122,8180318061,NOT SPECIFIED,20142614,1675285762553,01/02/2023 21:09:11 CST,easy accessible oceanfront luxury townhome in puamana,en_us,83,great location but could have been in better shape,Two of the bedrooms in our place had windows that were broken and could not be opened.,HR_REVIEWTEXT,Two of the bedrooms in our place had windows that were broken and couldn’t be opened. We were very disappointed to NOT be able to open the windows and hear the ocean that was SO close. It is a lot of money to pay for a place so I feel it could have been in better shape. It also could have been cleaner.
63d3236ed207d9360218d7fa,8177955010,NOT SPECIFIED,27433781,1674781611525,27/01/2023 01:05:50 CST,amazing view of pigeon forge 7 min from center of town,en_us,83,rental is very misleading and very poorly kept/managed,Broken screens on the windows.,HR_REVIEWTEXT,"Summary: Overall a very poor experience. Extremely dirty, run down and many items broken. Host was very hard to get a hold of. The property had lots of issues that we later found out he was aware of prior to our stay but elected not to correct them. Would not stay their again. 

Pros: It does offer a good view of downtown Pigeon Forge (just don’t look down…I’ll explain more later)

Cons: 
- Entire property was covered with trash. You notice this right when you pull up. Trash around the front door, next to the steps and all down the hillside. Trash bags after trash bags just thrown down the mountainside. 
- Kitchen sink did work. Was finally fixed at the end of the second day. (Host knew about this prior to our stay)
- Roof in the living room leaked when it rained creating big puddles in the living room/dining room (Host knew about this prior to our stay)
- Front door had dead bolt removed. Could only be locked by the weak door handle locked. (Host knew about this prior to our stay)
- Very dirty. Tables and floors were sticky with old food and drink stains. Furniture had a lot of old food crumbs on/in them. Food all over in the movie room. (Host knew the cleaning crew wasn't doing a good job)
- Multiple games in the arcade room were broken. Golden Tee was completely broken and the basketball game was falling apart. (Host knew about this prior to our stay)
- Outdated and cheap items. Many of the kitchen cabinets were broken and had old junk stored in them. The kitchen utensils were extremely dirty and very cheap. 
- Grill was very dirty. So much so that we didn't feel comfortable grilling on it. Too rusty.
- Gas fire place had a small leak that causes the master bed to stick. We turned off the gas value to be safe. (Host knew about this)
- A bunch of random little things that all added up to bother us. Rusty nails found on the deck. Old paint cans sitting on the deck. Numerous light blubs burnt out. Dirty ash trays left out. Broken screens on the windows. Fire pit rusted out and covered with trash
- No extra supplies (trash bags, soap/shampoo/conditioner for the showers) Even the bathroom sink soaps were watered down.

Overall, a very poor experience. For the price we would not stay here again and I would strongly suggest you look for another rental if you are considering this one. Great area, we just got unlucky with a misleading description of the rental property and a bad host. Hope this review helps!"
63d46dbec6f4cb18280052d7,8178402500,NOT SPECIFIED,72383115,1674866145344,28/01/2023 00:35:10 CST,"beautiful beach cottage w/ ocean views, yard+outdoor living",en_us,83,human/doggie heaven!,Puppies loved the back yard and low windows to look out!,HR_REVIEWTEXT,Loved the location/view. It was just what we needed. Puppies loved the back yard and low windows to look out! Would live here if we could!
