"Topic = ""H&S VRBO Model - REF"">>Topic = ""Pest Control - Cockroaches"""
Date exported: 06/02/23
Exported by user: mclifford@expediagroup.com
Classification: H&S VRBO Model - REF
Report type: Topics Volume Report
Project: Expedia
Date range: from 22/01/23 to 06/02/23
Date filter: 23/01/2023 - 06/02/2023
Topic path: H&S VRBO Model - REF-->Pest Control - Cockroaches
Sentiment Filter: All sentences
Matched: 26 sentences
"Pest Control - Cockroaches Rule #1: [ LEVEL:SENTENCE TYPE:KEYWORD {_catRef:[model:""H&S VRBO Model - Dutch"" path:""root"" node:""Pest-Control - Cockroaches""], _catRef:[model:""H&S VRBO Model - English"" path:""root"" node:""Pest-Control - Cockroaches""], _catRef:[model:""H&S VRBO Model - French"" path:""root"" node:""Pest-Control - Cockroaches""], _catRef:[model:""H&S VRBO Model - German"" path:""root"" node:""Pest-Control - Cockroaches""], _catRef:[model:""H&S VRBO Model - Italian"" path:""root"" node:""Pest-Control - Cockroaches""], _catRef:[model:""H&S VRBO Model - Japanese"" path:""root"" node:""Pest-Control - Cockroaches""], _catRef:[model:""H&S VRBO Model - Portuguese"" path:""root"" node:""Pest-Control - Cockroaches""], _catRef:[model:""H&S VRBO Model - Portuguese (Brazil)"" path:""root"" node:""Pest-Control - Cockroaches""], _catRef:[model:""H&S VRBO Model - Swedish"" path:""root"" node:""Pest-Control - Cockroaches""], _catRef:[model:""H&S VRBO Model - Spanish"" path:""root"" node:""Pest-Control - Cockroaches""], _catRef:[model:""H&S VRBO Model - Danish"" path:""root"" node:""Pest-Control - Cockroaches""], }]"
"H&S VRBO Model - REF Rule #2: [ LEVEL:SENTENCE TYPE:KEYWORD {HR_TSPID:""83""}] [ LEVEL:SENTENCE TYPE:AND_KEYWORD {_language:dutch, _language:english, _language:french, _language:german, _language:italian, _language:japanese, _language:portuguese, _language:portuguese(brazil), _language:spanish, _language:swedish, _language:danish, _languagedetected:danish, _language:""greek (modern)""}]"
NaturalId,SentenceId,Source,ADM_EXPEDIAHOTELID,CB Date of Creation,Document Date,HA_HOTELNAME,HR_DISPLAYLOCALE,HR_TSPID,REVIEW_TITLE,Sentence,VerbatimType,Verbatim
63dfef3290a49e5f8acbd938,8181855779,NOT SPECIFIED,69398886,1675620174612,05/02/2023 18:00:52 CST,chic & modern studio in the heart of san marco!,en_us,83,consider this your warning,Place is disgusting and infested with German cockroaches.,HR_REVIEWTEXT,"Place is disgusting and infested with German cockroaches. Checked in Sunday night and saw the first of many. Contacted the property manager and stated I needed pest control out there the next day. They said they would then said Tuesday. I was in town for business and moved all of my morning meetings to the afternoon to meet pest control between 8 and 12. Never showed, the last communication from manager was at 3:30pm asking me if pest control showed up. Dismissive of customer concerns which are legitimate concerns. Place did not have any smoke detectors, shares a water heater with the apartment upstairs so your shower is out of hot water in 5 mins. Will NEVER stay anywhere Silver Street Management is associated."
63ce0bab91959748908aa70b,8176270718,NOT SPECIFIED,78496193,1674447817859,23/01/2023 04:23:07 CST,plush condo with pool & amazing sunsets on gulf-view  balcony - snowbirds ok,en_us,83,roach infested,"Although the condo appeared clean, it was infested with roaches.",HR_REVIEWTEXT,"I always like to give good reviews but this time, it was just too much. Although the condo appeared clean, it was infested with roaches. We killed at least 10 and the last morning when we got up before the sun and turned on the lights they were everywhere!!! Running inside the toilet bowl, in the kitchen sink, dozens of them running across the floors, it made me sick just thinking about them being in our food, clothes and beds! Also the first night our toilet was slow, by morning it wouldn't flush. We called Vacasa as directed and someone came within a couple of hours but was unable to fix it, he came back around 5:30 on Friday night to pick up his stuff and said he couldn't fix it and a plumber would have to come. I asked when he would be here and he said "" I don't know, it's Friday night so I don't know if he will come tonight"". He did not return that night nor the remainder of the trip, we never heard from anyone and when I sent a text message as directed I got a generic response saying no one was available at this time. We spent the remainder of the trip all having to share one bathroom. I spent an outrageous amount of money for 3 nights at the condo as a Christmas gift to my mom and daughter so that we could enjoy a special time together only to be disgusted, embarrassed and frustrated by the entire vacation. We've stayed at many VRBO type places and always had excellent experiencs, this was extremely disappointing. I sent a message stating I would like to speak to someone about my concerns however, as of today I have yet to hear from anyone. I am not the type of person to complain and I can overlook alot of things including a couple of bugs, but this was over the top when there are dozens of bugs and a toilet that never worked. I hope someone will contact me soon."
63da8092507a6e507f831273,8180206245,NOT SPECIFIED,32431625,1675264167113,01/02/2023 15:09:05 CST,charming wooden bungalow 100m from the beach with its small private pool,fr_fr,83,nid d'amour au calme à 2 pas de la plage,"Petit bungalow situé à côté de la maison d' Amélie et Julien dans un écrin de verdure au calme tout en étant à 2 pas de la plage de l' anse Cafard avec son offre de restauration et bars, on est dans la continuité de la plage du Diamant, ce qui permet d' aller à pied jusqu' au bourg avec ses commerces et son marché.",HR_REVIEWTEXT,"Petit bungalow situé à côté de la maison d'Amélie et Julien dans un écrin de verdure au calme tout en étant à 2 pas de la plage de l'anse Cafard avec son offre de restauration et bars, on est dans la continuité de la plage du Diamant, ce qui permet d'aller à pied jusqu'au bourg avec ses commerces et son marché."
63ced295f4a305004833fc09,8176521294,NOT SPECIFIED,73373914,1674498804173,23/01/2023 18:31:49 CST,"gulf-front estate w/ pool, hot tub & balcony views - direct beach access!",en_us,83,nightmare,"We moved houses, no reimbursement for the no heated pool or the stay with the infested house of roaches.",HR_REVIEWTEXT,"We booked a house on the beach with a heated pool and spa. When we got there everything seemed clean the house was nice and as advertised. Within an hour we saw a cockroach and another one came up the drain as I was brushing my teeth and they were big! I sent a message out to Vacasa who only would respond by text and klept saying we will reach out to our team and get back to you. Someone from the team the next day reached out via text and told us he saw a roach the day before we checked in but they were palmettos and they were outside bugs and non invasive. I understand Floridians call their roaches that. They were most definitely cockroaches and many of them. He said he would order an extra spray but couldn’t get anyone there until Tuesday and we checked in on Saturday due to a holiday weekend. Still no word on Tuesday after reaching out to them many times, buying our own roach traps and spray, containers for our food, many nights of no sleep, constantly killing and watching for roaches. Wednesday the exterminator showed up and told us that we had a bigger problem and there was a leak in the plumbing and that they were coming up the drains from the sewer. He told us what we needed to do and boil water and pour it down the drains amongst getting a plumber. Mind you this is our vacation rental and we informed him we are on vacation not our house. Later that night we got a text from the local crew that we needed to switch houses due to “the bigger issue” and we would get some level of compensation. We were moved to another house not on the beach, the pool wasn’t heated and the neighbors hated having vacationers in the neighborhood and had protest signs in their yards. Long story short we also paid for heated pool it wasn’t heated or clean and they told us to clean it. They said we would be reimbursed for the pool not being heated. We moved houses, no reimbursement for the no heated pool or the stay with the infested house of roaches. Overall we had a horrible vacation and no compensation for anything NEVER will go to another Vacasa home again. Horrible!"
63d190905975692a0a9d5c5f,8177456916,NOT SPECIFIED,33005715,1674678417856,25/01/2023 19:30:48 CST,villa il moure | luxurious sunsets,en_us,83,"nightmare vacation, worse airbnb - roach infested, unsafe and dirty","I told him that they had left a roach spray on the kitchen counter and it was empty , he never cared enough to send another or address the infestation of roaches.",HR_REVIEWTEXT,"I have been to this location before and loved Puerta Del Mar In Aguadilla. I decided to travel with my 7yr old to bring in the new year with my family who reside in PR. 1- a three hour delay check in. 2- it was not clean (dirty microwave with rice crumbs, windows dirty, patio dirty, dust accumulation on bedroom furniture, floors dirty throughout especially in bedroom and bathrooms) roach infested , unsafe electrical outlet was unable to turn air conditioner on in bedroom for 24 hrs until it was repaired it was sparking. The television was unable to be heard unless you were sitting directly in front of it, if you hit the remote to turn off a bedroom light or ceiling fan it would also activate the same in the other bedroom . The owner/ manager was contacted since the first day of arrival and each day afterwards . I told him that they had left a roach spray on the kitchen counter and it was empty , he never cared enough to send another or address the infestation of roaches. My 7 yr old was upset each day afraid to enter the kitchen because of the roaches. I have video and photos of my complaint and expressed my disappointment to VRBO and the owner. I submitted 36 attachments it was a total of (17) complaints to VRBO of my evidence photos , videos and the texts between the owner and myself . I am still waiting on a response. The date of incident 12-28-22 thru 1-3-23. This place was a true nightmare, I was embarrassed to even have my family over, my daughter was traumatized. THIS IS NOT THE OASIS AS DEPICTED AND DEFINITELY NOT A PLACE FOR CHILDREN."
63d1a21e6a492d5b5b34ca69,8177472965,NOT SPECIFIED,33005715,1674682920541,25/01/2023 19:30:48 CST,villa il moure | luxurious sunsets,en_us,83,"nightmare vacation, worse facility - roach infested, unsafe and dirty","I told him that they had left a roach spray on the kitchen counter and it was empty , he never cared enough to send another or address the infestation of roaches.",HR_REVIEWTEXT,"I have been to this location before and loved Puerta Del Mar In Aguadilla. I decided to travel with my 7yr old to bring in the new year with my family who reside in PR. 1- a three hour delay check in. 2- it was not clean (dirty microwave with rice crumbs, windows dirty, patio dirty, dust accumulation on bedroom furniture, floors dirty throughout especially in bedroom and bathrooms) roach infested , unsafe electrical outlet was unable to turn air conditioner on in bedroom for 24 hrs until it was repaired it was sparking. The television was unable to be heard unless you were sitting directly in front of it, if you hit the remote to turn off a bedroom light or ceiling fan it would also activate the same in the other bedroom . The owner/ manager was contacted since the first day of arrival and each day afterwards . I told him that they had left a roach spray on the kitchen counter and it was empty , he never cared enough to send another or address the infestation of roaches. My 7 yr old was upset each day afraid to enter the kitchen because of the roaches. I have video and photos of my complaint and expressed my disappointment to The company and the owner. I submitted 36 attachments it was a total of (17) complaints to The company of my evidence photos , videos and the texts between the owner and myself . I am still waiting on a response. The date of incident 12-28-22 thru 1-3-23. This place was a true nightmare, I was embarrassed to even have my family over, my daughter was traumatized. THIS IS NOT THE OASIS AS DEPICTED AND DEFINITELY NOT A PLACE FOR CHILDREN."
63d9b5307b7bff0d6175f178,8179984916,NOT SPECIFIED,33501270,1675212090148,01/02/2023 00:41:20 CST,family memories. private pool with jacuzzi. ac. cable tv. free wifi. game room,en_us,83,nice home but very disappointed,We seen many roaches in the kitchen and bedrooms.,HR_REVIEWTEXT,"This is a very beautiful home in a nice area. However the owner is not very helpful. There's a $20 fee for resort pass that you must purchase in order to avoid waiting in line every time you enter the gate. This was not mentioned in the listing. We seen many roaches in the kitchen and bedrooms. We contacted the host for simple requests and concerns and never got a response throughout our entire 5 night stay. 

The owner provides the bare minimum. One soap, one toilet paper, 2 trash bags and a few towels. We had to purchase napkins, dish soap, trash bags, sponges to wash dishes, and more... 

This is a nice home but the host does not seem committed to maintaining this rental or making his guests happy."
63d5ec1638e39377868b61a3,8178838328,NOT SPECIFIED,60841831,1674964000817,29/01/2023 03:46:30 CST,the butterfly suite  20 minutes from hunter mountain palenville ny,en_us,83,the property was ok,Giving a lower rating because the house was infested with roaches.,HR_REVIEWTEXT,Giving a lower rating because the house was infested with roaches. I woke up every morning to see a roach in the bathroom or the kitchen. It made me very uncomfortable and I was going through all of our belongings when packing and unpacking to make sure I don't bring them home.
63ce04da2c3a9e4c9e89c08c,8176258821,NOT SPECIFIED,78440640,1674446052361,23/01/2023 03:54:02 CST,beautiful 4 br near san marco & park -sleeps 9,en_us,83,invested with roaches,"Many things to complain about, but our Cheif complaint is it is infested with roaches.",HR_REVIEWTEXT,"Many things to complain about, but our Cheif complaint is it’s infested with roaches. Running across countertops, out the trash cans, on the ceilings and walls and in the cabinets."
63cebccbb2224527623ffa04,8176491511,NOT SPECIFIED,21454986,1674493479205,23/01/2023 16:58:51 CST,family & pet friendly-newgameroom&fencedyard-pooltable-airhockey-shufflebrd+more,en_us,83,amazing time minus the roaches,The cockroaches in the kitchen were a huge turn off.,HR_REVIEWTEXT,The house was kept in good condition. Down stairs was amazing for a weekend get away. Plenty of stuff to do. The cockroaches in the kitchen were a huge turn off. Had to travel home with my luggage in trash bags so I wouldn’t infest my own home. If it weren’t for the roaches you would have a 5 star rating from me.
