"Topic = ""H&S VRBO Model - REF"">>Topic = ""Force Majeure"""
Date exported: 06/02/23
Exported by user: mclifford@expediagroup.com
Classification: H&S VRBO Model - REF
Report type: Topics Volume Report
Project: Expedia
Date range: from 22/01/23 to 06/02/23
Date filter: 23/01/2023 - 06/02/2023
Topic path: H&S VRBO Model - REF-->Force Majeure
Sentiment Filter: All sentences
Matched: 13 sentences
"Force Majeure Rule #1: [ LEVEL:SENTENCE TYPE:KEYWORD {_catRef:[model:""H&S VRBO Model - Dutch"" path:""root"" node:""Force Majeure""], _catRef:[model:""H&S VRBO Model - English"" path:""root"" node:""Force Majeure""], _catRef:[model:""H&S VRBO Model - French"" path:""root"" node:""Force Majeure""], _catRef:[model:""H&S VRBO Model - German"" path:""root"" node:""Force Majeure""], _catRef:[model:""H&S VRBO Model - Italian"" path:""root"" node:""Force Majeure""], _catRef:[model:""H&S VRBO Model - Japanese"" path:""root"" node:""Force Majeure""], _catRef:[model:""H&S VRBO Model - Portuguese"" path:""root"" node:""Force Majeure""], _catRef:[model:""H&S VRBO Model - Portuguese (Brazil)"" path:""root"" node:""Force Majeure""], _catRef:[model:""H&S VRBO Model - Swedish"" path:""root"" node:""Force Majeure""], _catRef:[model:""H&S VRBO Model - Spanish"" path:""root"" node:""Force Majeure""], _catRef:[model:""H&S VRBO Model - Danish"" path:""root"" node:""Force Majeure""], }]"
"H&S VRBO Model - REF Rule #2: [ LEVEL:SENTENCE TYPE:KEYWORD {HR_TSPID:""83""}] [ LEVEL:SENTENCE TYPE:AND_KEYWORD {_language:dutch, _language:english, _language:french, _language:german, _language:italian, _language:japanese, _language:portuguese, _language:portuguese(brazil), _language:spanish, _language:swedish, _language:danish, _languagedetected:danish, _language:""greek (modern)""}]"
NaturalId,SentenceId,Source,ADM_EXPEDIAHOTELID,CB Date of Creation,Document Date,HA_HOTELNAME,HR_DISPLAYLOCALE,HR_TSPID,REVIEW_TITLE,Sentence,VerbatimType,Verbatim
63d763b3cea55c43e29d0478,8179345644,NOT SPECIFIED,34335213,1675060177315,30/01/2023 06:29:06 CST,oceanfront studio beach condo daytona beach,en_us,83,central location,"Older unit with significant hurricane damage to the property pool, etc.",HR_REVIEWTEXT,"We stayed here because of the price and nearby location to St Augustine and Orlando. Older unit with significant hurricane damage to the property pool, etc. Beach access was severely limited."
63d81493193a4d16274d9ef3,8179516411,NOT SPECIFIED,59773382,1675105566068,30/01/2023 19:03:47 CST,oceanfront end unit offering breathtaking views from sunup to sundown,en_us,83,comfortable and convenient,"Sadly, Daytona Beach is still recovering from hurricane damage, but, we were prepared as we had excellent communication with our property manager.",HR_REVIEWTEXT,"Spectacular View from the wrap around balcony! Sadly, Daytona Beach is still recovering from hurricane damage, but, we were prepared as we had excellent communication with our property manager. At this time, you do have to walk about 1/2 block to gain beach access. Convenient for food shopping, restaurants and the Daytona Speedway! Beds were VERY comfortable. Definitely planning on returning."
63d56d655e984b662aa5afae,8178662444,NOT SPECIFIED,33643229,1674931585245,28/01/2023 18:45:57 CST,luxury pool villa located directly on the river in a fantastic location,en_us,83,ridiculous experience,This house was damaged by hurricane Ian so we canceled our trip in time due to that.,HR_REVIEWTEXT,"This house was damaged by hurricane Ian so we canceled our trip in time due to that. VRBO did NOTHING to assist us in getting our refund and to this date, VRBO has not returned their outrageous fee. We have used VRBO many times but we will never again based on this non-existent customer service."
63d7db8d80721028815290ea,8179414401,NOT SPECIFIED,32487110,1675090897991,30/01/2023 15:00:22 CST,oceanfront - daytona beach resort condo -1br/1ba - #256,en_us,83,significant hurricane damage,"However the recent hurricanes have done considerable damage to the building, leaving it without a parking structure, swimming pools, hot tubs and beach access.",HR_REVIEWTEXT,"The condo itself is very nice with a fabulous ocean view. However the recent hurricanes have done considerable damage to the building, leaving it without a parking structure, swimming pools, hot tubs and beach access. Overall I would assess this building as past its prime when it was once a vibrant resort and conference center."
63dd43c61fc67a7fecd46e08,8181017704,NOT SPECIFIED,69339026,1675445243749,03/02/2023 17:26:29 CST,beautiful oceanfront 3/3 ~ professionally designed / completely remodeled,en_us,83,great location. beautiful unit,"Downside was that after the hurricane, almost every Daytona Beach condo had damage to their pool decks and pools.",HR_REVIEWTEXT,"Daytona Beach Shores is a wonderful and central location to enjoy a lot of Florida attractions. From this spot, we took in St. Augestine, NASA, New Smyrna, Ponce De Leon Lighthouse and beach, the State Parks north of Ormond, etc, etc. Also close enough to do theme parks if that's your jam. The condo unit was clean, well-maintained, and well-appointed. 

Downside was that after the hurricane, almost every Daytona Beach condo had damage to their pool decks and pools. So there was no pool at the condo, and the beach was fenced off the entire time we were there. You had to sneak around fences and gates to access the beach. High tide also made most of the beach unaccessable for several hours. During the day, there was a lot of construction on the beach. It is what it is, but I had no idea the damage was so extensive that far North. This is more an FYI for others who may ve considering this spot for vacation."
63da911339757b125b8893e6,8180227208,NOT SPECIFIED,78322415,1675268389753,01/02/2023 16:19:31 CST,luau lagoon with great ocean and beach views,en_us,83,property canceled,Damage from hurricane was not repaired yet.,HR_REVIEWTEXT,Didn’t get to stay here. We were notified the night before we left to drive to location. Damage from hurricane wasn’t repaired yet.
63d08d8e3a0b3e7b8c422495,8177138207,NOT SPECIFIED,42067597,1674612178224,25/01/2023 02:01:50 CST,marco island riverside condo -beautiful sunrises - time to exhale & enjoy!,en_us,83,million dollar view,We booked this condo before hurricane Ian caused so much damage to the Gulf Coast.,HR_REVIEWTEXT,"We booked this condo before hurricane Ian caused so much damage to the Gulf Coast. Anne Marie was fantastic in communicating the condition and repairs on and around the condo area and because of her we kept our reservation. This condo has so many things going for it. The furnishings are all perfect - clean and in great shape - no wear or stains. The mattress is amazingly comfortable and the sheets are quality! The dishwasher is by far the quietest that we have ever encountered in a rental. The screened in deck showcased fantastic sunrises and had the advantage of shade in the late afternoon. The kitchen was well appointed with nice cookware, dishes and a nice variety of basic spices and coffee. There is not a washer/dryer in the unit but it is a short distance from the condo to the coin machines on the very same floor and detergent is furnished for a load or two. The rainfall shower is wonderful and spacious and there were plenty of amenities for soap/shampoo/conditioners and plenty of clean towels. We did not go to the beach, but there is a great supply of beach items if you choose to go. We did run into a bit of updating that had been delayed due to the hurricane, but it was nothing that the owners had control of and they were so very helpful as we worked our way though that. We had a wonderful and warm week - thank you!"
63d09bcb36e41b5135205287,8177156249,NOT SPECIFIED,71467621,1674615782771,25/01/2023 03:02:34 CST,all about that location :) renovated oceanfront retreat!,en_ca,83,sewage smell on property overwhelmed the beautiful location,"Ultimately do you safety concerns, we had to evacuate the property the next morning, cutting short our week long stay by 5 nights and having to find a hotel at the last minute.",HR_REVIEWTEXT,"Pat's at Punaluu is located on a beautiful stretch of beach, perfect for snorkeling. Unfortunately the ongoing construction, which we were told ahead of our stay would be only a minor disturbance. In fact we found out that the sewage treatment is under repair. When we pulled up to the property for our stay a sewage truck was blocking the parking lot, emptying the sewer lines for the building. The second night, in the middle of the night the stench of sewer gas was so strong in our room that our eyes were watering and our infant began coughing. We had to move onto the sofa near the balcony to sleep. Ultimately do you safety concerns, we had to evacuate the property the next morning, cutting short our week long stay by 5 nights and having to find a hotel at the last minute. We called the property manager to inquire about the overpowering sewer gas smell, and he readily acknowledged that the sewage treatment on the property was broken and was an ongoing issue. We believe that the property should not be rented out to other unsuspecting families until the construction of the sewage handling is completed."
63deb2a523536c7a120e98ff,8181437575,NOT SPECIFIED,88476185,1675539119693,04/02/2023 19:31:49 CST,beautiful 2 br. condo (20730) by houzlet,en_us,83,hurricane damaged,The rental company did not know the property was inhabitable due to hurricane damage.,HR_REVIEWTEXT,"The rental company did not know the property was inhabitable due to hurricane damage. After I booked the stay, I was told the property could not be rented. I still have not received a refund from VRBO for $335.00 rental fee."
63d2068d27773349e0981f31,8177574921,NOT SPECIFIED,79207984,1674708646967,26/01/2023 04:50:21 CST,6 min. from siesta beach+heated pool+lake view,en_us,83,hurricane ian,Needed a place to stay while we turned into our property that was damaged due to hurricane Ian.,HR_REVIEWTEXT,"Needed a place to stay while we turned into our property that was damaged due to hurricane Ian. The property was perfect for our needs and close to siesta key beach, which was a beautiful relief from our hurricane damage home to allow us some downtime and relief. The property was impeccably maintained, and had all the features we needed for a comfortable stay. Highly recommend!"
