"Topic = ""H&S VRBO Model - REF"">>Topic = ""Electrical - Power Outage"""
Date exported: 13/02/23
Exported by user: mclifford@expediagroup.com
Classification: H&S VRBO Model - REF
Report type: Topics Volume Report
Project: Expedia
Date range: from 29/01/23 to 12/02/23
Date filter: 30/01/2023 - 12/02/2023
Topic path: H&S VRBO Model - REF-->Electrical - Power Outage
Sentiment Filter: All sentences
Matched: 98 sentences
"Electrical - Power Outage Rule #1: [ LEVEL:SENTENCE TYPE:KEYWORD {_catRef:[model:""H&S VRBO Model - Dutch"" path:""root"" node:""Electrical - Power Outage""], _catRef:[model:""H&S VRBO Model - English"" path:""root"" node:""Electrical - Power Outage""], _catRef:[model:""H&S VRBO Model - French"" path:""root"" node:""Electrical - Power Outage""], _catRef:[model:""H&S VRBO Model - German"" path:""root"" node:""Electrical - Power Outage""], _catRef:[model:""H&S VRBO Model - Italian"" path:""root"" node:""Electrical - Power Outage""], _catRef:[model:""H&S VRBO Model - Japanese"" path:""root"" node:""Electrical - Power Outage""], _catRef:[model:""H&S VRBO Model - Portuguese"" path:""root"" node:""Electrical - Power Outage""], _catRef:[model:""H&S VRBO Model - Portuguese (Brazil)"" path:""root"" node:""Electrical - Power Outage""], _catRef:[model:""H&S VRBO Model - Swedish"" path:""root"" node:""Electrical - Power Outage""], _catRef:[model:""H&S VRBO Model - Spanish"" path:""root"" node:""Electrical - Power Outage""], _catRef:[model:""H&S VRBO Model - Danish"" path:""root"" node:""Electrical - Power Outage""], }]"
"H&S VRBO Model - REF Rule #2: [ LEVEL:SENTENCE TYPE:KEYWORD {HR_TSPID:""83""}] [ LEVEL:SENTENCE TYPE:AND_KEYWORD {_language:dutch, _language:english, _language:french, _language:german, _language:italian, _language:japanese, _language:portuguese, _language:portuguese(brazil), _language:spanish, _language:swedish, _language:danish, _languagedetected:danish, _language:""greek (modern)""}]"
NaturalId,SentenceId,Source,ADM_EXPEDIAHOTELID,CB Date of Creation,Document Date,HA_HOTELNAME,HR_DISPLAYLOCALE,HR_TSPID,REVIEW_TITLE,Sentence,VerbatimType,Verbatim
63d87e623e981a33202ba03f,8179634866,NOT SPECIFIED,46071086,1675132518744,31/01/2023 02:35:14 CST,"incredible location with beach and ocean panoramic views, this home has it all !",en_us,83,winter on moody beach.,The house has a Generac backup generator which did not turn on when the power went off.,HR_REVIEWTEXT,"We spent a week at the beach in January in our second visit to this beautiful home. There are not a lot of stores or restaurants open but it is wonderful to be at the seashore at that time of year. However, winter in Maine can be tricky. We experienced a snow/ice storm which resulted in an area-wide power outage. The house has a Generac backup generator which did not turn on when the power went off. We contacted Olivia who immediately contacted an electrician and boiler repairman. We felt lucky that these very busy tradesmen were able to come over soon and remedy the problem, particularly since much of the area remained out of power for up to several days. Putting that experience behind us, we enjoyed a very peaceful stay and are grateful to Olivia for her prompt efforts to help us. We would not hesitate to stay here again."
63e13dc3aab6436bd1590a77,8182271873,NOT SPECIFIED,67434519,1675705828627,06/02/2023 17:46:58 CST,secluded 2 story cabin in the woods,en_us,83,winter,It snowed the first night we were there and we lost power.,HR_REVIEWTEXT,It is a beautiful cabin in a beautiful in a peaceful location. It snowed the first night we were there and we lost power. the owner was as helpful as possible considering the situation. We will be back!
63e519624c9b362498e54397,8183117244,NOT SPECIFIED,31814904,1675958753351,09/02/2023 16:03:46 CST,in rome live as the romans do,en_us,83,a great location and a wonderful stay!,"(PS, if the power goes out, you MUST know where the panel by the front door is, AND the key to the LOCKED building panel downstairs.",HR_REVIEWTEXT,"Our family recently had a great stay here. The owner and check-in people were awesome and resolved a pre-check-in issue with a different property. 

This property is easy to find, a great place with a lift, and is walkable to most of central Rome. There's also a GREAT taxi stand 100 or so yards away. 

Inside the property, we had everything we needed, and aside from the power going out one night, it was a perfect stay! I would definitely recommend the place, its amenities, and especially the owner and the communication by everyone involved.

We had everything we needed in the apartment, even to cook!

(PS, if the power goes out, you MUST know where the panel by the front door is, AND the key to the LOCKED building panel downstairs. We didn't, nor did anyone else, and caused us to go without power for ten hours.)"
63e81393270fc35c185100c9,8183275827,NOT SPECIFIED,21717324,1676153757879,11/02/2023 22:15:47 CST,tennessee log cabin: close to downtown gatlinburg & near national park,en_us,83,just a little get away!,Jets had no power!,HR_REVIEWTEXT,Cabin was perfect size for 2! Was clean and ready for us! It was hard to see coed entry on door as the outside light was out! Hot tub out on beautiful deck was not working! Jets had no power! Big disappointment!
63da1a462a670463d683eb9e,8180087722,NOT SPECIFIED,33964885,1675237969512,01/02/2023 07:52:38 CST,"t2 any comfort for 2 people in family residence, calm and raised",fr_fr,83,emplacement et accès moyen,"chemin d' accès en grosses pierres non égalisées premier jour coupure de courant pendant 2 heures, meme pas une bougie sur place??",HR_REVIEWTEXT,"chemin d'accès en grosses pierres non égalisées
premier jour coupure de courant pendant 2 heures, meme pas une bougie sur place??"
63d6ff206dd53f6a8d510891,8179242805,NOT SPECIFIED,29482591,1675034772367,29/01/2023 23:20:00 CST,tinkerbell house emerald island resort,en_ca,83,tinkerbell house,was not fully cleaned when we arrived but that was due to a power outage in the community.,HR_REVIEWTEXT,Location was excellent! Easy to get around. The house was very comfortable. Wasn't fully cleaned when we arrived but that was due to a power outage in the community. We all enjoyed the pool. We would definitely book this house again if we come back to Florida!
63e54311b6e06e73b3ab41fb,8183131029,NOT SPECIFIED,57575249,1675969320431,09/02/2023 19:00:02 CST,direct ocean view condo only a short walk from local shopping on flagler!,en_us,83,perfect fit!,There were some slight problems with check-in and access to the garage driven by illness and a short power outage;,HR_REVIEWTEXT,"We had a great time! The property was clean, well-maintained, and well-appointed. The view from the balcony was tremendous. Access to the beach was perfect. It was very convenient to walk to restaurants and entertainment. There were some slight problems with check-in and access to the garage driven by illness and a short power outage; however, these were resolved right away. We plan on returning to NSB!"
63e101eae152ee4ecafcc17c,8182190240,NOT SPECIFIED,33968806,1675690497700,06/02/2023 13:34:34 CST,modern studio bella vita,en_us,83,simple but nice,"Had a small issue when water went off (due to island electricity issue, not host).",HR_REVIEWTEXT,"Good space for 1-2 people. Host was very accessible. Had a small issue when water went off (due to island electricity issue, not host). She was very quick to respond, sending someone immediately. View from the apartment was wonderful. Only comment is drapes could use an update"
63e13dbaf6e5d140ede56f2e,8182290040,NOT SPECIFIED,68858220,1675707940074,06/02/2023 17:45:57 CST,"hike, ski, fish or relax in hot tub. the bearhouse",en_us,83,excellent hosts,Natalie and Eric went out of their way to do everything in their power to help make the stay great.,HR_REVIEWTEXT,"We had some hiccups on this stay that were out of everyone's control. For example, prior guests had abused the propane fireplace and the hosts sent a repairman in to fix it within a couple of hours. When it couldn't be fixed they provided a stipend for firewood. Natalie and Eric went out of their way to do everything in their power to help make the stay great. Thank you!"
63da8284f9145235e399f276,8180206861,NOT SPECIFIED,82909207,1675264723540,01/02/2023 15:17:01 CST,the pineapple express,en_ca,83,noisy apt and poor communication during stay,"The power for the TV, Internet, and Fridge all went out on my 4th day.",HR_REVIEWTEXT,"This unit's bedroom is right beside TWO noisy elevators. The building is old so these are two very noisy clunky elevators. I bought ear plugs to ""survive"" my 5 night stay. The power for the TV, Internet, and Fridge all went out on my 4th day. Turns out that the breaker panel is in the hallway - I ended up resetting the breakers myself - but it's crazy to have a breaker panel that any tenant could meddle with in an open hallway. On my last day there I was given a new code to open the main entrance door to the building. The explanation to use the new code was totally inadequate - I ended up standing out in the cold for 10 minutes at 12:45 am while trying to figure out how to get into the building. I ended up having to WAKE UP the superintendent to get into the building. Not a happy experience. The unit had a nice clean bathroom, the bed was comfortable and the kitchen had ""barely adequate utensils which were all very old and very well used. I would not trust Tanor to rent me any of his other units - this was overall a very annoying and unsatisfactory experience."
