"Topic = ""H&S VRBO Model - REF"">>Topic = ""Accommodation"""
Date exported: 13/02/23
Exported by user: mclifford@expediagroup.com
Classification: H&S VRBO Model - REF
Report type: Topics Volume Report
Project: Expedia
Date range: from 29/01/23 to 12/02/23
Date filter: 30/01/2023 - 12/02/2023
Topic path: H&S VRBO Model - REF-->Accommodation
Sentiment Filter: All sentences
Matched: 52 sentences
"Accommodation Rule #1: [ LEVEL:SENTENCE TYPE:KEYWORD {_catRef:[model:""H&S VRBO Model - Dutch"" path:""root"" node:""Accommodation""], _catRef:[model:""H&S VRBO Model - English"" path:""root"" node:""Accommodation""], _catRef:[model:""H&S VRBO Model - French"" path:""root"" node:""Accommodation""], _catRef:[model:""H&S VRBO Model - German"" path:""root"" node:""Accommodation""], _catRef:[model:""H&S VRBO Model - Italian"" path:""root"" node:""Accommodation""], _catRef:[model:""H&S VRBO Model - Japanese"" path:""root"" node:""Accommodation""], _catRef:[model:""H&S VRBO Model - Portuguese"" path:""root"" node:""Accommodation""], _catRef:[model:""H&S VRBO Model - Portuguese (Brazil)"" path:""root"" node:""Accommodation""], _catRef:[model:""H&S VRBO Model - Swedish"" path:""root"" node:""Accommodation""], _catRef:[model:""H&S VRBO Model - Spanish"" path:""root"" node:""Accommodation""], _catRef:[model:""H&S VRBO Model - Danish"" path:""root"" node:""Accommodation""], }]"
"H&S VRBO Model - REF Rule #2: [ LEVEL:SENTENCE TYPE:KEYWORD {HR_TSPID:""83""}] [ LEVEL:SENTENCE TYPE:AND_KEYWORD {_language:dutch, _language:english, _language:french, _language:german, _language:italian, _language:japanese, _language:portuguese, _language:portuguese(brazil), _language:spanish, _language:swedish, _language:danish, _languagedetected:danish, _language:""greek (modern)""}]"
NaturalId,SentenceId,Source,ADM_EXPEDIAHOTELID,CB Date of Creation,Document Date,HA_HOTELNAME,HR_DISPLAYLOCALE,HR_TSPID,REVIEW_TITLE,Sentence,VerbatimType,Verbatim
63daa37c4f63ef64e6d0dbf4,8180246658,NOT SPECIFIED,42162769,1675273095869,01/02/2023 17:38:04 CST,rustic farmhouse on appalachian  ski mountain,en_us,83,good house and location with caveats,"We could not pull one of our cars out of the driveway as a result, and the walkway to the entrance was also covered in snow and became pretty slick (one of our members slipped on the way in).",HR_REVIEWTEXT,"This house was quite nice for our group of seven that stayed here for a weekend. View was beautiful from the dining and living room, as well as the kitchen. The rest of the house furniture wise was a little dated but comfortable. This house is about a 2 minute drive to the ski lodge at appalachian ski mountain where our children were taking ski lessons this weekend. 

Our main issue for the house was its exterior condition. This house is located close to the top of the Appalachian mountain Ski resort which is often blowing snow, and some of that snow may blow back on the property. In addition, it had snowed a few days prior. When we arrived, the driveway was not plowed, and with the temps jumping above and below 32 degrees it quickly became very slick. We could not pull one of our cars out of the driveway as a result, and the walkway to the entrance was also covered in snow and became pretty slick (one of our members slipped on the way in). The next day one of us had to shovel and salt the driveway ourself to give a chance for our subaru to make it out. 

On top of this, the thermostat was set to 50 degrees when we arrived, and took overnight to warm up the whole house to 70. We had to keep our 2, 4, and 6 year old in their jackets the rest of the evening to keep them warm. My father in law also tried calling the number provided for the owner but never received a call back. 

When I contacted the owner via the vrbo app they indicated that it is hard to keep up with the snow at all times, and so the driveway and walkway may not be cleaned. They also said that they control the heat remotely via wifi so that perhaps there was a connection issue. 

Regardless, for folks who are making decisions in the future on where to stay, just note that these may be things that you might have to deal with after arrival during the winter season. Had we known that we would have to clean the driveway, we would have saved the expense and just stayed in a hotel."
63e1970b872d351ecd37fdcd,8182396589,NOT SPECIFIED,68612487,1675728705298,07/02/2023 00:10:51 CST,"90iod by pioneer ridge *great for large group ~ private hot tub, grill",en_us,83,great large house,"We had issues with melting snow forming human size icicles, that started to fall of the roof in front of the house and on the hot tub side.",HR_REVIEWTEXT,"We liked staying at this place, because it was very spacious, had a good garage to put our gear in and was in a great place to the race venue. We had issues with melting snow forming human size icicles, that started to fall of the roof in front of the house and on the hot tub side. We called the property management, and although they said someone will come and help, no one ever showed up. The carpets and the garage were also quite dirty. Otherwise a good place, would book it again. 
Thank you"
63da91698bf82d328c691410,8180227351,NOT SPECIFIED,34068941,1675268467486,01/02/2023 15:43:39 CST,magnificent chalet spa sauna ideal for ski holidays,fr_fr,83,un séjour au delà de nos espérances !,Vous aurez aussi le plaisir de pouvoir utiliser un jacuzzi au milieu de la neige avant de vous relaxer dans le sauna attenant.,HR_REVIEWTEXT,"Un séjour tout a fait représentatif de l'idée que l'on peut se faire des joies de la montagne. C'est d'abord un site exceptionnel, un petit chalet en bois entouré par la forêt, avec des biches qui viennent le soir tout près de votre porte. Le chalet par lui même est parfait, très cosy, intimiste avec une décoration raffinée sans ostentation. Vous aurez aussi le plaisir de pouvoir utiliser un jacuzzi au milieu de la neige avant de vous relaxer dans le sauna attenant. Quant aux propriétaires, disponibilité, efficacité et sympathie les caractérisent ; au final, ce sont des amis que nous avons rencontré. Nous recommandons vivement ce châlet, agréable aussi bien en hiver qu'en été. Nous reviendrons avec grand plaisir !"
63e52d922816c54dddc45349,8183124046,NOT SPECIFIED,88906747,1675963804669,09/02/2023 17:29:54 CST,exceptional burning tree 4 bed 3 bath retreat in the country club,en_us,83,great with one issue,I do not mean a bit noisy I mean it sounds like the ceiling is going to fall down and water will fall all over the place.,HR_REVIEWTEXT,"We had a great time. The house was perfect. The only thing I did not like was the noise in the master bedroom. When someone flushes the toilet upstairs, you can hear it in the master bedroom. I don't mean a bit noisy I mean it sounds like the ceiling is going to fall down and water will fall all over the place. But other than that it was a great place to stay and it was beautiful!"
63e39bedc915fb4b4682e1bf,8183034200,NOT SPECIFIED,30220736,1675861018780,08/02/2023 12:56:13 CST,mountain villa with sea views (free wifi),de_de,83,abseits vom trubel,"Das Haus liegt am Berghang.Erreichbar ist das Haus zum Teil, über sehr steile Straßen,nichts für ängstliche.Dafür hat man einen sehr schönen Ausblick über die gesamte Landschaft inclusive Stadtgebiet und Teije.Die Hausübergabe durch den Vermieter ,war sehr angenehm.Einen Vorschlag hätte ich für die Dusche.Der Boden der Dusche erschien mir bißchen rutschig,da wäre eine rutschfeste Matte zum Vorteil.Ansonsten alles O.K.",HR_REVIEWTEXT,"Das Haus liegt am Berghang.Erreichbar ist das Haus zum Teil, über sehr steile Straßen,nichts für ängstliche.Dafür hat man einen sehr schönen Ausblick über die gesamte Landschaft inclusive Stadtgebiet und Teije.Die Hausübergabe durch den Vermieter ,war sehr angenehm.Einen Vorschlag hätte ich für die Dusche.Der Boden der Dusche erschien mir bißchen rutschig,da wäre eine rutschfeste Matte zum Vorteil.Ansonsten alles O.K."
63e44ff477bf472054803bff,8183081859,NOT SPECIFIED,90038787,1675907070417,09/02/2023 01:44:06 CST,"private dog-friendly 2-story home with firepit, patio, washer/dryer & streaming",en_us,83,"quiet, remote getaway","Upon arrival, there was 4 inches of snow in the driveway and unshoveled steps, making it very slippery.",HR_REVIEWTEXT,"Stayed with our family of 4 and my parents for a weekend away. Plenty of room for everyone. Location is 15-20 minutes to most stores/restaurants. Upon arrival, there was 4 inches of snow in the driveway and unshoveled steps, making it very slippery. Behind the couch there was a dead mouse in a trap that looked like it had been there for some time. Bugs- dead and alive- throughout the house. I realize it’s a country home but it seemed like no one had actually been at the house for some time. WiFi didn’t work. Property management was very quick to respond to all questions. Check in/check out process was very easy. I loved that there wasn’t a long list of chores to do before we left. like most rentals! Kitchen had everything we needed to make a big meal. Plenty of towels. Beds/bedding very comfortable. It was not the worst Vrbo experience, but I wouldn’t stay again."
63e662df4e77355a4b535d1b,8183180684,NOT SPECIFIED,33550195,1676042989193,10/02/2023 15:29:35 CST,surfside vilano bch. cottage*wifi!!*hot tub*,en_us,83,don't stay here,"The mold was in the air conditioning unit, bedding and the couch.",HR_REVIEWTEXT,"Ruined our vacation! Booked for the whole month and only stayed two sleepless nights due to the presence of black mold. The mold was in the air conditioning unit, bedding and the couch. The smell was overwhelming. 
According to the host the property was inspected by his people and found to have no problem. But according to the neighbors a cleaning crew came in the day we left and did a deep clean and replaced some of the moldy items. 
The host did reimburse us for the remainder of our booking."
63dea15ff134a77dd44f0394,8181420701,NOT SPECIFIED,83554542,1675534697078,04/02/2023 18:18:07 CST,"hot toddy cottage - pet friendly, hot tub at 3bd home half mile from heart of banner elk",es_mx,83,todo bien,"La barra del baño se cayó al colocar la toalla, por todo lo demás nos gusto.",HR_REVIEWTEXT,"La barra del baño se cayó al colocar la toalla, por todo lo demás nos gusto. Gracias."
63e12a86eca09826bf3e2fc9,8182249397,NOT SPECIFIED,34392795,1675702088450,06/02/2023 16:27:46 CST,"loft in san lorenzo, two minutes from the acquario; optional parking",it_it,83,buona soluzione vicino all'acquario,Le scale del palazzo sono molto ripide e pericolose ma dentro si sta bene.,HR_REVIEWTEXT,"La casa è vicina all'acquario e alle principali attrazioni, pulita e ben organizzata. Le scale del palazzo sono molto ripide e pericolose ma dentro si sta bene. Ok per famiglie"
63e842e9f6bbc00c3b2ed188,8183286357,NOT SPECIFIED,78321736,1676165875973,12/02/2023 01:37:45 CST,modern cabin in the woods - 3 minutes to downtown breck,en_us,83,perfect cabin tucked away yet somehow close to everything,We sat in the hot tub on the gorgeous deck as snow fell around us,HR_REVIEWTEXT,"Minutes from Peak 9 and downtown, but also secluded enough to feel like you’re tucked away somewhere deep in the mountains. Sometimes photos make a home look better than it is, this absolutely isn’t the case with Southern Pines (it’s even better in person!)
Other than the fact it’s beautifully decorated, open the cabinets and you’ll find all of the amenities of home (and probably more) sippy cups for toddlers, bath toys, plush robes, and every kitchen item one might need. We sat in the hot tub on the gorgeous deck as snow fell around us and planned our trip back in the summer when we know we’ll be able to hear the Blue River flowing just below us. My only complaint is that any other home rental we’ve booked since staying at Southern pines is just a let down. Once you stay at a home that is fully stocked, with comfortable beds, and beautiful decor- everything else just falls short."
