"Topic = ""H&S VRBO Model - REF"">>Topic = ""Accommodation - Slippery Surfaces"""
Date exported: 13/02/23
Exported by user: mclifford@expediagroup.com
Classification: H&S VRBO Model - REF
Report type: Topics Volume Report
Project: Expedia
Date range: from 29/01/23 to 12/02/23
Date filter: 30/01/2023 - 12/02/2023
Topic path: H&S VRBO Model - REF-->Accommodation - Slippery Surfaces
Sentiment Filter: All sentences
Matched: 46 sentences
"Accommodation - Slippery Surfaces Rule #1: [ LEVEL:SENTENCE TYPE:KEYWORD {_catRef:[model:""H&S VRBO Model - Dutch"" path:""root"" node:""Accommodation - Slippery Surfaces""], _catRef:[model:""H&S VRBO Model - English"" path:""root"" node:""Accommodation - Slippery Surfaces""], _catRef:[model:""H&S VRBO Model - French"" path:""root"" node:""Accommodation - Slippery Surfaces""], _catRef:[model:""H&S VRBO Model - German"" path:""root"" node:""Accommodation - Slippery Surfaces""], _catRef:[model:""H&S VRBO Model - Italian"" path:""root"" node:""Accommodation - Slippery Surfaces""], _catRef:[model:""H&S VRBO Model - Japanese"" path:""root"" node:""Accommodation - Slippery Surfaces""], _catRef:[model:""H&S VRBO Model - Portuguese"" path:""root"" node:""Accommodation - Slippery Surfaces""], _catRef:[model:""H&S VRBO Model - Portuguese (Brazil)"" path:""root"" node:""Accommodation - Slippery Surfaces""], _catRef:[model:""H&S VRBO Model - Swedish"" path:""root"" node:""Accommodation - Slippery Surfaces""], _catRef:[model:""H&S VRBO Model - Spanish"" path:""root"" node:""Accommodation - Slippery Surfaces""], _catRef:[model:""H&S VRBO Model - Danish"" path:""root"" node:""Accommodation - Slippery Surfaces""], }]"
"H&S VRBO Model - REF Rule #2: [ LEVEL:SENTENCE TYPE:KEYWORD {HR_TSPID:""83""}] [ LEVEL:SENTENCE TYPE:AND_KEYWORD {_language:dutch, _language:english, _language:french, _language:german, _language:italian, _language:japanese, _language:portuguese, _language:portuguese(brazil), _language:spanish, _language:swedish, _language:danish, _languagedetected:danish, _language:""greek (modern)""}]"
NaturalId,SentenceId,Source,ADM_EXPEDIAHOTELID,CB Date of Creation,Document Date,HA_HOTELNAME,HR_DISPLAYLOCALE,HR_TSPID,REVIEW_TITLE,Sentence,VerbatimType,Verbatim
63e6c067beba85656dedecb6,8183205571,NOT SPECIFIED,75763832,1676066943727,10/02/2023 22:08:39 CST,two bedroom townhome in balmoral resort near theme parks - free gas card,en_us,83,positives & negatives - brooke’s condo,"Negatives: Uncomfortable (low) furniture inside & patio furniture, slippery shower floors, no spices (S & P) in unit, not sufficient towels for 4 people, ice maker jammed, dryer vent disconnected",HR_REVIEWTEXT,"Positives: Small containers of dish soap & washer soap left, close to grocery & liquor store, clean & welcoming

Negatives: Uncomfortable (low) furniture inside & patio furniture, slippery shower floors, no spices (S & P) in unit, not sufficient towels for 4 people, ice maker jammed, dryer vent disconnected"
63d9f1d1e2a8ba7841c609ce,8180038526,NOT SPECIFIED,55409128,1675227660744,01/02/2023 05:00:01 CST,a clear water getaway!,en_us,83,worth the price....,Slippery shower needs a non skid mat.,HR_REVIEWTEXT,"For the price it was a good spot for us. Refrigerator ran well, good air-conditioner. Plenty of hot water. For the price it's a good deal. We arrived late at night. The unit is on the third left upon entering the property not the second so it took awhile to find. Inaccurate arrival directions. The bed is high off the ground and is super soft. Slippery shower needs a non skid mat. Consider the price....Worth it."
63dd39389e492b3318428df5,8181003481,NOT SPECIFIED,45519866,1675442604159,03/02/2023 16:41:28 CST,"beautiful, updated mountain home w/hot tub, balcony & fireplaces - dogs ok!",en_ca,83,adequate,Hot tub barely accessible (i had to call company to send someone to try and sculpt out a safer access after 3 of us had slipped and fallen).,HR_REVIEWTEXT,"This is a large home that accommodated my family of eight plus 4 dogs. We all slept well and were comfortable. I expected a lot more for the money we spent though. Bathrooms and kitchen were clean but other areas needed more attention (hair and debris on the night tables etc). There is a large broken armchair that resides in the living room for some reason that is a hazard. Lots of broken blinds. Back door to apartment unit would not open. Hot tub barely accessible (i had to call company to send someone to try and sculpt out a safer access after 3 of us had slipped and fallen). I had to clean up after previous renters dog. Etc... no pride of ownership with this property. Run by a company. Reached out a few days before check in to see if they had a pack and play and high chair, but didnt hear back until day after check in. Was advised that this property did not have those items but in actual fact they do! They were in the large closet located off the living room. This all being said, we enjoyed the area and being able to be all together."
63da8e2c59938d3bc9391eb5,8180226143,NOT SPECIFIED,72078069,1675267638199,01/02/2023 16:06:33 CST,"spectacular water views!! huge beach house w/all new interior, balconies, beach access, firepit",en_us,83,great house,"first, a mat in the tub in the hall bathtub as it was slippery.",HR_REVIEWTEXT,"Great house. Across from ocean. Beautuful views from balcony. Furniture was very comfortable. House was nice and clean. I have only two suggestions; first, a mat in the tub in the hall bathtub as it was slippery. The second is to provide additional silverware."
63e7e4469c099c4cef763578,8183262435,NOT SPECIFIED,18978393,1676141649186,11/02/2023 18:53:58 CST,"welcome to happy days villa, 3 miles from disney world, southfacing pool, wifi",en_us,83,great vacation home,The only thing I could like to add is that I wish they had more bed covers (unless I missed them) and possibly add small rugs to the bathroom for when one gets out the shower to avoid slipping.,HR_REVIEWTEXT,If you plan on staying at this place for vacation I definitely recommend it! Had easy communication with the owner and the house was well kept and it was as advertised. Definetly loved the game room and had other wonderful amenities. The only thing I could like to add is that I wish they had more bed covers (unless I missed them) and possibly add small rugs to the bathroom for when one gets out the shower to avoid slipping. Other than those small things I've mentioned this home definitely gets a 10/10.
63e685669e293461f2ed9259,8183191502,NOT SPECIFIED,34135733,1676051824709,10/02/2023 17:56:54 CST,"your private getaway in point reyes, california",en_us,83,wonderful relaxing cabin,My husband fell in love with the heated floor in the bathroom.,HR_REVIEWTEXT,"The cabin was perfect for a four night escape with our beloved dog. It had all the amenities we needed to cook and relax. It was very clean and comfortable. My husband fell in love with the heated floor in the bathroom. The weather was all over the place and one of our favorite moments was the day it rained. We had a nice fire and the way the cabin sits in a hill, we felt like we were in a cozy tree house. Eleanore was the perfect host and she was quick to communicate. Overall a lovely time. This was our first VRBO and it won’t be our last."
63df09c8c770351f88339d62,8181551816,NOT SPECIFIED,51633272,1675561434613,05/02/2023 01:43:36 CST,heated pool access | 5*clean | flex cancelation,en_us,83,enjoyed savannaah,Tub was a bit slippery,HR_REVIEWTEXT,"Excellent job of retrofitting. Great staircase for top floor. Great with moon shining on us thru skylight as we went to sleep. Woah!
 Tub was a bit slippery but we didn’t fall. Bathroom sink pretty impractical as it has no room to park all the ablution paraphernalia at night. Wonderful location"
63e523f912966913dfdec320,8183120739,NOT SPECIFIED,74413222,1675961410997,09/02/2023 16:48:47 CST,"cozy house. centrally located. close to beach, las olas & dowtown ft. lauderdale",en_us,83,waiting for a cruise.,Our only issues were the tubs were very slippery.,HR_REVIEWTEXT,Beautiful interior! Our only issues were the tubs were very slippery. They really need tub mats.
63dffe4c01a873290986776f,8181883495,NOT SPECIFIED,84043893,1675624022868,05/02/2023 19:06:52 CST,4br/2.5ba family home in the grove // abodebucks,en_us,83,wonderful house!,"Only suggestion, for safety reasons I would fix closet fires so they do not fall and hurt someone and provide better lock for bathroom downstairs.",HR_REVIEWTEXT,"We stayed here with 6 adults and 4 kids. Everything was very clean and had everything we needed. There was plenty of place to sleep, even beds for the kids! They had games for the kids to play and if you have young kids they include a high chair and crib. The location was perfect! Walking distance to several restaurants and close to all attractions! 
Only suggestion, for safety reasons I would fix closet fires so they don’t fall and hurt someone and provide better lock for bathroom downstairs. 
We would absolutely stay here again! Communication was excellent! Thanks for a wonderful stay!"
63e90b97237d6f00ba5ee923,8183325408,NOT SPECIFIED,78626369,1676217291998,12/02/2023 15:53:59 CST,peaceful lake house,en_us,83,winter lake stay,My only real complaint is the upstairs shower was very slippery and needed to be careful.,HR_REVIEWTEXT,"Arranged to arrive early, and was pleasantly surprised by the property, house was clean, amenities were good and just overall nice!!! My only real complaint is the upstairs shower was very slippery and needed to be careful. We definitely enjoyed our stay....thanks"
