"Topic = ""H&S VRBO Model - REF"">>Topic = ""Electrical - Loose or exposed wiring"""
Date exported: 13/02/23
Exported by user: mclifford@expediagroup.com
Classification: H&S VRBO Model - REF
Report type: Topics Volume Report
Project: Expedia
Date range: from 29/01/23 to 12/02/23
Date filter: 30/01/2023 - 12/02/2023
Topic path: H&S VRBO Model - REF-->Electrical - Loose or exposed wiring
Sentiment Filter: All sentences
Matched: 32 sentences
"Electrical - Loose or exposed wiring Rule #1: [ LEVEL:SENTENCE TYPE:KEYWORD {_catRef:[model:""H&S VRBO Model - Dutch"" path:""root"" node:""Electrical - Loose or exposed wiring""], _catRef:[model:""H&S VRBO Model - English"" path:""root"" node:""Electrical - Loose or exposed wiring""], _catRef:[model:""H&S VRBO Model - French"" path:""root"" node:""Electrical - Loose or exposed wiring""], _catRef:[model:""H&S VRBO Model - German"" path:""root"" node:""Electrical - Loose or exposed wiring""], _catRef:[model:""H&S VRBO Model - Italian"" path:""root"" node:""Electrical - Loose or exposed wiring""], _catRef:[model:""H&S VRBO Model - Japanese"" path:""root"" node:""Electrical - Loose or exposed wiring""], _catRef:[model:""H&S VRBO Model - Portuguese"" path:""root"" node:""Electrical - Loose or exposed wiring""], _catRef:[model:""H&S VRBO Model - Portuguese (Brazil)"" path:""root"" node:""Electrical - Loose or exposed wiring""], _catRef:[model:""H&S VRBO Model - Swedish"" path:""root"" node:""Electrical - Loose or exposed wiring""], _catRef:[model:""H&S VRBO Model - Spanish"" path:""root"" node:""Electrical - Loose or exposed wiring""], _catRef:[model:""H&S VRBO Model - Danish"" path:""root"" node:""Electrical - Loose or exposed wiring""], }]"
"H&S VRBO Model - REF Rule #2: [ LEVEL:SENTENCE TYPE:KEYWORD {HR_TSPID:""83""}] [ LEVEL:SENTENCE TYPE:AND_KEYWORD {_language:dutch, _language:english, _language:french, _language:german, _language:italian, _language:japanese, _language:portuguese, _language:portuguese(brazil), _language:spanish, _language:swedish, _language:danish, _languagedetected:danish, _language:""greek (modern)""}]"
NaturalId,SentenceId,Source,ADM_EXPEDIAHOTELID,CB Date of Creation,Document Date,HA_HOTELNAME,HR_DISPLAYLOCALE,HR_TSPID,REVIEW_TITLE,Sentence,VerbatimType,Verbatim
63e29d85de705119f7e336b6,8182706304,NOT SPECIFIED,70861782,1675796037941,07/02/2023 18:50:45 CST,oceanfront corpus christi condo: resort perks!,en_us,83,construction and cockroaches,There was exposed wiring,HR_REVIEWTEXT,"We were not notified of the construction taking place at the property. If we would have known we would have cancelled prior to the final payment.There was exposed wiring, siding was removed,constant construction noise and concrete in need of repair. The unit was dirty, no hot water in the bathroom, the bed sinks to the middle and the sheets needed to be replaced. When we contacted the local contact he was rude and blamed the situation on us not letting him know sooner. We let the local contact know Sunday night that We were leaving. Our check out was for Tuesday.We tried to stick it out as we had already paid, but ended up leaving early when we had live cockroaches in the unit...there is a gap in the door frame."
63e114fbd5d8e80ac8dda862,8182228585,NOT SPECIFIED,88122451,1675696296151,06/02/2023 14:55:55 CST,new! lebanon studio ~ 13 mi to bennett springs!,en_us,83,will not book again- rodent poop and foreign hair in bedding,"Communication was horrible and in the end they said the pics of the poop, hair, dirtyness (and exposed wire) was not enough to issue a refund.",HR_REVIEWTEXT,"Check in was a nightmare. Did not get check in instructions on where to access the property so i ended up unintentionally disturbing the front tenant's who were kind enough to tell me where to go. Upon accessing the studio there was an overwhelming musty smell inside. The studio was tiny (as described) but the bathroom was smaller than imagined. If you are any taller than 5'6 you will have to sit sideways on the toilet or you wont fit because it buts up to the wall. Then as i was getting the pull out bed ready for my son, i seen rodent poop under the cusions. I proceeded to pull it out and found more rodent poop in the bedding. I had to wash all bedding so my son wasnt sleeping in rodent poop and pee. Then as i was stripping the bed i also found other people hair. (Im hoping it was beard hair and NOT pubic) either way NOT how i wanted to start my weekend. I took pics and tried to communicated with the host. Communication was horrible and in the end they said the pics of the poop, hair, dirtyness (and exposed wire) was not enough to issue a refund. Horrible rental!"
63db125f02b3967ce31dc470,8180382039,NOT SPECIFIED,34160359,1675301486083,02/02/2023 01:31:10 CST,chic beach apartment..steps to the sand...brand new...like a boutique hotel!,en_us,83,great location- unit a disappointment,Wires hanging out of wall.,HR_REVIEWTEXT,Had musk smell. Wires hanging out of wall. Dishwasher tried to fall out of cabinet no working vents in bathroom. Just not properly maintained. I now know why they say no refund at booking
63da7435fd489c389dc33025,8180192873,NOT SPECIFIED,65301529,1675261003622,01/02/2023 14:16:21 CST,"massanutten near slopes,  2 masters,  pool table, air hockey, 2 fps",en_us,83,family getaway weekend,"The house does need some maintenance (door handles loose, broken doors on the downstairs entrainment center and dresser in master bedroom, and all the wall electrical plugs were all loose.",HR_REVIEWTEXT,"This property was exactly as it was advertised. We enjoyed our long weekend getaway with family and friends. The house does need some maintenance (door handles loose, broken doors on the downstairs entrainment center and dresser in master bedroom, and all the wall electrical plugs were all loose. Also the grill was rusted and in bad shape.. yes we did grill while visiting after having to get a grill cleaning kit). 

As far as Massanutten resort- wish I could say we enjoyed it but that is not the case. Purchasing tickets for snow sports is extremely difficult. Also- the Saturday we were there, a private rental closed the mini golf, GoKarts, and other activities. Not ideal in peak winter season. The slopes were so packed and just all around not the best experience of the resort itself.
The property served its purpose but we will not be returning to Massanutten Resort. 
For the host- easy check-in and effortless reservation process. Thank you!"
63d6c19f9dd39b7daa29c527,8179161743,NOT SPECIFIED,69533333,1675018754948,29/01/2023 18:57:35 CST,the place is charming across the lake,en_us,83,older mobile home was just ok.,There is an unsightly tangle of wires hanging below the television.,HR_REVIEWTEXT,"This is an older park model trailer. It’s nothing fancy, and has several issues, but it is clean and well supplied. 

 The resort is very nice. And the location is close to many places of interest. 

We had some difficulty and confusion at check in. The key is in a lock box that we struggled to get I open Once we did get into it we tried to open the door that the box was hanging from, but it would not open. We then discovered the key fit the sliding door. Small thing, but it was kind of frustrating after a day of travel. Then it became clear that the other door was another room that we did not have access to. Not a big deal, just would have liked to know this before hand. Nice backyard that we did not get to use because we were only there a short time. The small front porch had overgrown vines and dirty chairs. There was rain recently so maybe the host had not had a chance to clean them yet. 

If you’re just needing a place to land at night and don’t need luxury accommodations, this will be fine. It’s not fancy. There’s an unsightly tangle of wires hanging below the television. And using the television was confusing. If you’re cooking you have to step into the hallway in order to get into the refrigerator. The binder with information was just three pages and was not a great help. 

It was just ok."
63dec9a925e58f7f9695c99d,8181472859,NOT SPECIFIED,88814150,1675545040717,04/02/2023 21:10:01 CST,"oceanfront dog-friendly home with private beach access, amazing views, deck",en_us,83,"good location, needs to resolve some safety issues","outlet behind bed missing electrical cover, safety hazard;",HR_REVIEWTEXT,"5 bedrooms, only 2 had tvs, neither worked, one working tv in whole house; light at outside stairway did not work, had to walk down steps in dark, safety hazard; outlet behind bed missing electrical cover, safety hazard; upper window in dining area came crashing down when unlocked, safety hazard; upstairs bedroom exterior door would not open, no egress from bedroom, safety hazard."
63dad737bc6fce68ac15e706,8180318485,NOT SPECIFIED,83559000,1675286345152,01/02/2023 21:18:47 CST,peabody 1 adorable 2 bedroom,en_us,83,unfavorable!,One sconce was hanging by wires off the wall.,HR_REVIEWTEXT,"This is our 1st & only unfavorable VRBO review after many 5 star bookings. We vacated 2 days early due to poor conditions. 
The entrance was at the back, was dark, cluttered & had a crumbling cement stairs. Out front had bags of garbage and toilets to be disposed of for two days after we arrived. The living room had poor lighting, had missing bulbs & the room was still dark after they replaced a bulb. It was too dark to read a book without a flashlight. One sconce was hanging by wires off the wall. The floor was unfinished between the kitchen & living room causing a tripping hazard. The kitchen light didn't work causing us to have to use our cell phone flashlights to see. One hall light flickered the whole time it was on. The noisy sliding BR doors were very hard to open and close. There were no closets or hooks anywhere to hang clothes in the bedrooms or the entrance to hang a coat. There wasn't enough hot water to take a ""quick"" shower. The windows had bars, ""not pictured"" on the listing. The windows and curtains were filthy. The kitchen counters and coffee pot had not been cleaned. The kitchen had water stained & sagging ceiling tiles. We would, periodically, smell sewer gas.
We did communicate with the manager during our stay. They did address replacing a couple light bulbs, however, the rooms remained dark and no light in the kitchen. She was sending our complaint with pictures we took, to the owner however, we have not heard anything back from the owner even 5 days later which is careless on his part. We regret that we paid $896.57 for 5 nights."
63e924712f98cc0429549d72,8183336089,NOT SPECIFIED,74794247,1676223625896,12/02/2023 17:40:01 CST,new! golfer’s paradise - the villages in wildwood!,en_us,83,great villa - same rent-by-owner shortcoming,"The villa was very clean and comfortable, full kitchen and comfy bedrooms, but this villa like so many other rent-by-owners has the same TV limitations - no live broadcast or cable channels.",HR_REVIEWTEXT,"We had a very nice stay, very close to the community pool, shopping, varied choice of restaurants. The villa was very clean and comfortable, full kitchen and comfy bedrooms, but this villa like so many other rent-by-owners has the same TV limitations - no live broadcast or cable channels. You can choose from hundreds of useless streaming channels but you can't watch live TV, get current news, weather, sports. I am not interested in streaming replays on Sunday evening of CNN news from last Friday morning, ""used news"" has no value. 
Cable must be a cost these owners don't want to pay, but I will be questioning listings in the future about available live TV."
63dfe5cc8566031fede0d0d6,8181851833,NOT SPECIFIED,74279465,1675617749995,05/02/2023 17:22:19 CST,"apt. 9, up to 6 person apartment in old san juan",en_us,83,"filthy, disrepair, unaccommodating",There were cords and exposed wires allover the unit.,HR_REVIEWTEXT,"I have stayed in the Old San Juan area many times, always in a VRBO. There are always some quirks with buildings that are as old and historic as these. I have never had a complaint or a bad experience until this time. 

The troubles started at check in. VRBO sent me an email with the apartment number and a door code. The owner sent me a text with a different apartment number and a different door code. I texted back that VRBO had sent me different information and verified that I should use the VRBO information. When I entered the apartment, there was someone staying there. I then asked the owner if I should go to the other unit, to which they replied I should and asked if I had the code (that they had just sent me). 

I entered that unit and looked around. It was nothing like the photos but I had dinner plans and did not have time to do a thorough inspection. I had some business that evening and the following morning, so I tried to connect to the wifi using the instructions provided. The network name provided did not appear, so I texted the owner. They responded quickly and said that someone would be out that night to repair it. No one ever showed up. I spoke to the occupant of the other unit and he said that he had not had wifi for his time there and was repeatedly told someone would come by to fix it. He was staying for a month and had not seen anyone come to fix it. 

When I returned from dinner I texted that the wifi was still not working and was told ""there is a green light on the box so it is good"" there is no box or a green light and the network name would appear only occasionally. When it did appear the multiple passwords that I was given did not work.

I did a more thorough inspection of the unit on my return. I found the tables and counters were sticky in spots, There was a used washcloth on the kitchen counter, the cabinet doors were on crooked and did not stay closed, the floors, walls, light switches, and shower were filthy. The toilet seat had only one bolt and slid off the stool when sat on, the rear door was duct taped closed but you could see light coming through. There were cords and exposed wires allover the unit. There was broken conduits with the wires exposed, electrical boxes duct taped closed and air conditioners that did not cool the unit down to below 75 degrees after 5 hours. The final straw for me was when I pulled back the covers on the bed to see that the sheets were stained in spots with a dark substance."
63dfe5cc8566031fede0d0d6,8181851834,NOT SPECIFIED,74279465,1675617749995,05/02/2023 17:22:19 CST,"apt. 9, up to 6 person apartment in old san juan",en_us,83,"filthy, disrepair, unaccommodating","There was broken conduits with the wires exposed, electrical boxes duct taped closed and air conditioners that did not cool the unit down to below 75 degrees after 5 hours.",HR_REVIEWTEXT,"I have stayed in the Old San Juan area many times, always in a VRBO. There are always some quirks with buildings that are as old and historic as these. I have never had a complaint or a bad experience until this time. 

The troubles started at check in. VRBO sent me an email with the apartment number and a door code. The owner sent me a text with a different apartment number and a different door code. I texted back that VRBO had sent me different information and verified that I should use the VRBO information. When I entered the apartment, there was someone staying there. I then asked the owner if I should go to the other unit, to which they replied I should and asked if I had the code (that they had just sent me). 

I entered that unit and looked around. It was nothing like the photos but I had dinner plans and did not have time to do a thorough inspection. I had some business that evening and the following morning, so I tried to connect to the wifi using the instructions provided. The network name provided did not appear, so I texted the owner. They responded quickly and said that someone would be out that night to repair it. No one ever showed up. I spoke to the occupant of the other unit and he said that he had not had wifi for his time there and was repeatedly told someone would come by to fix it. He was staying for a month and had not seen anyone come to fix it. 

When I returned from dinner I texted that the wifi was still not working and was told ""there is a green light on the box so it is good"" there is no box or a green light and the network name would appear only occasionally. When it did appear the multiple passwords that I was given did not work.

I did a more thorough inspection of the unit on my return. I found the tables and counters were sticky in spots, There was a used washcloth on the kitchen counter, the cabinet doors were on crooked and did not stay closed, the floors, walls, light switches, and shower were filthy. The toilet seat had only one bolt and slid off the stool when sat on, the rear door was duct taped closed but you could see light coming through. There were cords and exposed wires allover the unit. There was broken conduits with the wires exposed, electrical boxes duct taped closed and air conditioners that did not cool the unit down to below 75 degrees after 5 hours. The final straw for me was when I pulled back the covers on the bed to see that the sheets were stained in spots with a dark substance."
