"Topic = ""H&S VRBO Model - REF"">>Topic = ""Child"""
Date exported: 13/02/23
Exported by user: mclifford@expediagroup.com
Classification: H&S VRBO Model - REF
Report type: Topics Volume Report
Project: Expedia
Date range: from 29/01/23 to 12/02/23
Date filter: 30/01/2023 - 12/02/2023
Topic path: H&S VRBO Model - REF-->Child
Sentiment Filter: All sentences
Matched: 25 sentences
"Child Rule #1: [ LEVEL:SENTENCE TYPE:KEYWORD {_catRef:[model:""H&S VRBO Model - Dutch"" path:""root"" node:""Child""], _catRef:[model:""H&S VRBO Model - English"" path:""root"" node:""Child""], _catRef:[model:""H&S VRBO Model - French"" path:""root"" node:""Child""], _catRef:[model:""H&S VRBO Model - German"" path:""root"" node:""Child""], _catRef:[model:""H&S VRBO Model - Italian"" path:""root"" node:""Child""], _catRef:[model:""H&S VRBO Model - Japanese"" path:""root"" node:""Child""], _catRef:[model:""H&S VRBO Model - Portuguese"" path:""root"" node:""Child""], _catRef:[model:""H&S VRBO Model - Portuguese (Brazil)"" path:""root"" node:""Child""], _catRef:[model:""H&S VRBO Model - Swedish"" path:""root"" node:""Child""], _catRef:[model:""H&S VRBO Model - Spanish"" path:""root"" node:""Child""], _catRef:[model:""H&S VRBO Model - Danish"" path:""root"" node:""Child""], }]"
"H&S VRBO Model - REF Rule #2: [ LEVEL:SENTENCE TYPE:KEYWORD {HR_TSPID:""83""}] [ LEVEL:SENTENCE TYPE:AND_KEYWORD {_language:dutch, _language:english, _language:french, _language:german, _language:italian, _language:japanese, _language:portuguese, _language:portuguese(brazil), _language:spanish, _language:swedish, _language:danish, _languagedetected:danish, _language:""greek (modern)""}]"
NaturalId,SentenceId,Source,ADM_EXPEDIAHOTELID,CB Date of Creation,Document Date,HA_HOTELNAME,HR_DISPLAYLOCALE,HR_TSPID,REVIEW_TITLE,Sentence,VerbatimType,Verbatim
63d6dd91a441b4740c6b4bb4,8179194676,NOT SPECIFIED,86291396,1675025820061,29/01/2023 20:56:48 CST,perfect large group gem with game room/great yard,en_us,83,just ok,"coming up in several areas, a real trip hazard for a toddler or elderly",HR_REVIEWTEXT,"We booked mostly for the air hockey table, which didn’t blow enough air to work properly so that was disappointing. Carpet had been vacuumed and sinks and toilets were clean but the place badly needs a deep clean. Walls and baseboards and window ledges were filthy. The mini blinds in the “kids” room (bunk bed room) were all broken so the kids were up with the sun. The floors are entirely splitting and coming up in several areas, a real trip hazard for a toddler or elderly. The furniture was equally beat up, the chair in the living room looked like it was rescued from a curb. There was no toilet paper in the bathroom, no paper towel in the kitchen. Sponges were scary dirty, thankfully we brought our own of all of these things…washed every dish before we used it, especially the utensils, because the drawers were so gross inside. The lights over the dining room table didn’t work and the remote control lights for the other rooms were wonky, my daughter was trying to turn hers on and it turned mine off. As for the pros: good location, we felt safe, good size yard to play in and plenty of space for a family or two. We enjoyed the sleds they provided. I really liked the cubbies in the kitchen and all the rooms. Check in was easy and host was communicative. The place has potential but really needs some attention. I understand new flooring is expensive but at minimum the place needs a deep cleaning and new blinds in the one room, and that would cost less than we paid for our stay so I just don’t understand why it’s not been done."
63d82e0e63bc34179c6afe0b,8179549005,NOT SPECIFIED,77961488,1675111962037,30/01/2023 20:52:02 CST,new! shenandoah valley home - 9 mi to nat’l park!,en_us,83,great cabin for shenandoah,The house is jam packed with hunting stuff and sharp woodworking tools which may be hazardous for inquisitive children.,HR_REVIEWTEXT,"This cabin is in an excellent location close to the skyline caverns/drive. The kitchen is well stocked with every utensil you could possibly need and the bathrooms are modern. TVs in all bedrooms and other living areas. Games and puzzles for the kids downstairs were a bonus. 

We stayed as a family with 4 children aged 5-11. The house is jam packed with hunting stuff and sharp woodworking tools which may be hazardous for inquisitive children. Although there is a wood burning stove in the living room this was not available to guests due to insurance. This was disappointing as we were hoping to do s’mores with the kids. That said there is a fire pit (of sorts) in the back yard. 

The outside area requires a lot of work and is obviously undergoing landscaping. Unfortunately, tools required for this were scattered around the yard and this could be dangerous for kids. However, there was plenty of other space for them to run around and once the yard is finished it will be great."
63dab05590a9453fac55c7be,8180267291,NOT SPECIFIED,63857272,1675276431401,01/02/2023 18:32:34 CST,waterfont paradise -  hot pools nearby,en_nz,83,avoid avoid avoid,The kayaks are decrepit and not safe for young kids to be on so do not bother there.,HR_REVIEWTEXT,"AVOID, on the first day we couldn’t even check in on time as the owner was still there looking for her keys. We were empathetic towards this so helped where we could. Once we had finally all settled in, she knocked and came through the house two or three times looking for them and we had to move our cars several times as they went in and out. She then left her phone in the house and all throughout the evening until 11:30pm it rang on and off waking us and our children several times until we could finally locate it and discovered whose phone it was! Our first day felt like an absolute shambles because of all this and we didn’t get to properly relax at all. We then had crappy intermittently working internet the whole trip despite us saying we relied on the internet overnight (medical reason) Cheryl’s communication around this was rubbish until the final morning when she decided to call spark and by then it was too late. And no, DVDs on offer did not fix the issue we had overnight. The kayaks are decrepit and not safe for young kids to be on so don’t bother there. And to top off our holiday, despite us being SO patient and kind towards Cheryl the entire trip, she then accuses us off breaking a wheel on a trundler we didn’t even use and is charging us an extra $845 because of this and due to sand in the house and some fingerprints on the sliding door and the couch.. We were at a BEACH house with 4 young kids - come on! I grew up with a parent who was a cleaner, that parent was staying with us. We left that house cleaner than most would have, even wiping out her fridge and only left the vacuuming and linen washing for the cleaner. There are NO instructions that say any trace of sand is banned in the beach house, I rinsed off all their togs in the sink next to the washing machine, as anyone would but I’m not the perfect mum. It’s impossible for some sand not to escape me, I did my best but to charge us over $800 for sand and fingerprints is UNREASONABLE. I saw her previous review where she accused other guests of water damage and nearly didn’t book because of it but figured it was isolated and surely we’d be all good but it seems like this is just the way the owner is, she was so angry about the fact she was out of pocket for losing her keys and so she’s now clutching at straws trying to recoup some of that loss by charging us for ridiculous things. We will not be paying for this and are just grateful to have a lawyer in our family to sort her out."
63e33cf3cd13e352b7c70229,8182892840,NOT SPECIFIED,21706725,1675836691927,08/02/2023 06:10:59 CST,"penthouse w/loft, king bed, private laundry, updated kitchen, great location",en_us,83,wonderful family ski vacation,Plastic plates/bowls for kids Needs new broom Some of the pots are SO old...hazard Leftover storage options for the visit...,HR_REVIEWTEXT,"The property was good. It was close to the slopes and fairly well maintained. The following items were found by us needing to be looked at or repaired. We had one sink issue during our first day and the management did send someone that evening.

Needs fixing ....
Kids bathroom toilet - upstairs farther from washer/dryer
Other upstairs bath shower doesn't drain

Random things....
Plastic plates/bowls for kids
Needs new broom
Some of the pots are SO old...hazard
Leftover storage options for the visit... Rubbermaid
Blender base is missing
Griddle grease catcher missing
Need a second cookie sheet (makes things easier for large families)
More kitchen towels ....2 isn't enough
Bench unstable for kids....fell over three times. The following items had issues."
63d831bb27773349e0454b15,8179550532,NOT SPECIFIED,42129913,1675112947968,30/01/2023 21:08:10 CST,~ relaxing oasis  - heated pool - modern luxury ~,en_us,83,outdoor space is outstanding,One small issue - two of the exterior doors do not have child safety locks.,HR_REVIEWTEXT,"This is a fabulous property and the outdoor space is great! The property is clean, well laid out and lib a great location. One small issue - two of the exterior doors do not have child safety locks. If you don’t have small kids it shouldn’t be a problem but we did. Management was quick to respond with a work around. Highly recommend this place!"
63e2873f3035aa25ba3e2afd,8182671785,NOT SPECIFIED,73261454,1675790154869,07/02/2023 17:15:43 CST,"white mountain retreat, 29 mi to sunrise park",en_us,83,great place however we stayed cold at nights while we slept,Also does have pellet stove and a tiny space heater in closet but do not feel safe with small children leaving these things on at night.,HR_REVIEWTEXT,"Everything about this property was great except the heater situation. With a 2 year old who doesn't keep clothes or blankets on I need a warm house. With the thermostat that has settings set to go back to 56 every 2 hours it was a rough couple of nights for us. Cold family and cold and fussy baby was not fun. Heat does turn yes, but settings don't allow it to stay the temp to keep warm. Its like fighting with the thermostat all night. Hopefully owner can get settings changed so no one else has an uncomfortable stay. Also does have pellet stove and a tiny space heater in closet but don't feel safe with small children leaving these things on at night. Heat from heater would have been best for us."
63d8c78a68280e7fbb252823,8179705694,NOT SPECIFIED,33574508,1675151254103,31/01/2023 07:47:22 CST,the guard's cottage at the refinery,en_nz,83,great place to stay,The garden was a relaxing place to sit and relax The advocado tree was handy for shade however the baby avos falling on our heads was not too good!!!,HR_REVIEWTEXT,"A wonderful place for our dogs to roam.The garden was a relaxing place to sit and relax The advocado tree was handy for shade however the baby avos falling on our heads wasnt too good!!!
There were day trips for a change of scenery.Lots of choice for cafes and eateries. The cafe on site was 5 star the staff friendly food delicious!!! The kitchen was well equipped Bathroom and towels top notch!! Would return there soon."
63d6f90025ee674db0b44241,8179240661,NOT SPECIFIED,20144006,1675033368341,29/01/2023 22:53:52 CST,"baldy bear cabin, a real mountain get-away! free activities.",en_us,83,not a good fit,"With a small child, this is not safe",HR_REVIEWTEXT,"After much thought, my husband and I would give this a 3 out of 5. It was not a good foot for our family and we would discourage those with kids under age 3 or those uncomfortable starting and maintaining a wood-burning fire from renting it.

The biggest concern we had was the heating. It was in the single digits while we were there and the main level would not get above ~62 during the morning and evening (sometimes lower). It was brutal for our infant who was crawling/walking on the floor (and us as well...we stayed in our ski jackets/pants). When we asked management if the heater was broken, we were then told to maintain heat in the house during these temperatures, we must light a fire. With a small child, this is not safe, and had we known this we would have stayed elsewhere. There was a radiator that we could use, but again, safety concern. 

The house also said it was ""stocked for full capacity."" However, there were only 5 fire starters (which we quickly used after the baby went to sleep in an attempt to warm up, but definitely wouldn't last for all day & night for a full week) and 2 shampoo and conditioner bottles (the super small ones from a hotel). So we rationed heat even more and dealt with helmet hair. 

We brought our 4W drive car with us and the snow was plowed on our street one morning, but it created a snow drift at the driveway entrance which our car got stuck on and we spent 30 minutes digging out of it. 

Although the beds state they are queens, they are the smallest queens I've ever slept on.

Lastly, there was a leak in the ceiling on our second night. Dripped for about 12 hours pretty steadily. We called management right when it happened but were told they wouldn't get to it until first thing the next morning. By 9am the next morning no one was there yet and when we called they were unaware of the urgency. After talking longer, they mentioned the leak was there a few days before and it was just an ice dam on the roof that needed to be chipped off. As an owner, I would be upset about a leak not addressed more promptly. As a renter, it was really frustrating to be dealing with calling/scheduling maintenance while on vacation and sleeping with the constant ""drip drip.""

Overall, this would have been a good fit for some college or graduate students who want to pack into a house and have the freedom to be able to cook and use a fireplace and have a hot tub. However, this was not a good fit at all for a family with a small child."
63de92da788e963ea6f2776d,8181404079,NOT SPECIFIED,82523224,1675530991747,04/02/2023 17:16:09 CST,somerset barn house - sleeps 8,en_gb,83,deep disappointment,Holes in the floorboards with nails and screws proud not safe for a toddler crawling around.,HR_REVIEWTEXT,"Bitterly disappointed by the quality of the living area, this was not clearly obvious on the photographs. Holes in the floorboards with nails and screws proud not safe for a toddler crawling around. Reported straight away and the staff would not believe our feed back. No gate to keep the dogs in either."
63d989a1c6f4cb18280d496c,8179939768,NOT SPECIFIED,64576706,1675200954983,31/01/2023 21:35:24 CST,lake house winnipesaukee  - rustic luxury island property,en_us,83,the perfect vacation,Our young kids could run around and play without any concerns for their safety.,HR_REVIEWTEXT,"We loved our time here. The pictures don't do it justice. The house is even nicer in person than it appears. The island is easy to get to (assuming you have a boat). The views were unbelievable. We had drinks by the platform watching sunset every night. Our young kids could run around and play without any concerns for their safety. The cove is very protected and was a lot of fun to relax and swim off of the dock. The house was well supplied. And the hosts were fantastic. Day or night, they were available and gave us a ton of suggestions on places to visit and things to do. We had a vacation that helped us create memories that we will cherish for a lifetime. We'll definitely be back again. The only heads up that I will give (which is no fault of the hosts) is that the lake can be a little difficult to navigate if its your first time. This was my first time on the lake and I was a little nervous trying to find my way around. By the end of the week, I got the hang of it, but it took a full week before I got comfortable so make sure that you are confident in your boat driving and navigation skills."
