"Topic = ""H&S VRBO Model - REF"">>Topic = ""Pest Control - Mice"""
Date exported: 13/02/23
Exported by user: mclifford@expediagroup.com
Classification: H&S VRBO Model - REF
Report type: Topics Volume Report
Project: Expedia
Date range: from 29/01/23 to 12/02/23
Date filter: 30/01/2023 - 12/02/2023
Topic path: H&S VRBO Model - REF-->Pest Control - Mice
Sentiment Filter: All sentences
Matched: 17 sentences
"Pest Control - Mice Rule #1: [ LEVEL:SENTENCE TYPE:KEYWORD {_catRef:[model:""H&S VRBO Model - Dutch"" path:""root"" node:""Pest-Control - Mice""], _catRef:[model:""H&S VRBO Model - English"" path:""root"" node:""Pest-Control - Mice""], _catRef:[model:""H&S VRBO Model - French"" path:""root"" node:""Pest-Control - Mice""], _catRef:[model:""H&S VRBO Model - German"" path:""root"" node:""Pest-Control - Mice""], _catRef:[model:""H&S VRBO Model - Italian"" path:""root"" node:""Pest-Control - Mice""], _catRef:[model:""H&S VRBO Model - Japanese"" path:""root"" node:""Pest-Control - Mice""], _catRef:[model:""H&S VRBO Model - Portuguese"" path:""root"" node:""Pest-Control - Mice""], _catRef:[model:""H&S VRBO Model - Portuguese (Brazil)"" path:""root"" node:""Pest-Control - Mice""], _catRef:[model:""H&S VRBO Model - Swedish"" path:""root"" node:""Pest-Control - Mice""], _catRef:[model:""H&S VRBO Model - Spanish"" path:""root"" node:""Pest-Control - Mice""], _catRef:[model:""H&S VRBO Model - Danish"" path:""root"" node:""Pest-Control - Mice""], }]"
"H&S VRBO Model - REF Rule #2: [ LEVEL:SENTENCE TYPE:KEYWORD {HR_TSPID:""83""}] [ LEVEL:SENTENCE TYPE:AND_KEYWORD {_language:dutch, _language:english, _language:french, _language:german, _language:italian, _language:japanese, _language:portuguese, _language:portuguese(brazil), _language:spanish, _language:swedish, _language:danish, _languagedetected:danish, _language:""greek (modern)""}]"
NaturalId,SentenceId,Source,ADM_EXPEDIAHOTELID,CB Date of Creation,Document Date,HA_HOTELNAME,HR_DISPLAYLOCALE,HR_TSPID,REVIEW_TITLE,Sentence,VerbatimType,Verbatim
63d83e5c3257de0f55f984be,8179568692,NOT SPECIFIED,45173441,1675116184947,30/01/2023 22:02:03 CST,charming 2br near botanical gardens // abodebucks,en_us,83,rats,Rat traps everywhere,HR_REVIEWTEXT,Rat traps everywhere
63dd862d994b4f099d9e61e5,8181096690,NOT SPECIFIED,83096184,1675462199388,02/02/2023 05:48:46 CST,cabin w/access to private hiking/hot tub/bbq/fire pit/pet friendly,en_us,83,"absolutely filthy: blood, mucus, mice, oh my",not 11am plural MICE literally running OVER my toddler completely unbothered by a room full of people,HR_REVIEWTEXT,"This is hands down the dirtiest vacation rental I have ever stayed in. I don’t even know where to start. How about the sheets on the bed had dried blood/mucus on them? Dried blood was also smeared on the wall of the downstairs bathroom. There was a filled syringe of children’s Tylenol just laying out. What is going on with these cleaning services I paid for? LOL at this being sanitized per COVID regulations. 

The bunk beds are not put together correctly and sound like they are about to collapse and crush the occupants. 

One of the bedrooms is basically an unfinished construction site with a plastic bag tied around a sewer gas pipe and weird patches of subfloor showing throughout. 

THE MICE. I can understand a midnight mouse in a winter cabin but not 11am plural MICE literally running OVER my toddler completely unbothered by a room full of people. This is an infestation. 

Do you think I dared look under a bed? I did. Do you think anyone has cleaned under there in this lifetime? They haven’t! The couch was visibly dirty from across the room. The house instructions say put a blanket over it. To protect it? Or to protect yourself? All the additional linens were just wadded up on a shelf with random socks and shoes…definitely not giving a “someone washed and folded these” vibe. 

I basically sanitized everything I have ever owned after staying here. If the price was more “drunken hangout with your buds” I would get it but it wasn’t. Maybe I’m gonna be a hotel person from now on."
63d72287713ca40e3a8e980e,8179299434,NOT SPECIFIED,23557746,1675043480065,30/01/2023 01:51:03 CST,"family-friendly golf course home near purgatory. hot tub,  bbq. april special.",en_us,83,vacation,there was mouse poop in the kitchen cabinets,HR_REVIEWTEXT,"The house was beautiful. It wasn’t very clean .We found trash in a couple of the beds,there was mouse poop in the kitchen cabinets,The back door handle fell off as soon as we tried to open it.So did the oven door handle.There was huge spider webs in different rooms.I think it’s an awesome place but could use a little maintenance and a new house cleaning service.Also couldn’t get some of the remotes to work.We would have fixed the back door but couldn’t find the screw.Overall a nice house in a nice location."
63dfa22f02b3967ce3d2e877,8181722976,NOT SPECIFIED,29581835,1675600450039,05/02/2023 12:33:51 CST,"the holiday home: modern gem with a magnificent view, unique location & sauna",de_de,83,super unterkunft,"Die Unterkunft befindet sich direkt neben dem übungsgelände der Skischule, bei der unsere Mäuse Waren.",HR_REVIEWTEXT,"Die Unterkunft befindet sich direkt neben dem übungsgelände der Skischule, bei der unsere Mäuse Waren. Der Weg zum lift war auch mit skischuhen kein Problem.
Würden jederzeit hier wieder Urlaub machen.
Sehr nette Vermieterin."
63e39a932def801079ca77ce,8183033883,NOT SPECIFIED,33486316,1675860637325,08/02/2023 12:50:27 CST,north lake tahoe vacation special,en_us,83,adequate but could use improvements,A live mouse was actually spotted in the kitchen,HR_REVIEWTEXT,"The property was adequate, and we would stay there again, most likely. However, it is very basic with few, if any, extras provided by similarly located condos. Also, there is a rodent problem. A live mouse was actually spotted in the kitchen, which certainly freaked out one of the guests!"
63e1bc5512c432169a190a58,8182448927,NOT SPECIFIED,73090659,1675738228471,07/02/2023 02:49:57 CST,calming coastal cottage in napier,en_nz,83,great place but needs cleaning.,There was chewing gum stuck on the door handle in the kitchen and mouse poo under the kitchen window squab.,HR_REVIEWTEXT,"We really enjoyed the location, the layout of the house and the spaciousness of it, also that it had great kitchen equipment. It really served us well. Unfortunately it was not clean upon arrival. After a long drive to Napier, we vacuumed the very dusty floors and a very dusty (and stained) couch with a lot of debri under the cushions. Also, the kitchen floor was really dirty. We tried to find a mop and the only mop had a spare new mophead in the laundry, but it didn't fit. Also, there was no spray and wipe. So we bought a new mophead and a refil bottle of spray and wipe that we used while there and left the rest behind. It was nice to see the place was environmentally friendly with their supplied products. I took the liberty to remove a net curtain in the front bedroom with black mould on it and left it in the laundry. The lights in the lounge flickered a lot and the bulb was dead in the dining room. As they are large bulbs, I wasn't sure where to get a replacement. There was chewing gum stuck on the door handle in the kitchen and mouse poo under the kitchen window squab. So, we did a bit of a spring clean and then we felt great. Nice pottery in the cupboards, that we admired while there. To be fair it is a really great place to stay and we loved being there. Nice and airy and light. There was a sticker on the toilet roll when we arrived that said Gem Cleaning Services, so it may be that the property manager needs to give them some feedback."
63e1d28538fd6f20551006db,8182468084,NOT SPECIFIED,88220463,1675743888371,07/02/2023 04:24:37 CST,comfy large 4br home in ft. worth for big families,en_us,83,terrible,Rat poop was everywhere.,HR_REVIEWTEXT,"There was a RAT living there. Not a mouse an actual rat. We actually saw it run under the dishwasher. Rat poop was everywhere. When I contacted the owner, they said someone would show up to clean it… no one showed up. I asked for a refund and stayed at a hotel because of the health risk. They told me I would get a refund, but still have not received it. Communication started out great, but then got worse as the rat problem arises."
63dfab5883ad20586f605cca,8181741882,NOT SPECIFIED,87554443,1675602785771,05/02/2023 13:12:55 CST,"lovely river-view retreat with big yard, deck, patio & fireplace - dog-friendly",en_us,83,stand alone hotel,"The home was not very clean at arrival, including the front walk covered in snow and ice, dirty foyer, mouse droppings in drawers, living room rug full of crumbs.",HR_REVIEWTEXT,"Property is more of a hotel than a VRBO. Single use amenities only, no pantry staples (oil, spices, condiments, basic flour/sugar) no coffee pods for the Kurig the only way to make coffee unless you bring your own appliance and beans. Bring everything. We located wood for the fire behind the garage as we were only given 2 logs and 8 pieces of kindling, upon asking the property manager, we were informed we should go purchase some (from where?!). The home was not very clean at arrival, including the front walk covered in snow and ice, dirty foyer, mouse droppings in drawers, living room rug full of crumbs. We found a vacuum to use, and it was clogged and not picking anything up took it apart cleaned out the clog and vacuumed the main floor. Advertised Netflix is false, the TV's are for appearance as they are not Smart nor do they have a streaming service connection or cable/dish and the internet spent most of the time trying to connect. My daughter was unable to participate in her semester wrap-up because she could not stay connected with her school Chromebook. 

The beds were comfortable, and the linens were abundant."
63d95e80be44fb04c44060c4,8179884913,NOT SPECIFIED,66221792,1675190036497,31/01/2023 18:31:28 CST,luxurious pool & spa getaway... prime location in boynton beach!,en_us,83,nightmare,"Ants everywhere, mice ate bananas on dining table!",HR_REVIEWTEXT,"Duplex, not advertiesed.! Ants everywhere, mice ate bananas on dining table! Patio furniture is filthy and moldy. Neighborhood is beyond description, cars up on blocks, no wheels, houses with plywood covering windows, mattresses laying in front yards. Left early due to Gun shots next door, police called, report is available. Photos of all are available, contact boxhlr@hotmail.Com, for info.currently, going thru small claims for redress. Owners reply : no problems, neighbors aren’t his problems, fire works, not gun shots. Serious scam, for more in contact Traci Hutton attorney at law, Grapevine Texas"
63d956b58d64e77a77b47c28,8179868068,NOT SPECIFIED,83716460,1675187903268,31/01/2023 17:58:12 CST,new! pendleton’s place at braddock metro walk to braddock metro in 3 mins!,en_us,83,not impressed.,My husband saw a mouse in the kitchen our last night.,HR_REVIEWTEXT,"The day after we arrived a pest control delivery person came to deliver pest sticky traps. When I notified the owner we would leave them on the kitchen table, the response was to ask if they also delivered large black bait stations that should go outside. We used the only (partial) roll of toilet paper the first morning and notified the owner, asking if there was more. The response was that they would have cleaners drop some off. We returned late that afternoon to no toilet paper. None was ever delivered (we had to purchase our own). My husband saw a mouse in the kitchen our last night. Would NOT recommend!"
63dad0db5f55c1285db3bae9,8180311033,NOT SPECIFIED,26506765,1675284730353,01/02/2023 20:51:38 CST,"amazing mtn log cabin, hot tub, secluded, near breckenridge!  serene awesomeness",en_us,83,🔺🔺,"The heater was not working, someone came to fix it [heater] after we were freezing for a while, we paid a $100 cleaning fee and found a dead mouse in the kitchen, the owner offered a refund in a phone call and then she never answered back our messages about the refund, she also offered late checkout for all the trouble, we stayed just 3 more hours, the cabin is beautiful but the service was terrible.",HR_REVIEWTEXT,"The heater wasn’t working, someone came to fix it after we were freezing for a while, we paid a $100 cleaning fee and found a dead mouse in the kitchen, the owner offered a refund in a phone call and then she never answered back our messages about the refund, she also offered late checkout for all the trouble, we stayed just 3 more hours, the cabin is beautiful but the service was terrible."
63d99b1c5e984b662a257c44,8179955761,NOT SPECIFIED,66221792,1675205414221,31/01/2023 18:31:28 CST,luxurious pool & spa getaway... prime location in boynton beach!,en_us,83,nightmare,"Ants everywhere, mice ate bananas on dining table!",HR_REVIEWTEXT,"Duplex, not advertiesed.! Ants everywhere, mice ate bananas on dining table! Patio furniture is filthy and moldy. Neighborhood is beyond description, cars up on blocks, no wheels, houses with plywood covering windows, mattresses laying in front yards. Left early due to Gun shots next door, police called, report is available. Photos of all are available, contact boxhlr@hotmail.Com, for info.currently, going thru small claims for redress. Owners reply : no problems, neighbors aren’t his problems, fire works, not gun shots. Serious scam, 😩"
63d81d85b087b77d06630d9c,8179520774,NOT SPECIFIED,44213751,1675107756865,30/01/2023 19:41:56 CST,blackbeard's retreat,en_us,83,rundown shack,"There are holes everywhere, in the roof in the foundation the gaps under the doors, it is a miracle it is not overrun with rodents.",HR_REVIEWTEXT,"There are holes everywhere, in the roof in the foundation the gaps under the doors, it is a miracle it is not overrun with rodents. No surprise you are asked to keep no food or pet food out. We arrived after sundown to a dark porch. The outside light did not work. The furniture on the deck looks like it came from the landfill. The yard is covered with BB size sticker balls, awful for your pets pads, let alone human feet. We pulled about three dozen off of the rug in the living room. We were going to take a shower but when we saw the drip that flowed we decided not to. My husband was sneezing the whole time when he came across the air filter, which was totally blocked with hair. He actually tried to buy a new one at the Ace hardware, but they were out of the proper size so it is still there. Lights frequently blinked and plugs sparked when using which made us very uncomfortable with its electric service. It looks like it’s been there for 50 years without any real maintenance other than basic needs of living. Yes, it has the location, across the street and up and over the dune and you are at the ocean. Once you get to the beach, you do not wanna go back to that shack. Plus many of you may know that you need to about triple your daily rate from what is posted after the plethora of fees; this went from $83 to $220/nite. Didn’t surprise us that there’s no refunds. We would have turned around on our first day if we could get a refund! 
As it was we left early."
63dd7e631d53541604646abd,8181080621,NOT SPECIFIED,33483396,1675460205160,03/02/2023 21:36:35 CST,closest home to yosemite valley on the merced river,en_us,83,rat poo infested home,It is really expensive and if rats enter the home and poo everywhere she will not be kind about it and she will refuse to give you a refund.,HR_REVIEWTEXT,"I rented this home for Christmas with my family and was horrified when we arrived. We planned on cooking christmas dinner and relaxing while visiting yosemite and we thought this would be the perfect place for us. Upon arrival everything seemed great but once we looked closer we saw that there was rat poo all over the house. In the kitchen cabinets in the bedrooms all over the living room and even on the couches we had been sitting on. I took photos of everything and ended up having to clean up on Christmas eve because we were so disgusted. Who wants to clean up rat crap? who wants to eat off utensils that had rat poo on it? Even after cleaning it was hard to swallow the fact that there was rat poo on the plates we were using. We also had my nephew and daughter with us who are 4 and 5 and it was unsafe for them to be playing there. I'm in contact with Vrbo and am currently going back and forth about getting a refund. I also contacted Jo Ann the owner and our final email about this was so disgusting and rude. The last thing in the email she said was ""Sorry mickey came to visit"" who says that? It says a lot about who she is as a person. I have been extremely understanding, kind, and respectful. Please do not rent here. It's really expensive and if rats enter the home and poo everywhere she won't be kind about it and she will refuse to give you a refund. She kept saying in the email it was mouse poo and not rat poo like it made a difference."
63dd7e631d53541604646abd,8181080607,NOT SPECIFIED,33483396,1675460205160,03/02/2023 21:36:35 CST,closest home to yosemite valley on the merced river,en_us,83,rat poo infested home,Upon arrival everything seemed great but once we looked closer we saw that there was rat poo all over the house.,HR_REVIEWTEXT,"I rented this home for Christmas with my family and was horrified when we arrived. We planned on cooking christmas dinner and relaxing while visiting yosemite and we thought this would be the perfect place for us. Upon arrival everything seemed great but once we looked closer we saw that there was rat poo all over the house. In the kitchen cabinets in the bedrooms all over the living room and even on the couches we had been sitting on. I took photos of everything and ended up having to clean up on Christmas eve because we were so disgusted. Who wants to clean up rat crap? who wants to eat off utensils that had rat poo on it? Even after cleaning it was hard to swallow the fact that there was rat poo on the plates we were using. We also had my nephew and daughter with us who are 4 and 5 and it was unsafe for them to be playing there. I'm in contact with Vrbo and am currently going back and forth about getting a refund. I also contacted Jo Ann the owner and our final email about this was so disgusting and rude. The last thing in the email she said was ""Sorry mickey came to visit"" who says that? It says a lot about who she is as a person. I have been extremely understanding, kind, and respectful. Please do not rent here. It's really expensive and if rats enter the home and poo everywhere she won't be kind about it and she will refuse to give you a refund. She kept saying in the email it was mouse poo and not rat poo like it made a difference."
