"Topic = ""H&S VRBO Model - REF"">>Topic = ""Electrical - Faulty Equipment"""
Date exported: 13/02/23
Exported by user: mclifford@expediagroup.com
Classification: H&S VRBO Model - REF
Report type: Topics Volume Report
Project: Expedia
Date range: from 29/01/23 to 12/02/23
Date filter: 30/01/2023 - 12/02/2023
Topic path: H&S VRBO Model - REF-->Electrical - Faulty Equipment
Sentiment Filter: All sentences
Matched: 18 sentences
"Electrical - Faulty Equipment Rule #1: [ LEVEL:SENTENCE TYPE:KEYWORD {_catRef:[model:""H&S VRBO Model - Dutch"" path:""root"" node:""Electrical - Faulty Equipment""], _catRef:[model:""H&S VRBO Model - English"" path:""root"" node:""Electrical - Faulty Equipment""], _catRef:[model:""H&S VRBO Model - French"" path:""root"" node:""Electrical - Faulty Equipment""], _catRef:[model:""H&S VRBO Model - German"" path:""root"" node:""Electrical - Faulty Equipment""], _catRef:[model:""H&S VRBO Model - Italian"" path:""root"" node:""Electrical - Faulty Equipment""], _catRef:[model:""H&S VRBO Model - Japanese"" path:""root"" node:""Electrical - Faulty Equipment""], _catRef:[model:""H&S VRBO Model - Portuguese"" path:""root"" node:""Electrical - Faulty Equipment""], _catRef:[model:""H&S VRBO Model - Portuguese (Brazil)"" path:""root"" node:""Electrical - Faulty Equipment""], _catRef:[model:""H&S VRBO Model - Swedish"" path:""root"" node:""Electrical - Faulty Equipment""], _catRef:[model:""H&S VRBO Model - Spanish"" path:""root"" node:""Electrical - Faulty Equipment""], _catRef:[model:""H&S VRBO Model - Danish"" path:""root"" node:""Electrical - Faulty Equipment""], }]"
"H&S VRBO Model - REF Rule #2: [ LEVEL:SENTENCE TYPE:KEYWORD {HR_TSPID:""83""}] [ LEVEL:SENTENCE TYPE:AND_KEYWORD {_language:dutch, _language:english, _language:french, _language:german, _language:italian, _language:japanese, _language:portuguese, _language:portuguese(brazil), _language:spanish, _language:swedish, _language:danish, _languagedetected:danish, _language:""greek (modern)""}]"
NaturalId,SentenceId,Source,ADM_EXPEDIAHOTELID,CB Date of Creation,Document Date,HA_HOTELNAME,HR_DISPLAYLOCALE,HR_TSPID,REVIEW_TITLE,Sentence,VerbatimType,Verbatim
63daca4cc6f4cb1828cd2aad,8180298839,NOT SPECIFIED,86141437,1675283032149,01/02/2023 20:23:40 CST,"dog-friendly home with private hot tub, ocean/meadow views & shared pools",en_us,83,ocean sunset,"There were a few issues, from the tv in the room with the single queen bed not working, and a couple of the burners on the cooktop not functioning properly (which could be hazardous).",HR_REVIEWTEXT,"We had a great stay, catching up with friends I haven't spent time with in a long time. The place was plenty big (but the listing pictures made everything look much larger), and the kitchen was well-appointed. There were a few issues, from the tv in the room with the single queen bed not working, and a couple of the burners on the cooktop not functioning properly (which could be hazardous). It was great to get away, and I appreciated the early check in, and the ability to purchase a late check out!"
63d8458c7d18a102728db782,8179571231,NOT SPECIFIED,31845547,1675117974419,30/01/2023 22:32:44 CST,"perfect location! perfect stay! on grand allée, next to plains of abraham",fr_ca,83,retour dans le temps dans un confort agréable.,Les nombreuses prises électriques sur le même prise au mur de la cuisinette me semble un risque d' incendie.,HR_REVIEWTEXT,"Il y aurait lieu de faire des réparations mineures comme le robinet de la salle de bain, ajustement de la barure des portes. Les nombreuses prises électriques sur le même prise au mur de la cuisinette me semble un risque d’incendie. Mais ce fut un séjour parfait."
63d6fafeadc74c4cba077fd8,8179241817,NOT SPECIFIED,76499521,1675034000234,29/01/2023 23:02:22 CST,"dog-friendly home near beach with wifi, central ac, private w/d, & deck",en_us,83,fire hazard no hot water,From a licensed electrician view (I am a 32 years Master licensed electrician)If the main breaker is tripping then you have a fire hazard.,HR_REVIEWTEXT,This place was in a great location beautiful home and it was quiet clean to some standards but not to mine. There was blood stain on master bed pillow case. The shower was rinsed out not cleaned like should be. Windex works great on mirrors and all surfaces clean the mirrors and pictures. Should clean with HOT Water not cold nor slightly warm. The hot water heater must had been turned on 70 degrees because we never had hot water. The worst part was when the main breaker tripped and water heater breaker was the only one tripped with it. From a licensed electrician view (I am a 32 years Master licensed electrician)If the main breaker is tripping then you have a fire hazard. I hope they get this fixed immediately. Through all this issue they offered us some very cheap condo instead and not another house. So we had to stay the 2nd night in the house again afraid to sleep or run the heater or anything that may cause an electrical fire. This was January so it got down in the 30's at night. Cold house cold shower sucked. We came here for my daughters bday weekend to celebrate her bday and all our plans were ruined Saturday waiting on maintenance man to arrive (who agreed with me and said he had been telling them to get an electrician out there in the past) andfor the agency to call me to see if they were going to place us in a different home. My daughters bday weekend was ruined. Thank god the things I had planned refunded us most of our money back. I just think this place should do the same. I felt overcharged in the beginning due to being off season and it was only 2 nights. I want a complete refund let's see if they will do the right thing. Still debating if I should do my licensed duty by calling the fire marshal on you which would cost you in major fines if not shut you down completely to do a complete investigation on a your properties. Especially when you break the law and allow is to stay here when you already knew about the main breaker tripping issue and the water heater issue. I want a refund.
63d7a432e686ca4e5f711c99,8179379377,NOT SPECIFIED,68407070,1675082047193,30/01/2023 11:04:18 CST,"chalet apt. le grand roignais 16 pax, ski in/out, arc1600, mountain view",nl_nl,83,heerlijk,"een greep uit de gebreken: voordeur sluit alleen door op slot te doen de ramen tochten (leidt tot ongewenst meer energieverbruik) veel lampen doen het niet, peren of schakelaars defect vaatwasser, zeeptabletten klep gaat niet open stapelbedden zijn wankel, bankje bij de eettafel idem",HR_REVIEWTEXT,"een prachtige plek en een appartement met potentie. er zijn alleen veel losse eindjes. een greep uit de gebreken:
voordeur sluit alleen door op slot te doen
de ramen tochten
(leidt tot ongewenst meer energieverbruik)
veel lampen doen het niet, peren of schakelaars defect
vaatwasser, zeeptabletten klep gaat niet open
stapelbedden zijn wankel, bankje bij de eettafel idem"
63dbc16ad5f4e5627a6d8931,8180560497,NOT SPECIFIED,35175993,1675346301472,02/02/2023 13:58:02 CST,moraira charming villa 5 min from the sea 4/6 pers,en_gb,83,what a disappointment!,"Same cupboards, fridge, well used and grubby utensils and utensils' box, rusty dangerous kettle (the steam pours out of the on/off switch where your hand goes.) and a filthy waste bin area.",HR_REVIEWTEXT,"The villa is in a very quiet residential neighbourhood with partial sea views. It is freshly painted, has a nice driveway and an attractive garden. Inside is a different story to the extent we have lodged an official complaint with VRBO.
We booked the villa a year in advance of our stay of 3 weeks in January 2023 on the basis of - to quote from the villa’s site - “completely renovated (end of works April 2019) and “a completely new kitchen and very well equipped.” These statements are totally untrue.
The kitchen is the same kitchen that was there in January 2014, some 9 years ago! Same cupboards, fridge, well used and grubby utensils and utensils’ box, rusty dangerous kettle (the steam pours out of the on/off switch where your hand goes.) and a filthy waste bin area. Random grubby and useless items were in the kitchen drawers. The gas hob had one non functioning and alarming ring which we had to avoid.
We have supplied VRBO with photographic evidence of all these comments.
The site quotes “sheets, linen and towels are hotel quality”. This was not the case - bed linen was thin and of poor quality and we were expected to have the same sheets throughout our 3 week stay as no clean ones were provided until we insisted the cleaner came and unlocked the cupboard the sheets were locked in.
No information/instruction folder was to be found on arrival which is essential when trying to settle in to a new home."
63d912a6b230697ee8c65f03,8179787652,NOT SPECIFIED,40027715,1675170479704,31/01/2023 12:59:12 CST,charming 2 bedroom close to wimberley square with hot tub and fire pit!,en_us,83,annual patriots & heroes hunt for purple 💜 vets,"Disappointed road was very bad unless you have a truck All trim needs painting inside Too many remotes ,no instructions or station listing Towel holder was off the wall and in a basket Electrical wall plates broken ,safety hazard Lighting very dimm No House Number on House Blinds missing in guest bedroom Kitchen Fawcett sprayer cord is stretched out and needs adjusting or replace Washer dryer units rusty 1 Porch light burned out in front Guest Log book ,last date entry August 2020 Stayed in Wimberley last 4 years for this event ,older and different styles but always had a better feel This has a Big Corporate Feel which is All about Profit ,cutting corners and deligating daily operations without oversight.",HR_REVIEWTEXT,"Disappointed road was very bad unless you have a truck
All trim needs painting inside
Too many remotes ,no instructions or station listing
Towel holder was off the wall and in a basket
Electrical wall plates broken ,safety hazard
Lighting very dimm
No House Number on House
Blinds missing in guest bedroom 
Kitchen Fawcett sprayer cord is stretched out and needs adjusting or replace
Washer dryer units rusty 
1 Porch light burned out in front
Guest Log book ,last date entry August 2020
Stayed in Wimberley last 4 years for this event ,older and different styles but always had a better feel
This has a Big Corporate Feel
which is All about Profit ,cutting corners and deligating daily operations without oversight. I waited to respond to let me think it all over ,this is my opinion with the input of my wife and Sandy.Those are a lot of minor to does that should have been corrected long before our stay ,That's how I/we came to our conclusion ..."
63de51b1f4b1f35d9119e64b,8181321138,NOT SPECIFIED,48455020,1675514300249,04/02/2023 12:38:09 CST,cozy 1-bedroom apartment in the historical center of copenhagen close to tivoli,de_de,83,"super, aber!",Im Bad roch es ein bisschen unangenehm aus dem Abfluss und der Fön war kaputt.,HR_REVIEWTEXT,"Die Lage ist perfekt. Allerdings muss man wissen, dass die Wohnung im Hinterhof liegt, sonst versucht man, wie wir, im Vorderhaus reguläre Mieter aus der Wohnung zu verscheuchen. Wenn man am Leben der Anderen interessiert ist, kommt man von allen Seiten lautstark voll auf seine Kosten. Die Heizung im Schlafzimmer funktioniert nicht. Dafür aber der bereitgestellte Heizlüfter, für den es keine Anleitung gibt. So war es entweder bullig warm oder bullig warm. Nackt schlafen im Winter...? Warum nicht?! Das Sofa im Wohnzimmer vollkommen zerstört, zerfetzt und durchgesessen. Der Fernseher funktionierte nicht. Im Bad roch es ein bisschen unangenehm aus dem Abfluss und der Fön war kaputt. Im Schlafzimmer war der Kabelanschluss für die Deckenlampe mit Kreppklebeband fixiert. Vermutlich dänisches Design. Das Bett war absolut durchgelegen, aber man konnte erstaunlich gut darin schlafen. Das klingt in der Summe bestimmt eher negativ, aber da wir ständig unterwegs waren, fiel das alles nicht ins Gewicht. Nochmal jedoch sicher nicht."
63de51b1f4b1f35d9119e64b,8181321137,NOT SPECIFIED,48455020,1675514300249,04/02/2023 12:38:09 CST,cozy 1-bedroom apartment in the historical center of copenhagen close to tivoli,de_de,83,"super, aber!",Der Fernseher funktionierte nicht.,HR_REVIEWTEXT,"Die Lage ist perfekt. Allerdings muss man wissen, dass die Wohnung im Hinterhof liegt, sonst versucht man, wie wir, im Vorderhaus reguläre Mieter aus der Wohnung zu verscheuchen. Wenn man am Leben der Anderen interessiert ist, kommt man von allen Seiten lautstark voll auf seine Kosten. Die Heizung im Schlafzimmer funktioniert nicht. Dafür aber der bereitgestellte Heizlüfter, für den es keine Anleitung gibt. So war es entweder bullig warm oder bullig warm. Nackt schlafen im Winter...? Warum nicht?! Das Sofa im Wohnzimmer vollkommen zerstört, zerfetzt und durchgesessen. Der Fernseher funktionierte nicht. Im Bad roch es ein bisschen unangenehm aus dem Abfluss und der Fön war kaputt. Im Schlafzimmer war der Kabelanschluss für die Deckenlampe mit Kreppklebeband fixiert. Vermutlich dänisches Design. Das Bett war absolut durchgelegen, aber man konnte erstaunlich gut darin schlafen. Das klingt in der Summe bestimmt eher negativ, aber da wir ständig unterwegs waren, fiel das alles nicht ins Gewicht. Nochmal jedoch sicher nicht."
63e009569e702852bd6e54dd,8181894661,NOT SPECIFIED,38309707,1675626867022,05/02/2023 19:53:58 CST,grandmas house with a view!,en_us,83,very dated,This home presents a huge fire hazard with all the electrical issues.,HR_REVIEWTEXT,"Upon arriving, we found a note from the host that the furnace had quit working the day before our arrival. And the home was quite cold. When contacting the host was told I was exaggerating that the house was freezing on arrival, that it had to be at least 60 degrees downstairs & 70 upstairs. It was not near that. There was almost 10 space heaters plugged in throughout the home. And we had to also start the fire place and get the fire going with the wet wood they had. Due to all of the space heaters plugged in, it also blew a breaker. We found the breaker box, in the living room wall, covered with a piece of styrofoam and cloth as the breaker cover. The other breaker box had no cover. Several outlets & light switches were without covers. The outlets all had power strips or outlet extenders plugged into them. The downstairs had no smoke alarm and the barrel fire place down there got extremely hot. The ceiling tiles had been wet throughout and starting to fall in. The pictures are deceiving. This home presents a huge fire hazard with all the electrical issues."
63e91ab2647537355625ac8b,8183331496,NOT SPECIFIED,19007784,1676221141147,12/02/2023 16:58:26 CST,"welcome to the elegant dream villa, 3 miles from disney world, southfacing pool",en_us,83,magical dream villa,We only found the tv information by accident a day later as it was posted on the outside back cover of the loose leaf and not inside with all the other information.,HR_REVIEWTEXT,"This villa was in a great and easy location. The home was clean and well stocked with plenty of dishes, cookware and linens. Glassware was lacking comparison to all the dinnerware and needed to be restocked. There were 6 water glasses and 1 wine glass. I would recommend more wine and juice glasses as well as a few more acrylic glasses for use at the pool.
Additionally, some of the information provided in the house book was not updated such as the wi fi password and tv instructions. We only found the tv information by accident a day later as it was posted on the outside back cover of the loose leaf and not inside with all the other information. It did not match with the remote provided. These, however, were minor and did not at all impact our stay. We would definitely rent here again."
