"Topic = ""H&S VRBO Model - REF"">>Topic = ""Pest Control - Bed Bugs"""
Date exported: 13/02/23
Exported by user: mclifford@expediagroup.com
Classification: H&S VRBO Model - REF
Report type: Topics Volume Report
Project: Expedia
Date range: from 29/01/23 to 12/02/23
Date filter: 30/01/2023 - 12/02/2023
Topic path: H&S VRBO Model - REF-->Pest Control - Bed Bugs
Sentiment Filter: All sentences
Matched: 12 sentences
"Pest Control - Bed Bugs Rule #1: [ LEVEL:SENTENCE TYPE:KEYWORD {_catRef:[model:""H&S VRBO Model - Dutch"" path:""root"" node:""Pest-Control - Bed Bugs""], _catRef:[model:""H&S VRBO Model - English"" path:""root"" node:""Pest-Control - Bed Bugs""], _catRef:[model:""H&S VRBO Model - French"" path:""root"" node:""Pest-Control - Bed Bugs""], _catRef:[model:""H&S VRBO Model - German"" path:""root"" node:""Pest-Control - Bed Bugs""], _catRef:[model:""H&S VRBO Model - Italian"" path:""root"" node:""Pest-Control - Bed Bugs""], _catRef:[model:""H&S VRBO Model - Japanese"" path:""root"" node:""Pest-Control - Bed Bugs""], _catRef:[model:""H&S VRBO Model - Portuguese"" path:""root"" node:""Pest-Control - Bed Bugs""], _catRef:[model:""H&S VRBO Model - Portuguese (Brazil)"" path:""root"" node:""Pest-Control - Bed Bugs""], _catRef:[model:""H&S VRBO Model - Swedish"" path:""root"" node:""Pest-Control - Bed Bugs""], _catRef:[model:""H&S VRBO Model - Spanish"" path:""root"" node:""Pest-Control - Bed Bugs""], _catRef:[model:""H&S VRBO Model - Danish"" path:""root"" node:""Pest-Control - Bed Bugs""], }]"
"H&S VRBO Model - REF Rule #2: [ LEVEL:SENTENCE TYPE:KEYWORD {HR_TSPID:""83""}] [ LEVEL:SENTENCE TYPE:AND_KEYWORD {_language:dutch, _language:english, _language:french, _language:german, _language:italian, _language:japanese, _language:portuguese, _language:portuguese(brazil), _language:spanish, _language:swedish, _language:danish, _languagedetected:danish, _language:""greek (modern)""}]"
NaturalId,SentenceId,Source,ADM_EXPEDIAHOTELID,CB Date of Creation,Document Date,HA_HOTELNAME,HR_DISPLAYLOCALE,HR_TSPID,REVIEW_TITLE,Sentence,VerbatimType,Verbatim
63dbc70ec158e4634505351e,8180569547,NOT SPECIFIED,28899217,1675347742269,02/02/2023 14:22:06 CST,"secluded cabin 3bed/3bath max 6 people 2 king masters,15 minutes to nashville",en_us,83,disappointed,"The beds had bed bugs myself, daughter and husband are covered in bites from them.",HR_REVIEWTEXT,"We stayed there for 3 nights to celebrate my husbands birthday. When we walked in it smelled like really bad mildew. The beds had bed bugs myself, daughter and husband are covered in bites from them. Then they questioned us about bringing a dog there and we never had one there. Was very disappointed in this place and will not be coming back here again."
63e1e71059ff9f4d9f7e588a,8182491163,NOT SPECIFIED,64629918,1675749157935,07/02/2023 05:52:16 CST,heated pool access | flex cancelation | brand new home | by southern belle tybee,en_us,83,vacation from hell,Next time it something else like bed bugs etc.,HR_REVIEWTEXT,Peggy Brook (Host).Didn't send me the code had to call Southern Bell vacation rental.(Nicole) We finally got the code to enter.It was a stale odor in the unit.We check out the room only 1 bedroom out of 3bedroom have Tv and they were old Tv's almost look like Black/white the color was off.The old spreads no comforter on bed was stinky-smelly in the room I was in the spread smell like dogs.So we spend the 1st evening washing all bed linens.The evening of the 2nd day we notice roaches.The roaches was crawling in the silverware draw now we gotta wash all the dishes.Then we notice other roaches throughout the unit.We took a few pictures It took them 2days to respond .We checked out early because .Others had RSVP .They allowed other to occupy that unit.I'm not sure how the exterminator works .But they sprayed the unit and others checked in a few hours later.They offered me $165.00 cleaning fee back.I'm so upset with this experience and it the first time I had a problem.I've rented with VRBO about 20 times.Very unprofessional Host Peggy Brooks and with Southern Bell Vacation rental (Nichole).They made me feel like I brought the bugs with my 2 friends and I. Don't have roaches.I'm 64 years old and never had roaches.We killed at least 8 roaches.They think they're doing me a favor by giving me $165.00..0 rating in all category.I got another VRBO in Dennis port Mass .I'm gonna cancel .It was dirty linen on the beds and roaches .Next time it something else like bed bugs etc.
63e19bea5476883323450fe6,8182397979,NOT SPECIFIED,62985232,1675729922056,07/02/2023 00:31:37 CST,te rata house - drawing room,en_au,83,bathurst 12 hour accommodation,there were live bugs on the pillow of the single bed in the drawing room,HR_REVIEWTEXT,"House was old, comfortable however there were a lot of dead insects on windowsills, the kitchen bin smelt and there were live bugs on the pillow of the single bed in the drawing room. Some mortein and a clean would have fixed the issues."
63dfeb21af083e1d44a9ad56,8181854011,NOT SPECIFIED,66398228,1675619114923,05/02/2023 17:45:05 CST,"apartment with grill, terrace and private pool for 2-6 persons, near rovinj",de_de,83,bettwanzen in ferienhaus - kinder befallen - belvilla nicht erreichbar,"Wir hielten es zunächst für Mückenstiche, doch aufgrund der heftigen Attacke, des quälenden Juckreizes und nach weiteren Recherchen waren wir sicher, dass wir ein Problem mit Bettwanzen hatten.",HR_REVIEWTEXT,"Augen auf bei der Reisebuchung: Nach zwei Corona-Jahren haben wir für die Sommerferien 2022 über FeWo-direkt.de ein tolles Ferienhaus mit eigenem Pool im oberen Preissegment (230 €/Tag) in Kroatien gebucht.

Schon nach der ersten Nacht im Haus kamen unsere beiden Kinder (9 und 5 Jahre) am Morgen mit jeweils gut 100 Stichen an Armen, Beinen und im Gesicht aus ihrem Zimmer. Sie sahen einfach nur schlimm aus! Wir hielten es zunächst für Mückenstiche, doch aufgrund der heftigen Attacke, des quälenden Juckreizes und nach weiteren Recherchen waren wir sicher, dass wir ein Problem mit Bettwanzen hatten. Ein Arzt bestätigte unseren Verdacht. 

Wir haben sofort unsere Vermieter vor Ort informiert und auch versucht, Belvilla zu kontaktieren, doch weder unter der benannten Telefonnummer noch per E-Mail war eine Kontaktaufnahme möglich. Auch EuroTours als genannte Agentur vor Ort war völlig uninteressiert und untätig.

Unser Ziel war es nun, so schnell wie möglich abzureisen - allerdings auch, den Import der Parasiten um jeden Preis zu verhindern! ALLES wurde gewaschen, in der Sonne getrocknet und in schwarzen Säcken wärmebehandelt - unser gesamtes Hab und Gut. Drei Tage haben wir in einer Notunterkunft geschlafen, die unser Vermieter vor Ort organisiert hat, und jeweils am Tag den Rückbau bewerkstelligt. Es war ein Albtraum!

Mit dem Kammerjäger haben wir uns am Tag der Abreise ‚die Klinke in die Hand gegeben‘. Völlig fertig haben wir unsere Rückreise angetreten - 1.400 km non stopp. Denn unsere Nachfolge-Unterkunft in Österreich, wo wir noch 4 Tage verbringen wollten, mussten wir auch stornieren.

Eine Recherche hat schnell gezeigt, dass es offensichtlich Strategie ist, nicht erreichbar zu sein. Über den Facebook Messenger (!) haben wir den Mangel angezeigt, dann erst hat Belvilla reagiert. Man sollte meinen, dass Belvilla einen sofortigen Handlungsbedarf sieht, um den Schaden zu regulieren, aber weit gefehlt! Hinhalten heißt die Strategie. Nach langem, zähen Hin und Her hat Belvilla ein ‚Kulanzangebot’ unterbreitet, das nicht mal dem Tagessatz einer Übernachtung entspricht. Alles mit der Begründung, dass wir nicht den sofortigen Kontakt gesucht hätten. 
Das entspricht schlicht nicht den Tatsachen und ist einfach erbärmlich. 
Achtung: Belvilla ist höchst unseriös, nie wieder! Ohne Anwalt kommt man hier nicht weiter. 
Wir fragen uns - bei all den schlechten Bewertungen - warum dieses Unternehmen überhaupt noch Partner auf Portalen ist."
63e7d75a7af4435c046e83cb,8183257057,NOT SPECIFIED,75021357,1676138344420,11/02/2023 17:58:49 CST,"tropical grove garden, close to all sarasota and bradenton beaches",en_us,83,case. 111058672,My wife got bitten up by bedbugs.,HR_REVIEWTEXT,My wife got bitten up by bedbugs. We did not stay the entire visit. I have submitted pictures to VRBO. Very disappointed.!!!
63e2ee16e12f1347a4435670,8182797431,NOT SPECIFIED,67170750,1675816480198,08/02/2023 00:34:30 CST,"lovely mountain house with balcony, deck, private hot tub, firepit & game room",en_us,83,"cabin needs a ""deep cleaning""",I think the Master bedroom mattress may have bed bugs.,HR_REVIEWTEXT,"Upon arrival, the cabin appeared clean. We arrived at night. Throughout our stay, I noticed toothpasted above the sink in the Master Bath, food debrie above the kitchen sink, and the area behind the burners on the stove was quite dirty. I am also sad to say that on the last day, I had well over a dozen ""bites"" on my legs, arms, front and back torso....I think the Master bedroom mattress may have bed bugs. I apologize for the delay in relating this information. I was hoping to avoid putting it on a public site."
63e4a51d7ef8a9315f125b33,8183095915,NOT SPECIFIED,73491692,1675928884466,09/02/2023 07:47:41 CST,castor's cottage,en_us,83,bedbugs. ..stayaway,bedrooms had bedbugs we could not use them,HR_REVIEWTEXT,house was not clean at all...bedrooms had bedbugs we couldn't use them..had to throw away all our clothes when we left this house...insects every where...
63d6f6dbe2eb5e394dc75cda,8179237924,NOT SPECIFIED,33554974,1675032562987,29/01/2023 22:44:43 CST,stylish studio 17 minutes to centre,en_us,83,okay for price,There were not bed bugs so I am assuming it was just a reaction to the sheets being dirty,HR_REVIEWTEXT,"For only $80 per night it was an ok stay. On the day of check-in I didn’t get any information from the host. 2hr before arrival I had to message the host and ask which apt was ours and how to get in. We weren’t given an apt number so we mistakenly tried to open two other doors before we found ours. Walking into the apt there was a strange smell and the bathroom smelled worse, like dirty pipes and poor ventilation for moisture. The shower wand needs to be changed, it’s so caked up with mineral buildup and mold that the stream that you get from it, is basically drops. The linoleum tiles in the bathroom are lifting because of the moisture and there was mold in the shower. And the water control didn’t really work, we had to play around with it to get a comfortable temperature otherwise the water would constantly go back and forth from very cold to scalding. The sheets on the bed weren’t clean, we found hair and just other debris and my sister would find red dots on herself the next couple days. There weren’t bed bugs so I’m assuming it was just a reaction to the sheets being dirty, but we did find ants in the apt."
63d977b202b3967ce31ef5b8,8179917223,NOT SPECIFIED,34325860,1675196348253,31/01/2023 20:18:58 CST,"weddings, reunions, large groups new estate home; sleep16; games, views; private",en_us,83,beautiful property with some negative quirks,there were bed bugs or something on the property because I came back from my trip there with itchy red bumps all over my stomach,HR_REVIEWTEXT,"Overall I liked staying at this property - the loft makes it feel like you’re in a fancy treehouse inside of a house and it’s absolutely beautiful, the hot tub was lovely, and there were plenty of bathrooms and bedrooms. However, I think the hot tub was dirty or there were bed bugs or something on the property because I came back from my trip there with itchy red bumps all over my stomach; the host started us off with 4 trash bags total for a group of 11 people for an entire weekend and had no extras so we had to purchase them ourselves; each bathroom only had max half a roll of toilet paper and there was no other toilet paper in the house so we had to purchase more ourselves; the cleaning instructions at check out were fairly intensive but we still had to pay a cleaning fee and I personally feel it’s one or the other. I think it wouldn’t have cost the hosts that much to have provided trash bags and toilet paper so we didn’t have to go out of our way to purchase them. It’s a small thing but it does affect how people view the house when you refuse to provide basic necessities that will last long enough for a large group. Also the trash can and dishwasher are pretty small for the size of the house and amount of guests that can stay there."
63dff269c085ca0ee8c64441,8181871077,NOT SPECIFIED,21676505,1675621003968,05/02/2023 18:16:08 CST,aspens a1a: the aspens- great deck with mountain views and western charm,en_us,83,bed bugs and no refund,We found bed bugs,HR_REVIEWTEXT,"The Aspens are fine. Do not stay in A1A or use Jackson Hole Real Estate Company whatever you do. We found bed bugs, lost a day of skiing, had to move mid week to a home ( a very gracious man lent us no charge) spent forever cleaning all of our clothes, not once but again when we returned home. Had to disinfect all of our luggage since it can't be washed, and you're still not sure if you're not bring the bed bugs back home. It was a disaster, no hotel or other rental would take us because we were coming from an infested location. And they decided to give us 1 night refund for a totally ruined ski vacation after promising $3000 refund when this was all going on. Too bad there isn't a zero star category."
