"Topic = ""H&S VRBO Model - REF"">>Topic = ""Electrical - Power Outage"""
Date exported: 31/01/23
Exported by user: mclifford@expediagroup.com
Classification: H&S VRBO Model - REF
Report type: Topics Volume Report
Project: Expedia
Date range: from 22/01/23 to 29/01/23
Date filter: 23/01/2023 - 29/01/2023
Topic path: H&S VRBO Model - REF-->Electrical - Power Outage
Sentiment Filter: All sentences
Matched: 63 sentences
"Electrical - Power Outage Rule #1: [ LEVEL:SENTENCE TYPE:KEYWORD {_catRef:[model:""H&S VRBO Model - Dutch"" path:""root"" node:""Electrical - Power Outage""], _catRef:[model:""H&S VRBO Model - English"" path:""root"" node:""Electrical - Power Outage""], _catRef:[model:""H&S VRBO Model - French"" path:""root"" node:""Electrical - Power Outage""], _catRef:[model:""H&S VRBO Model - German"" path:""root"" node:""Electrical - Power Outage""], _catRef:[model:""H&S VRBO Model - Italian"" path:""root"" node:""Electrical - Power Outage""], _catRef:[model:""H&S VRBO Model - Japanese"" path:""root"" node:""Electrical - Power Outage""], _catRef:[model:""H&S VRBO Model - Portuguese"" path:""root"" node:""Electrical - Power Outage""], _catRef:[model:""H&S VRBO Model - Portuguese (Brazil)"" path:""root"" node:""Electrical - Power Outage""], _catRef:[model:""H&S VRBO Model - Swedish"" path:""root"" node:""Electrical - Power Outage""], _catRef:[model:""H&S VRBO Model - Spanish"" path:""root"" node:""Electrical - Power Outage""], _catRef:[model:""H&S VRBO Model - Danish"" path:""root"" node:""Electrical - Power Outage""], }]"
"H&S VRBO Model - REF Rule #2: [ LEVEL:SENTENCE TYPE:KEYWORD {HR_TSPID:""83""}] [ LEVEL:SENTENCE TYPE:AND_KEYWORD {_language:dutch, _language:english, _language:french, _language:german, _language:italian, _language:japanese, _language:portuguese, _language:portuguese(brazil), _language:spanish, _language:swedish, _language:danish, _languagedetected:danish}]"
NaturalId,SentenceId,Source,ADM_EXPEDIAHOTELID,CB Date of Creation,Document Date,HA_HOTELNAME,HR_DISPLAYLOCALE,HR_TSPID,REVIEW_TITLE,Sentence,VerbatimType,Verbatim
63cda340c79eef0c3636b5a5,8176136857,NOT SPECIFIED,35738004,1674421066871,22/01/2023 20:57:36 CST,luxury mountain villa with stunning pacific view - breakfast included,en_ca,83,spectacular view and all the comforts of home,The power went out once during our seven day stay,HR_REVIEWTEXT,"The steep trip up the mountain in our rented 4x4 was worth it as we found ourselves in a luxurious and comfy home with likely one of the most spectacular views in the area of Ojochal. Steve and April were quick to get back to us with any concerns or questions when booking and planning our trip. April went above and beyond with sending us pics of the road up to the home as I was concerned about finding the place arriving at night. Once there (which wasn’t difficult to find) Flora and Toño made our stay comfortable and homey with full hearty breakfasts each morning and kept the home comfortably clean and organized. They too answered any questions we had via google translate.
As you can imagine, we spent most of our time outside on excursions or around the luxurious poolside that included a hot tub for the cooler nights and cabana with BBQ etc for outdoor dining. Not that we needed a BBQ being minutes to Ojochal - the known foodie area of Costa Rica with a plethora of exceptional restaurants. At approx 2000’ above sea level we were comfortable enough not to need air conditioning, however they had it if we wanted it. The only thing I wish we had was screens to keep the doors and windows open at night as the cool breeze was lovely and i much prefer it over air conditioning. The power went out once during our seven day stay, but within seconds their backup generator came on, leaving the cityscape dark while our lights and amenities remained fully functioning. Although the birds, small lizards and butterflies were plentiful, we didn’t see much else, likely due to all the dogs in the area, barking at anything that would come near the property. Even though we loved the dogs, this could be a deterrent if you you don’t. If you are planning a trip to the quiet South Pacific area of Costa Rica where flora and fauna abound and want an incredible view and luxurious home with large pool area you should definitely check this home out. Would I stay at this place again? - in a heartbeat."
63d467539666321e773b53d1,8178393993,NOT SPECIFIED,34400271,1674864477203,28/01/2023 00:07:47 CST,"lux condo w/views, htd pool, priv. beach, golf cart, kayaks, as seen on hgtv",en_us,83,very relaxing,Only reason there are not 5 stars is that we lost power 4 different days.,HR_REVIEWTEXT,One of the prettiest beaches on the island! Our unit 1A was very clean and nicely decorated. It was fun to drive the golf cart to the beach. Only reason there aren’t 5 stars is that we lost power 4 different days. A generator would be nice!
63d163498d64e77a77d42b07,8177362956,NOT SPECIFIED,19007907,1674666845892,25/01/2023 17:13:24 CST,"pebble beach house for magnificent ocean & perfect golf, on the old 17 miles dr.",en_us,83,pebble beach stay,The power went out the first night we were there but Roger the property manager brought us up a cooler to put our food in until the power was turned back on which was very well appreciated.,HR_REVIEWTEXT,"Location of the home was wonderful. It fit our needs. The power went out the first night we were there but Roger the property manager brought us up a cooler to put our food in until the power was turned back on which was very well appreciated. I do wish that there was some type of a fireplace access inside the home, but there was a small gas fire pit outside which was lovely and we enjoyed it every day. Overall the stay was wonderful and it was very well priced for the type of home that we had"
63d511dd436cf46034d60014,8178546329,NOT SPECIFIED,21718017,1674908135100,28/01/2023 12:15:24 CST,1 mile to ski at palisades * dog friendly * pool table,en_us,83,"nice property, great location","Everything was good, except that there was a power outage and we were without heating for almost 48 hours.",HR_REVIEWTEXT,"Everything was good, except that there was a power outage and we were without heating for almost 48 hours. The property manager only recommended us to light the fire, not very attentive. We had to sleep beside the fireplace because it was freezing inside the house"
63d30e06f2665f7dc4a160e2,8177917710,NOT SPECIFIED,87372795,1674776080900,26/01/2023 23:34:30 CST,the chickaree cabin at mt rainier (166),en_us,83,cute cabin,"Unfortunately, the power went out the night we stayed here",HR_REVIEWTEXT,"It was a very cute little cabin! The hot tub was a nice touch. Unfortunately, the power went out the night we stayed here and the generator was unable to be turned on. But other than that, it was great little get away!"
63cf835bf0cec5545a0fc507,8176743380,NOT SPECIFIED,88671176,1674543977594,24/01/2023 07:06:03 CST,spacious townhome - short walk to beach!,en_us,83,lovely townhouse,Host was quick to respond when we had a random power issue.,HR_REVIEWTEXT,We absolutely enjoyed our stay. Loved that there were toys there for my son. Host was quick to respond when we had a random power issue. Overall great experience!
63d1802d483e2b1798e9c407,8177436620,NOT SPECIFIED,65271794,1674674231050,25/01/2023 19:17:01 CST,entire 4 bedroom home in beatiful west hills,en_us,83,alittle disappointment,also the power went out the 2nd day and they could not fix it so we could not hand out in the living room with out flash lights cook or even go to the restroom at night it really felt like we were camping in the house .they did bring flash lights but for the money i paid $1300.00 plus They shouldve took care of us she only refunded me $50 .,HR_REVIEWTEXT,House was nice and clean great location had a couple things that needed to be upgraded . The reason i was upset was they only had 1 roll of toilet paper per bathroom and i had 3 couples and 2 kids that toilet paper didnt last . had to use napkins we were there a total of 4 days . also the power went out the 2nd day and they couldnt fix it so we couldnt hand out in the living room with out flash lights cook or even go to the restroom at night it really felt like we were camping in the house .they did bring flash lights but for the money i paid $1300.00 plus They shouldve took care of us she only refunded me $50 . heck no never again will i rent this house no thanks such horrible service .
63d015a277402a4aa7125c49,8176972315,NOT SPECIFIED,33498055,1674581637495,24/01/2023 17:30:10 CST,skier's paradise! 2 min to heavenly nv side!! sleeps 5-6,en_us,83,great location for skiing,"We were there for the massive 6 feet of snow and had a brief power outage, but out host was on it and very proactive.",HR_REVIEWTEXT,"Host is very helpful, very communicative and responsive. We were there for the massive 6 feet of snow and had a brief power outage, but out host was on it and very proactive. The place is very accommodating, lovely fireplace insert, kitchen well stocked, we would definitely stay there again!!"
63ce824112b20e4a99079470,8176408807,NOT SPECIFIED,57927164,1674478158740,23/01/2023 12:49:05 CST,appartamento,de_de,83,"sehr schöne fewo, direkt im zentrum",Als wir einen kleine Stromausfall hatten haben wir sofort Hilfe bekommen.,HR_REVIEWTEXT,"Super gute Kommunikation mit den Gastgebern, hat alles reibungslos geklappt. Als wir einen kleine Stromausfall hatten haben wir sofort Hilfe bekommen. Sehr sauber, sehr gepflegt, alles da, was man braucht. Und das mitten im Zentrum. Rundum perfekt."
63cf7d8d566f2e28afbe898e,8176742562,NOT SPECIFIED,33942605,1674542522928,24/01/2023 06:41:17 CST,bird watch @ land's end with amazing views of the harbor and pacific ocean,en_us,83,five star adventure,"The first night, 1:29 am, to be exact, all power went out in the entire Bodega Bay area due to fallen trees and branches.",HR_REVIEWTEXT,"We cannot say enough about how wonderfully both the owner and the local property manager handled things during our stay during the recent “atmospheric cyclone” in Northern California. The first night, 1:29 am, to be exact, all power went out in the entire Bodega Bay area due to fallen trees and branches. The owner and manager gave us directions immediately about emergency supplies and we really appreciated the wall-outlet flashlights that lit up immediately when the power failed, We were able to light the gas stove with matches, so we had tea while we enjoyed the storm. The propane fireplace worked, as well, so we were warm and cozy. The next morning, Erika called to see how we were doing and asked the local rep to bring new flashlights and a butane lighter for the stove, The power was out for 22 hours, but we enjoyed every minute. The rest of the week was rainy, and Erika texted us each day to see how we were doing. Beds were comfy, the kitchen perfectly provisioned and the views both peaceful and spectacular, We shall return for retreats as often as possible,"
63d5edb8e2f44476020540f5,8178838650,NOT SPECIFIED,34400271,1674964418826,28/01/2023 00:07:47 CST,"lux condo w/views, htd pool, priv. beach, golf cart, kayaks, as seen on hgtv",en_us,83,very relaxing,Only reason there are not 5 stars is that we lost power 4 different days.,HR_REVIEWTEXT,One of the prettiest beaches on the island! Our unit was very clean and nicely decorated. It was fun to drive the golf cart to the beach. Only reason there aren’t 5 stars is that we lost power 4 different days. A generator would be nice!
63ce7d0152d0033cddc7f18e,8176401248,NOT SPECIFIED,45850582,1674476840383,23/01/2023 12:26:41 CST,"the ""howling wolf""  a cozy, ski chalet with private hot tub. ski in/out.",en_ca,83,amazing stay at big white,"During a freak accident that caused a power outage throughout the mountain, Paul and Vivien came and dropped off torches and flashlights for us, without us even asking.",HR_REVIEWTEXT,"Our group of 8 had an amazing stay. Vivien and Paul were super helpful, and responded to any questions we had right away. 
The chalet was fully equipped, and with ski in/ski out access it was the perfect spot for a weekend at Big White. 
During a freak accident that caused a power outage throughout the mountain, Paul and Vivien came and dropped off torches and flashlights for us, without us even asking. They were amazing hosts. 

Thank you Vivien and Paul, we had an amazing trip!"
63cd873f068219295dce613a,8176096574,NOT SPECIFIED,33480282,1674413897096,22/01/2023 18:58:07 CST,"join a pleasant, peaceful, an available owner,",fr_fr,83,maison chaleureuse et confortable,"Maison très propre et confortable, nous n' avons pas souffert des coupures d' eau et d' électricité",HR_REVIEWTEXT,"La propriétaire vous accueille avec le sourire et de gentilles attentions. Maison très propre et confortable, nous n'avons pas souffert des coupures d'eau et d'électricité car tout est prévu pour. 10 mn en voiture de sainte anne et c'est la baignade dans une eau claire. Nous recommandons cette location."
63cfdad113f8552458fc9ece,8176856402,NOT SPECIFIED,18956266,1674566368734,24/01/2023 13:19:13 CST,private | lg. 4b | free resort access incl.| parking | tennis| pay plan etc,en_us,83,nice unit,Power was a bit spotty and went out a few times.,HR_REVIEWTEXT,"Overall unit was as described. Power was a bit spotty and went out a few times. 

Kitchen was very well equipped. The unit could use some love on the maintenance side of things. Overall I would stay there again"
63d0989f68cd783f630665c8,8177155841,NOT SPECIFIED,83716832,1674614985635,25/01/2023 02:49:02 CST,the grey escape - cozy farmhouse w/ 3 king suites + loft near atv/utv trails,en_us,83,we stayed during christmas and it was a great escape!,The town near us lost power and some places lost water.,HR_REVIEWTEXT,We stayed during Christmas 2022 and there was freezing temps. The town near us lost power and some places lost water. We didn’t have any issues affect us but the property manager communicated quickly and went above and beyond our expectations. This was a great place for my family and we loved the separate spaces to escape the young kiddos that came with us 😃would absolutely stay here again!!
63d3e93c6a492d5b5bb8d1b8,8178210265,NOT SPECIFIED,89056944,1674832216125,27/01/2023 15:09:48 CST,"5-star | historic, peaceful, dog-friendly",en_us,83,love this house!,We “survived” the power outage just fine as it was restored within a couple hours.,HR_REVIEWTEXT,"They did SUCH a great job with this house. It’s so well decorated and READY for guests - you’ll see what I mean when you stay. Everything is labeled with directions and it truly seems like they thought of everything. 

Only issue we had was the power went out and with young kids we were nervous about it getting too cold and their milk/food spoiling. Apparently this is an issue in this area bc we heard the neighbors generator turn on immediately. Unfortunately, the generator for this house was being installed on the Monday after we left, so we didn’t have that luxury, but future renters will have backup. :) We “survived” the power outage just fine as it was restored within a couple hours. 

The kitchen is a bit smaller than it looks in photos. just a heads up that it could get a little tight in there, especially for bigger people. 

Also, the 3rd bedroom is really a loft in the upstairs office and there’s a metal spiral staircase going up. We thought this would be where my 5yo would sleep until we saw the spiral staircase. That made us nervous if he got scared or woke up in the middle of the night. Luckily, there was an air mattress with all the necessary linens that he could use instead. The loft might be ideal for kids, but probably better for older kids (middle school to college-aged, IMO). The ceiling is slanted and I don’t know if you could stand straight up there to be honest. 

All in all, it was a great place to stay. We felt comfortable in the home, it was a great location, and we’d definitely stay here again."
63d3e93c6a492d5b5bb8d1b8,8178210262,NOT SPECIFIED,89056944,1674832216125,27/01/2023 15:09:48 CST,"5-star | historic, peaceful, dog-friendly",en_us,83,love this house!,Only issue we had was the power went out and with young kids we were nervous about it getting too cold and their milk/food spoiling.,HR_REVIEWTEXT,"They did SUCH a great job with this house. It’s so well decorated and READY for guests - you’ll see what I mean when you stay. Everything is labeled with directions and it truly seems like they thought of everything. 

Only issue we had was the power went out and with young kids we were nervous about it getting too cold and their milk/food spoiling. Apparently this is an issue in this area bc we heard the neighbors generator turn on immediately. Unfortunately, the generator for this house was being installed on the Monday after we left, so we didn’t have that luxury, but future renters will have backup. :) We “survived” the power outage just fine as it was restored within a couple hours. 

The kitchen is a bit smaller than it looks in photos. just a heads up that it could get a little tight in there, especially for bigger people. 

Also, the 3rd bedroom is really a loft in the upstairs office and there’s a metal spiral staircase going up. We thought this would be where my 5yo would sleep until we saw the spiral staircase. That made us nervous if he got scared or woke up in the middle of the night. Luckily, there was an air mattress with all the necessary linens that he could use instead. The loft might be ideal for kids, but probably better for older kids (middle school to college-aged, IMO). The ceiling is slanted and I don’t know if you could stand straight up there to be honest. 

All in all, it was a great place to stay. We felt comfortable in the home, it was a great location, and we’d definitely stay here again."
63ce950e939a6f740b04a05e,8176433691,NOT SPECIFIED,19625295,1674483044672,23/01/2023 14:09:18 CST,heavenly views and private pool,en_us,83,awesome view,Only had one day that electricity went out.,HR_REVIEWTEXT,"Place was awesome view. We will miss it. Just enough space for two. We elected to have joy meet us to show us how to get there. She was big help. The pool is salt and not heated. Was bummed about that. Spacious deck for both sun and shade. We were there for two weeks. Only had one day that electricity went out. Place has back up generator. But when electric goes out whole island so does wifi. So we went to beach that day. If u rent a Jeep from st Thomas and ferry over on car barge. Make sure u get on same company going back. There are more than one. And if u get on wrong one u will pay extra. Definitely need a Jeep if u are going to do any driving around island. Beaches are awesome. Trunk beach is world famous but I think I liked cinnamon beach better. They both have restrooms,showers, restaurants, drinks, souviners. Maho beach has all but showers. Those 3 beaches are best ( my opinion). U have to pay 5,00 pp at trunk bay to get in. All have small parking. So get there EARLY to park.all roads are hilly winding curves. For Some may be challenging or others fun. Gas / hot deli / grocery store mid way from Cruze bay to coral bay is good. We did a lot of driving around and packed a lunch. We had a great time and would go back. AWESOME VIEW."
