"Topic = ""H&S VRBO Model - REF"">>Topic = ""Fire"""
Date exported: 31/01/23
Exported by user: mclifford@expediagroup.com
Classification: H&S VRBO Model - REF
Report type: Topics Volume Report
Project: Expedia
Date range: from 22/01/23 to 29/01/23
Date filter: 23/01/2023 - 29/01/2023
Topic path: H&S VRBO Model - REF-->Fire
Sentiment Filter: All sentences
Matched: 46 sentences
"Fire Rule #1: [ LEVEL:SENTENCE TYPE:KEYWORD {_catRef:[model:""H&S VRBO Model - Dutch"" path:""root"" node:""Fire""], _catRef:[model:""H&S VRBO Model - English"" path:""root"" node:""Fire""], _catRef:[model:""H&S VRBO Model - French"" path:""root"" node:""Fire""], _catRef:[model:""H&S VRBO Model - German"" path:""root"" node:""Fire""], _catRef:[model:""H&S VRBO Model - Italian"" path:""root"" node:""Fire""], _catRef:[model:""H&S VRBO Model - Japanese"" path:""root"" node:""Fire""], _catRef:[model:""H&S VRBO Model - Portuguese"" path:""root"" node:""Fire""], _catRef:[model:""H&S VRBO Model - Portuguese (Brazil)"" path:""root"" node:""Fire""], _catRef:[model:""H&S VRBO Model - Swedish"" path:""root"" node:""Fire""], _catRef:[model:""H&S VRBO Model - Spanish"" path:""root"" node:""Fire""], _catRef:[model:""H&S VRBO Model - Danish"" path:""root"" node:""Fire""], }]"
"H&S VRBO Model - REF Rule #2: [ LEVEL:SENTENCE TYPE:KEYWORD {HR_TSPID:""83""}] [ LEVEL:SENTENCE TYPE:AND_KEYWORD {_language:dutch, _language:english, _language:french, _language:german, _language:italian, _language:japanese, _language:portuguese, _language:portuguese(brazil), _language:spanish, _language:swedish, _language:danish, _languagedetected:danish}]"
NaturalId,SentenceId,Source,ADM_EXPEDIAHOTELID,CB Date of Creation,Document Date,HA_HOTELNAME,HR_DISPLAYLOCALE,HR_TSPID,REVIEW_TITLE,Sentence,VerbatimType,Verbatim
63d0623043fa8b287b3c5526,8177075697,NOT SPECIFIED,34338744,1674601056578,24/01/2023 22:56:48 CST,amy's redwood cottage,en_us,83,hot tub was saving grace and owners seem super helpful and nice,"Property was not as listed no access to large lot of 2 acres -lots of :""deferred: maintenance -limited heating sources-no smoke alarms fire extinguisher and other safety items -bed was comfortable but larger bed is in room with hardly any furniture and nice room has small bed -grill was so dirty we did not want to clean other peoples Yucky up -already had to rewashed dishes and stuff in fridge -smelled of mildew and possible black mold on windows-small heater in bathroom does not work -used wood stove to keep warm but had to clean it too-wood outside very dirty and wet had to use some emergency wood i carry in truck to get fires going -cookies on arrival nice touch",HR_REVIEWTEXT,"Property wasn't as listed no access to large lot of 2 acres -lots of :""deferred: maintenance -limited heating sources-no smoke alarms fire extinguisher and other safety items -bed was comfortable but larger bed is in room with hardly any furniture and nice room has small bed -grill was so dirty we didn't want to clean other peoples Yucky up -already had to rewashed dishes and stuff in fridge -smelled of mildew and possible black mold on windows-small heater in bathroom doesn't work -used wood stove to keep warm but had to clean it too-wood outside very dirty and wet had to use some emergency wood i carry in truck to get fires going -cookies on arrival nice touch"
63cef724c839b04d673f2ba6,8176573149,NOT SPECIFIED,33493779,1674508215758,23/01/2023 20:27:08 CST,"beachfront, deluxe 3 br oceanfront condo,  great rates",en_us,83,i wanted to love this place,There was one smoke detector hanging from the ceiling by its wires another was completely covered in plastic secured by blue tape.,HR_REVIEWTEXT,"My family travels often and almost always stay in a rental property. We are usually very happy with rentals, but this one was different. Check in was a little tricky but not too bad, 4/5. The property has black mold growing in/around the ducts/hvac unit. The curtains in the bedroom were ripped and partially off the curtain rod. As soon as we checked in I texted the property manager about damage in the unit and he was dismissive responding with ""the windows were just replaced and the second bathroom is new"". It became clear that Bill is protective of his property and did not want to hear any negative feedback. There was one smoke detector hanging from the ceiling by its wires another was completely covered in plastic secured by blue tape. (I have photos of the mold, curtains and smoke detectors but cannot find a way to add them to this review.) The complex was nice, the pool was nice as well. The complex very much gives off a retirement village kind of vibe, some of the residents were friendly, others were kind of rude even going so far as to refusing to share the elevator with us. The view from the condo is beautiful. We found the beaches in Key West are beautiful to look at, but pretty rocky and with lots of seaweed. Aside from the beach across the street, this condo is not walkable to pretty much anything. Aside from this condo and the beaches, we absolutely loved Key West. The history and culture of this island are great. The condo was well stocked with pool and beach gear, food items. Overall, I'd say our visit at this property was ""ok"" but the smoke detector issue did make me feel uneasy. We paid $3,500 for the week and I'm having a hard time justifying paying that price."
63d235cf4bc32f3050a5a7e9,8177627264,NOT SPECIFIED,37979315,1674720728822,26/01/2023 08:11:58 CST,das ski lodge - instant classic kiwi ski bach,en_nz,83,see below,The smoke alarm was left on the table,HR_REVIEWTEXT,"Hi Alice, I’m providing some feedback as requested. While it’s much appreciated that accommodation like the Raetihi bach is available at low cost, and a more basic standard is expected for the price, there were a few issues. The bach was quite dirty when we arrived. We’ve left it cleaner than when we arrived, but providing some cleaning products (cloths, toilet cleaner, gloves, etc) would help future people with this. More concerning was a safety issue. The smoke alarm was left on the table and the battery was taken out, so probably expired. Also there were no batteries in any of the remote controls. Also the oven didn’t work as far as we could work out. Other items include that there was a coffee press with no plunger, and the bottom tread of the steps to the carport was very dangerous. In short, we think the bach needs a check and a good clean before the next people come in."
63d5352e02b3967ce397f16c,8178573703,NOT SPECIFIED,90054701,1674917299735,28/01/2023 14:46:06 CST,houston heights | sky view,en_us,83,perfect retreat,"Also the smoke alarm started beeping with low battery alerts the second day, and the heat lamp on the roof did not seem to work (or we just did not know how to work it with o instructions) Other than that everything else was perfect and it was the perfect birthday retreat/staycation.",HR_REVIEWTEXT,"The townhome was absolutely beautiful and exactly as described and shown in the pictures. It was the perfect location in the city and easy to get to. Beds were very comfortable. Home was well stocked with supplies and necessities except for one oversight of not having kitchen trash bags. Communication with the property manager was great.

The home is very large so there were a few areas that was overlooked when it came to cleaning and maintenance. The previous guest left a used sanitary napkin in the master closet. The towels in one of the guest rooms were still a bit damp like they just were not left in the dryer long enough. Also the smoke alarm started beeping with low battery alerts the second day, and the heat lamp on the roof did not seem to work (or we just didn’t know how to work it w/o instructions) Other than that everything else was perfect and it was the perfect birthday retreat/staycation."
63d2267d99115003e665f151,8177609059,NOT SPECIFIED,36157780,1674716807247,26/01/2023 07:06:36 CST,"new listing day break at seascape #2219: a place to rest, relax, and rejuvenate!",en_us,83,"keep looking -beeping fire alarm & construction, dated",#1 Fire Alarm was removed from the wall and Beeping/Chirping when we put it back in.,HR_REVIEWTEXT,"The owner was nice enough to allow us to checkin early & out later, however upon checkin there were issues that we brought to his attention that were not addressed. #1 Fire Alarm was removed from the wall and Beeping/Chirping when we put it back in. We didn’t feel safe leaving it off, so our relaxing beach getaway turned into a headache and the owner never came to fix it like he said he would. #2 Prior to arriving, I asked if there were any issues we should know about that would cause us grief. He said no. However, the beach was closed off and active construction vehicles were up and down the beach beeping and grunting. Ugh #3 for the moments between the alarm chirping and the construction vehicles beeping, even if they were silent, the beach sounds are obstructed by the loud busy road. #4 The unit is clean but it is dated. Don’t expect luxury. Everything is pretty basic and standard, including the linens & mattresses, and pretty worn down. #5 Bunk bed mattresses are pretty much low quality 4-5” foam pads not really mattresses #6 the old refrigerator is also LOUD #7 The pool area is nice. Overall at almost $300 for one night, I’d never stay at this unit again."
63d5f7e53e981a3320a43b6b,8178858446,NOT SPECIFIED,83715444,1674967022765,29/01/2023 04:36:52 CST,inner melb 6b3b luxury holiday house&private pool,en_au,83,very poorly maintained house.,No working firealarms in the house.,HR_REVIEWTEXT,"Poorly maintained property. Broken chairs, broken aircon, broken taps, mouldy bathrooms, leaking ceiling.
The pool is unsafe with broken sides. No working firealarms in the house.Worn out carpets, no bins for rubbish disposal. 
The house does not provide basic amenities like pans and knives in the kitchen."
63d428dbbd773051f23ce8c0,8178301018,NOT SPECIFIED,36368135,1674848486347,27/01/2023 19:41:15 CST,revelstoke - pillow top condo,en_us,83,excellent overall,"Having said that, the management company was very responsive when the smoke alarms went off in the middle of the night (annoying--a step ladder should be provided) and for other small questions.",HR_REVIEWTEXT,"Really enjoyed the condo. Perfect for 2 adults. Any more would be a bit tight given the limited amount of closet space and how small the bedrooms are. My only major criticism is that for a 2 week stay it would have been nice to offer a full cleaning / laundry / sheet change at the end of one week....that would have happened in any case had I rented 2 x one week so not sure why it was not offered. 
The garage was just big enough for a standard SUV and that was a good thing as there are generally NOT enough ""visitor"" parking spots when you need them (at night). Having said that, the management company was very responsive when the smoke alarms went off in the middle of the night (annoying--a step ladder should be provided) and for other small questions. Overall I enjoyed my stay!"
63d5cd6377bd532a557a33e7,8178792375,NOT SPECIFIED,87698977,1674956141180,29/01/2023 01:35:31 CST,charming home with fantastic location,en_nz,83,good location to trentham races course and local pub,"Property was just ok, great communication with owner, however was not happy there was only 1 access in and out, ranchslider was bolted shut which was big fire risk, house needs a lot of work/maintenance, no dishwasher tabs to use dishwasher, toilet does not flush the greatest, only 1 mirror in whole house, hot water cylinder probably needs replacing as water was way too hot.",HR_REVIEWTEXT,"Property was just ok, great communication with owner, however was not happy there was only 1 access in and out, ranchslider was bolted shut which was big fire risk, house needs alot of work/maintenance, no dishwasher tabs to use dishwasher, toilet doesn't flush the greatest, only 1 mirror in whole house, hot water cylinder probably needs replacing as water was way too hot. Un comfortable beds, rock hard pillows. 
Only good thing was location to the race course and pub/restaurant down the road was lovely"
63cdc93bf8d4d46cdaa57890,8176180309,NOT SPECIFIED,84051552,1674430789335,22/01/2023 23:39:39 CST,"remodeled ski-in/out condo with fireplace, indoor hot tub, & game room",en_us,83,great location,Smoke alarm started to beep do to low battery in the middle of the night.,HR_REVIEWTEXT,"If you want the bare minimum this is the place for you. The location was great! Rec room run down not taken care of whatsoever, if you or your kids want to play ping pong or Foosball bring your own balls to play the games. Cleanliness of the condo was definitely not the best, stuff from previous ""renters"" were still in the rooms. Lost internet for most of the stay which sucked but not much you can do about that. Smoke alarm started to beep do to low battery in the middle of the night. Very minimum things in there. Normally there is trash bags, ziploc bags, foil, salt and pepper, sugar, coffee not at this place. It literally has bare minimum in there. Bed in master is ""memory foam"" it was really hard and sheets had stains in them. Overall the only good thing for our family was the location."
63d59f7a2a670463d6c4b1f1,8178738580,NOT SPECIFIED,21657408,1674944388184,28/01/2023 22:19:38 CST,"gorgeous oceanfront condo with great views, hot tub & beach access",en_us,83,almost 5 star,The fire alarm is NOT monitored (ask me how I know) even though there is a notice on who to call etc if you set it off accidentally.,HR_REVIEWTEXT,"Beautiful and large condo with a gorgeous location right on the beach. It was very clean, except for a hidden spill inside one of the cabinets from a previous guest. Pretty much everything you might need to cook with was there. A couple of shortcomings keep me from giving it a fifth star. 
1. The fire alarm is NOT monitored (ask me how I know) even though there is a notice on who to call etc if you set it off accidentally.
2. There were numerous lights out in the very dark and steep exterior stairway, including the one over our door.
3. This is very minor but, we could not get the toaster to work no matter how we tried"
