"Topic = ""H&S VRBO Model - REF"">>Topic = ""Pool Unclean Water"""
Date exported: 06/02/23
Exported by user: mclifford@expediagroup.com
Classification: H&S VRBO Model - REF
Report type: Topics Volume Report
Project: Expedia
Date range: from 22/01/23 to 06/02/23
Date filter: 23/01/2023 - 06/02/2023
Topic path: H&S VRBO Model - REF-->Pool Unclean Water
Sentiment Filter: All sentences
Matched: 80 sentences
"Pool Unclean Water Rule #1: [ LEVEL:SENTENCE TYPE:KEYWORD {_catRef:[model:""H&S VRBO Model - Dutch"" path:""root"" node:""Pool Unclean Water""], _catRef:[model:""H&S VRBO Model - English"" path:""root"" node:""Pool Unclean Water""], _catRef:[model:""H&S VRBO Model - French"" path:""root"" node:""Pool Unclean Water""], _catRef:[model:""H&S VRBO Model - German"" path:""root"" node:""Pool Unclean Water""], _catRef:[model:""H&S VRBO Model - Italian"" path:""root"" node:""Pool Unclean Water""], _catRef:[model:""H&S VRBO Model - Japanese"" path:""root"" node:""Pool Unclean Water""], _catRef:[model:""H&S VRBO Model - Portuguese"" path:""root"" node:""Pool Unclean Water""], _catRef:[model:""H&S VRBO Model - Portuguese (Brazil)"" path:""root"" node:""Pool Unclean Water""], _catRef:[model:""H&S VRBO Model - Swedish"" path:""root"" node:""Pool Unclean Water""], _catRef:[model:""H&S VRBO Model - Spanish"" path:""root"" node:""Pool Unclean Water""], _catRef:[model:""H&S VRBO Model - Danish"" path:""root"" node:""Pool Unclean Water""], }]"
"H&S VRBO Model - REF Rule #2: [ LEVEL:SENTENCE TYPE:KEYWORD {HR_TSPID:""83""}] [ LEVEL:SENTENCE TYPE:AND_KEYWORD {_language:dutch, _language:english, _language:french, _language:german, _language:italian, _language:japanese, _language:portuguese, _language:portuguese(brazil), _language:spanish, _language:swedish, _language:danish, _languagedetected:danish, _language:""greek (modern)""}]"
NaturalId,SentenceId,Source,ADM_EXPEDIAHOTELID,CB Date of Creation,Document Date,HA_HOTELNAME,HR_DISPLAYLOCALE,HR_TSPID,REVIEW_TITLE,Sentence,VerbatimType,Verbatim
63d2f0de2a783350a2bb224c,8177877364,NOT SPECIFIED,78135529,1674768654055,26/01/2023 21:30:06 CST,luxury 20+ people home!  pool+ hot tub + more!,en_us,83,great house but....,Pool was dirty and was not on also.,HR_REVIEWTEXT,"Just like other reviews mentioned, amenties are the problem. When we got there, the hot tub was not on at all, fire pit has no propane. Pool was dirty and wasnt on also. Not enough towels. The host was very fast at responsing to address it, it was address the next day, but we were only there for 2 nights, so that means the hot tub was never hot. Make sure you chat on VRBO app to be your proof if this happened to you and let VRBO know. This house has the potential to be a great house if it gives what it advertise. I gave it 4 star because of that or else its a 5 star."
63e060f5f9c54b64f37be0e6,8181997650,NOT SPECIFIED,88934396,1675649283641,06/02/2023 02:07:49 CST,cheerful 7 bedrooms villa with hot tub & pool.,en_ca,83,overall a great property - would stay here again,Unfortunately unable to use the hot tub as it was not clean but only a short stay so difficult to rectify.,HR_REVIEWTEXT,Unfortunately unable to use the hot tub as it was not clean but only a short stay so difficult to rectify. Well equipped to meet our needs and the owner was very responsive. Pictures of property were accurate
63dea8d027b5e21416022cef,8181423220,NOT SPECIFIED,89293417,1675536602170,04/02/2023 18:49:52 CST,"adorable dog-friendly cottage with private yard, hot tub, grill, & central ac",en_us,83,not as advertised,the hot tub was completely disgusting and green.,HR_REVIEWTEXT,"So on arrival we noticed things weren’t as clean as they should be, parking barely fits one car. You can see right through the entire home due to only having indoor/ out door blinds.. the hot tub was completely disgusting and green. Smelled like mildew and wasn’t even plugged in. Communication with staff trying to get someone out was ridiculous and took 18 hrs for someone to show up un announced . I drained and cleaned the hot tub myself. But it never even heated up fast enough for us to use. Neighbors window stay open and have zero privacy including that owner has a ring camera on the back door looking right at the hot tub. Wouldn’t book this house ever again. Absolute Waste of money."
63df08705f55c1285d32edcd,8181543576,NOT SPECIFIED,87800820,1675561082582,05/02/2023 01:37:52 CST,spacious condo with amazing view and beachfront!,en_us,83,3.5 stars sounds about right,Pools were pretty dirty when we were there tons of sand at the bottom.,HR_REVIEWTEXT,"Some stuff great some stuff not so much.
Unit could use remodeling/updating its pretty run down but we don't stay indoors. Since this unit sleeps 6 there should be 6 of everything not only 4. Owner should purchase hangers and supply more in the kitchen however great communication. Wifi was terrible and only working in master bedroom area. Views were awesome and resort Ok. They are very strict on bringing coolers by pools and make you buy stuff there which is hefty however you can go to the beach. Bar was awesome great drinks and food but again pricey. Pools were pretty dirty when we were there tons of sand at the bottom. Check in process very friendly and smooth. Valet was great but expensive. Overall 3.5 rating. We will come again but more prepared. Cheers!"
63d569172c9f795234ceadea,8178661261,NOT SPECIFIED,83330982,1674930465052,28/01/2023 18:27:35 CST,beach paradise with saltwater heated pool & tiki hut,en_us,83,cute place but not close to beach,However pool was not clean,HR_REVIEWTEXT,"Stayed here with a friend for a few days. Nicely decorated and plenty of space, which was stocked well. Appreciated the washer/dryer. However pool wasn’t clean, fridge leaked and there was only warm water in one bathroom. Shower curtains were moldy. Very slow response from rental property. Pretty far walk to the beach. 
Cute place, but would not stay again."
63d004400cbec808ed2ae4bb,8176940790,NOT SPECIFIED,76550623,1674576981448,24/01/2023 16:16:00 CST,"walk to beach! spacious 5 bedroom, 5 bath with pool!",en_us,83,older house,The pool was dirty when we came but on Tuesday they did have the pool guy there and it was cleaned.,HR_REVIEWTEXT,"We had a party of 10 the fact that it had 5 bedrooms and all bedrooms had there own bath was awesome. 
The house needs some work:
Several blinds broken with this being the only window covering privacy can be a issue.
The last bedroom in the back of the house bed is terrible sunken in to the middle beds skirt ripped this bed needs replaced they tried just putting on a foam pad. The bathtub needs scrubbed you can scrape the sides and it's gross.
Loved having two washers and dryers they came in so handy with a large family who packed light.
Kitchen needs more frying pans other than that well equipped if you want to cook. 
Loved the grill we has a grill night.
The pool was dirty when we came but on Tuesday they did have the pool guy there and it was cleaned. 
The outdoor shower by the pool spigot is leaking.
The pool deck needs a lots of help and could be dangerous several broken pieces a few sticking up. 
We enjoyed the pool one day of our stay not very deep or big but was enjoyed 😀 👍.
Loved the outside table we all used this area often.
One of the chairs is broken on the inside table. Living room couch is a little dated. Loved that they had Netflix and Disney plus we had a two year old.
They had plenty of fans house does not have air-conditioning I was a bit worried but going in January the nights get a bit cooler days are hot but we we're gone most days. 
Lots of extra things in the closet off the living room some baby things toys, extra fans, each room has its own ceiling fan and had fans in the closet.
We loved all the extra thing like lawn chairs, umbrellas, ice chest, beach towels.
With a little bit of love this house could be brought back to life.
If you stay in the bedroom in the living room don't lock the door and the door to the bathroom no key was provided to us and we got locked out. Good thing it has a open space at the top 😉. 
Overall we enjoyed our stay finding a house with a decent price range for bigger families is hard and we appreciate you offering your home to people."
63ce938a00288f1d4214ae70,8176433367,NOT SPECIFIED,76430396,1674482884143,23/01/2023 14:02:50 CST,condo in the middle of everything!,en_ca,83,"great location , old building and amenities","(We had to beware with our kids) The pool was dirty, my kids did not even want to go in.",HR_REVIEWTEXT,"Irina the host is great, easy to communicate with, very helpful. But the disappointment was the place. The building is very old. Looks dirty. There was rat poison pieces all over the building main floor. (We had to beware with our kids) The pool was dirty, my kids didn’t even want to go in. (5-7y) We took that condo to have the pool has an option. The condo in on the Main floor, we did not expect that. The balcony is in the yard with high concrete walls with spikes at top and a lot of garbage of construction laying around everywhere. So we did not use the balcony. The bathroom needs a facelift , the bath looked dirty and lots of rust on the poles. (The sea salt would be doing that ) But the rest of the apartment was clean. The location is the highlight of this stay, right across the street, the beach is there , with the popular tiki bikini hut right there. We were able to walk everywhere with our kids. The center is a few minutes away and the fish fry we went many times , 10 min walk. Bahamian people are really nice. Nassau is a great place, we loved it !"
63dbf151bc6fce68acc77d36,8180655512,NOT SPECIFIED,83271161,1675358601962,02/02/2023 17:22:23 CST,"grand, breathtaking home | pool | grill | game room",en_us,83,health hazards house,pool was dirty,HR_REVIEWTEXT,"Cat 3 sewage leak in the kitchen. Listing falsely presents the property. Yard was being watered by the washing machine, pool was dirty, no jacuzzi was made to be a flower pot. The yard was over grown with weeds the size of trees."
63d1baf4555da10961cf8443,8177506735,NOT SPECIFIED,48717171,1674689278434,25/01/2023 23:27:48 CST,~15 miles to disney parks from home w/ pool deck!,en_us,83,pool was suppose to be heated…,Pool was very dirty.,HR_REVIEWTEXT,"We paid to have the pool heated because there was a hot tub as well. I attempted to call and left messages . No one returned my calls . The pool and the hot tub was very cold and I am out the money because no one will return my call. 
Also the locks are very difficult on the house. You can’t lock the front door from the outside. 
Pool was very dirty. 
It may only be 14 miles to Disney but traffic is terrible and takes at least an hour to get there"
63da40ba7d18a10272b88840,8180137908,NOT SPECIFIED,88281903,1675247865728,01/02/2023 10:36:41 CST,"sunshine villa - beach holiday w/ pool, fireplace & pet friendly",en_au,83,nice place,"When we arrived the pool was pretty dirty but it was because the vac had stopped working, and when i called they sent someone straight over and it was sorted super quick.",HR_REVIEWTEXT,"This was a super lovely house to stay in, we had a great time, and even though you could have pets there, there was no residue of anyones pets. The aircon is only in the living space and small upstairs tv room, so even though there were fans in bedrooms it was a bit hot and sticky, and if you aren't a big fan of sharing your space with nature you'll want to keep all the beautiful shutter glass windows closed, there are no fly screens on the main living area windows. But apart from those two technicalities we had a great time. When we arrived the pool was pretty dirty but it was because the vac had stopped working, and when i called they sent someone straight over and it was sorted super quick. They could do with a new manual pool cleaner, it had big holes in it so was a bit tricky cleaning stuff off the surface out. overall all, wonderful stay."
