Review ID,Review Submission Date Time,Account ID,Validated Listing ID,Subject,Primary Category,Secondary Category,Description,Case Origin,Record Type ID,Contact Name,Owner ID,Case Category,Type,Status,Blocker,Auto Chase Status,Translated Description
63e0029a0249ff1a186a12d6,02/05/2023T01:00:00.000GMT,84093878,84093878,"Smoke detector beeping constantly, needed new battery.",Fire,,"Smoke detector beeping constantly, needed new battery.
----: 
great location
----: 
Easy check-in & great location to downtown. Smoke detector beeping constantly, needed new battery. Not a big deal. TV didn't stay off for some reason but it was kind of funny. Would return to this place if hanging out in downtown Cedar Falls.
Brand: VRBO",Dataloader,Partner Review,Internal Contacts,005C0000003oGdn,Guest Review,Health & Safety Investigation Level 1,New,,Not Applicable,"Smoke detector beeping constantly, needed new battery.
----: 
great location
----: 
Easy check-in & great location to downtown. Smoke detector beeping constantly, needed new battery. Not a big deal. TV didn't stay off for some reason but it was kind of funny. Would return to this place if hanging out in downtown Cedar Falls.
Brand: VRBO"
63e06a76f4b1f35d916aa4b9,02/06/2023T01:00:00.000GMT,76614808,76614808,The oven set off the fire alarm every time we opened it but it was reassuring that they all worked!,Fire,,"The oven set off the fire alarm every time we opened it but it was reassuring that they all worked!
----: 
cozy vacation in the woods
----: 
Spent a little over a month in the cabin and it was just what my family needed to relax and unwind. While it would have been nice to have a baby gate (or 2) and a crib we had a wonderful time. It was very cozy sitting in the middle of the woods. The oven set off the fire alarm every time we opened it but it was reassuring that they all worked! Greybeard’s management team was very helpful when we came to them with problems. Would be back again in a heartbeat.
Brand: VRBO",Dataloader,Partner Review,Internal Contacts,005C0000003oGdn,Guest Review,Health & Safety Investigation Level 1,New,,Not Applicable,"The oven set off the fire alarm every time we opened it but it was reassuring that they all worked!
----: 
cozy vacation in the woods
----: 
Spent a little over a month in the cabin and it was just what my family needed to relax and unwind. While it would have been nice to have a baby gate (or 2) and a crib we had a wonderful time. It was very cozy sitting in the middle of the woods. The oven set off the fire alarm every time we opened it but it was reassuring that they all worked! Greybeard’s management team was very helpful when we came to them with problems. Would be back again in a heartbeat.
Brand: VRBO"
63e0409725e58f7f9676a922,02/05/2023T01:00:00.000GMT,71725646,71725646,From the coffee maker to the hot tub issues to fire alarms going off in the middle of the night.,Fire,,"From the coffee maker to the hot tub issues to fire alarms going off in the middle of the night.
----: 
beautiful location
----: 
I don't think it was the owner's problem, but we ran into several problems along the way in this property. From the coffee maker to the hot tub issues to fire alarms going off in the middle of the night. Love the grounds and the beach across the street.
Brand: VRBO",Dataloader,Partner Review,Internal Contacts,005C0000003oGdn,Guest Review,Health & Safety Investigation Level 1,New,,Not Applicable,"From the coffee maker to the hot tub issues to fire alarms going off in the middle of the night.
----: 
beautiful location
----: 
I don't think it was the owner's problem, but we ran into several problems along the way in this property. From the coffee maker to the hot tub issues to fire alarms going off in the middle of the night. Love the grounds and the beach across the street.
Brand: VRBO"
63e06ed3ca34f56d83c5e598,02/06/2023T01:00:00.000GMT,77972778,77972778,The smoke/carbon monoxide detector was chirping when we arrived.,Fire,,"The smoke/carbon monoxide detector was chirping when we arrived.
----: 
great location downtown
----: 
This rental is located downtown within walking distance of the Amalie center, the River Walk and the free trolley that can easily take you to Ybor City. The unit was clean and comfortable. The smoke/carbon monoxide detector was chirping when we arrived. We easily communicated with the owner and it was fixed in no time. It would have been helpful to have information for renters on how to access the pool along with what to see and do in Tampa. We would definitely stay again!
Brand: VRBO",Dataloader,Partner Review,Internal Contacts,005C0000003oGdn,Guest Review,Health & Safety Investigation Level 1,New,,Not Applicable,"The smoke/carbon monoxide detector was chirping when we arrived.
----: 
great location downtown
----: 
This rental is located downtown within walking distance of the Amalie center, the River Walk and the free trolley that can easily take you to Ybor City. The unit was clean and comfortable. The smoke/carbon monoxide detector was chirping when we arrived. We easily communicated with the owner and it was fixed in no time. It would have been helpful to have information for renters on how to access the pool along with what to see and do in Tampa. We would definitely stay again!
Brand: VRBO"
63e01f5fd9a0ad15d01dfb63,02/05/2023T01:00:00.000GMT,33395954,33395954,the smoke detector battery was low which resulted in chirping,Fire,,"the smoke detector battery was low which resulted in chirping
----: 
as usual a great stay!
----: 
We sure do like staying at Turtle Bay! Cathy’s place was certainly familiar to us and it helped make our trip great! I’m house laundry is sooo convenient! Check in was easy. The main toilet had trouble with refilling the tank and the smoke detector battery was low which resulted in chirping. We informed her about it and she was fixing to take care of it. The bed was plenty comfy. Windows and sliders open for a nice cross breeze. The place stayed plenty cool for us to sleep at night. Kitchen could have been better stocked with spices. Sift through some of the beach amenities to make sure they function well- both umbrellas we tried to bring with us were broken. But this is all very small stuff and we had a great time regardless! Love the North Shore!
Brand: VRBO",Dataloader,Partner Review,Internal Contacts,005C0000003oGdn,Guest Review,Health & Safety Investigation Level 1,New,,Not Applicable,"the smoke detector battery was low which resulted in chirping
----: 
as usual a great stay!
----: 
We sure do like staying at Turtle Bay! Cathy’s place was certainly familiar to us and it helped make our trip great! I’m house laundry is sooo convenient! Check in was easy. The main toilet had trouble with refilling the tank and the smoke detector battery was low which resulted in chirping. We informed her about it and she was fixing to take care of it. The bed was plenty comfy. Windows and sliders open for a nice cross breeze. The place stayed plenty cool for us to sleep at night. Kitchen could have been better stocked with spices. Sift through some of the beach amenities to make sure they function well- both umbrellas we tried to bring with us were broken. But this is all very small stuff and we had a great time regardless! Love the North Shore!
Brand: VRBO"
63e0908012228c2244cdcd8c,02/06/2023T01:00:00.000GMT,46331564,46331564,Cobb webbs in corners almost everywhere Wasps nest at lease 4 by the front entrance of the villa Dryer was full of Lint - fire hazard,Fire,,"Cobb webbs in corners almost everywhere Wasps nest at lease 4 by the front entrance of the villa Dryer was full of Lint - fire hazard
----: 
summer stay
----: 
Hello 
A couple of things i wanted to let you know :-

Cobb webbs in corners almost everywhere
Wasps nest at lease 4 by the front entrance of the villa
Dryer was full of Lint - fire hazard

Other than that the property was just like the ad and we were happy with the accommodation.

Many thanks Thea
Brand: VRBO",Dataloader,Partner Review,Internal Contacts,005C0000003oGdn,Guest Review,Health & Safety Investigation Level 1,New,,Not Applicable,"Cobb webbs in corners almost everywhere Wasps nest at lease 4 by the front entrance of the villa Dryer was full of Lint - fire hazard
----: 
summer stay
----: 
Hello 
A couple of things i wanted to let you know :-

Cobb webbs in corners almost everywhere
Wasps nest at lease 4 by the front entrance of the villa
Dryer was full of Lint - fire hazard

Other than that the property was just like the ad and we were happy with the accommodation.

Many thanks Thea
Brand: VRBO"
63e009569e702852bd6e54dd,02/05/2023T01:00:00.000GMT,38309707,38309707,This home presents a huge fire hazard with all the electrical issues.,Fire,,"This home presents a huge fire hazard with all the electrical issues.
----: 
very dated
----: 
Upon arriving, we found a note from the host that the furnace had quit working the day before our arrival. And the home was quite cold. When contacting the host was told I was exaggerating that the house was freezing on arrival, that it had to be at least 60 degrees downstairs & 70 upstairs. It was not near that. There was almost 10 space heaters plugged in throughout the home. And we had to also start the fire place and get the fire going with the wet wood they had. Due to all of the space heaters plugged in, it also blew a breaker. We found the breaker box, in the living room wall, covered with a piece of styrofoam and cloth as the breaker cover. The other breaker box had no cover. Several outlets & light switches were without covers. The outlets all had power strips or outlet extenders plugged into them. The downstairs had no smoke alarm and the barrel fire place down there got extremely hot. The ceiling tiles had been wet throughout and starting to fall in. The pictures are deceiving. This home presents a huge fire hazard with all the electrical issues.
Brand: VRBO",Dataloader,Partner Review,Internal Contacts,005C0000003oGdn,Guest Review,Health & Safety Investigation Level 1,New,,Not Applicable,"This home presents a huge fire hazard with all the electrical issues.
----: 
very dated
----: 
Upon arriving, we found a note from the host that the furnace had quit working the day before our arrival. And the home was quite cold. When contacting the host was told I was exaggerating that the house was freezing on arrival, that it had to be at least 60 degrees downstairs & 70 upstairs. It was not near that. There was almost 10 space heaters plugged in throughout the home. And we had to also start the fire place and get the fire going with the wet wood they had. Due to all of the space heaters plugged in, it also blew a breaker. We found the breaker box, in the living room wall, covered with a piece of styrofoam and cloth as the breaker cover. The other breaker box had no cover. Several outlets & light switches were without covers. The outlets all had power strips or outlet extenders plugged into them. The downstairs had no smoke alarm and the barrel fire place down there got extremely hot. The ceiling tiles had been wet throughout and starting to fall in. The pictures are deceiving. This home presents a huge fire hazard with all the electrical issues.
Brand: VRBO"
63dfeedefdb5ca48501eea66,02/05/2023T01:00:00.000GMT,76781039,76781039,they even came out immediately when a smoke detector started beeping due to low battery,Fire,,"they even came out immediately when a smoke detector started beeping due to low battery
----: 
great house for a group
----: 
We came to New Orleans for a bachelorette party and had the best time at this house! There was plenty of space for 10 ladies. The house was clean, the beds were so comfortable, and the showers/bathrooms were very nice!! The space was perfect for our group and in an excellent location! The host communicated quickly, and they even came out immediately when a smoke detector started beeping due to low battery. I HIGHLY recommend this house!
Brand: VRBO",Dataloader,Partner Review,Internal Contacts,005C0000003oGdn,Guest Review,Health & Safety Investigation Level 1,New,,Not Applicable,"they even came out immediately when a smoke detector started beeping due to low battery
----: 
great house for a group
----: 
We came to New Orleans for a bachelorette party and had the best time at this house! There was plenty of space for 10 ladies. The house was clean, the beds were so comfortable, and the showers/bathrooms were very nice!! The space was perfect for our group and in an excellent location! The host communicated quickly, and they even came out immediately when a smoke detector started beeping due to low battery. I HIGHLY recommend this house!
Brand: VRBO"
63e12a72f7134d2190d56869,02/06/2023T01:00:00.000GMT,19177958,19177958,Property management was great at communicating with issues (chirping fire alarm).,Fire,,"Property management was great at communicating with issues (chirping fire alarm).
----: 
lots of room, but in need of some tlc!
----: 
The location and amenities are ideal, lots of room for a family or multiple couples. Condo was well equipped however many items clearly well used and in need of replacement/repair (dull knives, broken blender etc.), lanai light did not work, lanai sliding door required lots of fiddling to lock every time as well the blinds in ""children's"" bedroom were completely broken as well as the screens so we got quiet a few visiting bugs and creatures (geckos) and subsequent bug bites. Lots of disrepair such as broken tiles, mold on shower doors (note: sliding bath doors very challenging to bath/shower kids), and build up on sinks/tubs/facets. Pool side only plastic dishes allowed however only plastic glasses provided, no plates etc. Well equipped for kiddos (pack and play, booster seat., umbrella stroller etc.). Property management was great at communicating with issues (chirping fire alarm). Overall it was a good unit but needs some love and attention.
Brand: VRBO",Dataloader,Partner Review,Internal Contacts,005C0000003oGdn,Guest Review,Health & Safety Investigation Level 1,New,,Not Applicable,"Property management was great at communicating with issues (chirping fire alarm).
----: 
lots of room, but in need of some tlc!
----: 
The location and amenities are ideal, lots of room for a family or multiple couples. Condo was well equipped however many items clearly well used and in need of replacement/repair (dull knives, broken blender etc.), lanai light did not work, lanai sliding door required lots of fiddling to lock every time as well the blinds in ""children's"" bedroom were completely broken as well as the screens so we got quiet a few visiting bugs and creatures (geckos) and subsequent bug bites. Lots of disrepair such as broken tiles, mold on shower doors (note: sliding bath doors very challenging to bath/shower kids), and build up on sinks/tubs/facets. Pool side only plastic dishes allowed however only plastic glasses provided, no plates etc. Well equipped for kiddos (pack and play, booster seat., umbrella stroller etc.). Property management was great at communicating with issues (chirping fire alarm). Overall it was a good unit but needs some love and attention.
Brand: VRBO"
63e067cb965c2f51d00daadb,02/06/2023T01:00:00.000GMT,85978135,85978135,There were no washcloths only one and a half rolls of toilet paper and a three bathroom house a beer had exploded in the ice maker so the ice was no good there was sticky stuff on the floor in the kitchen and in the master bathroom there was not a li,Fire,,"There were no washcloths only one and a half rolls of toilet paper and a three bathroom house a beer had exploded in the ice maker so the ice was no good there was sticky stuff on the floor in the kitchen and in the master bathroom there was not a lid that fit the two frying pans that there were there were only four coffee cups there were no mixing bowls there was one butcher knife no toaster no remote for the TV no cable so we could not watch TV one of the smoke alarms was chirping and the owner refused to fix it no garbage bags anywhere only bar soaps in the bathrooms already used.
----: 
lots of things wrong
----: 
There were no washcloths only one and a half rolls of toilet paper and a three bathroom house a beer had exploded in the ice maker so the ice was no good there was sticky stuff on the floor in the kitchen and in the master bathroom there wasn't a lid that fit the two frying pans that there were there were only four coffee cups there were no mixing bowls there was one butcher knife no toaster no remote for the TV no cable so we could not watch TV one of the smoke alarms was chirping and the owner refused to fix it no garbage bags anywhere only bar soaps in the bathrooms already used. The extra bedroom they said was off of the master bedroom for a child was actually a walk-in closet there was no laundry soap. There were stains on the white covered chairs. There was blood or what appeared to be blood on the light switch in the downstairs bathroom.
Brand: VRBO",Dataloader,Partner Review,Internal Contacts,005C0000003oGdn,Guest Review,Health & Safety Investigation Level 1,New,,Not Applicable,"There were no washcloths only one and a half rolls of toilet paper and a three bathroom house a beer had exploded in the ice maker so the ice was no good there was sticky stuff on the floor in the kitchen and in the master bathroom there was not a lid that fit the two frying pans that there were there were only four coffee cups there were no mixing bowls there was one butcher knife no toaster no remote for the TV no cable so we could not watch TV one of the smoke alarms was chirping and the owner refused to fix it no garbage bags anywhere only bar soaps in the bathrooms already used.
----: 
lots of things wrong
----: 
There were no washcloths only one and a half rolls of toilet paper and a three bathroom house a beer had exploded in the ice maker so the ice was no good there was sticky stuff on the floor in the kitchen and in the master bathroom there wasn't a lid that fit the two frying pans that there were there were only four coffee cups there were no mixing bowls there was one butcher knife no toaster no remote for the TV no cable so we could not watch TV one of the smoke alarms was chirping and the owner refused to fix it no garbage bags anywhere only bar soaps in the bathrooms already used. The extra bedroom they said was off of the master bedroom for a child was actually a walk-in closet there was no laundry soap. There were stains on the white covered chairs. There was blood or what appeared to be blood on the light switch in the downstairs bathroom.
Brand: VRBO"
