_language,review_id,hr_tspid,cb_document_word_count,hr_submissiontime,_id_source,_id_verbatim,hr_servicescore,ha_tuid,_languagedetected,_sentence_end_pos,_id_batch,_id_document,ha_hotelname,hr_tpid,hr_product_brand,hr_ecofriendlyscore,hr_recommended,_doc_date,cb_interaction_type,time_of_day,cb_content_subtype,hr_overallrating,natural_id,cb_date_updated,hr_lastmodificationt,hr_roomtypeid,_degreesentimentindex,_sentence_start_pos,cb_date_created_utc,hr_roomcleanlinesssc,cb_sentence_word_count,cb_content_type,hr_itin,_id_sentence,_doc_time,hr_displaylocale,hr_hotelconditionsco,_verbatimtype,hr_moderationstatus,adm_expediahotelid,hr_roomcomfortscore,adm_datasourceid,cb_sentence_quartile,_words,review_title,verbatim,topic,cb_emotion_intensity,cb_sentence_ease_score,cb_bc_person,cb_bc_detected,cb_emotion
english,650b29b79bfffe046b559680,83,42,2023-09-20,not specified,15385275079,0,5eb4563c-1717-4567-beb1-b342efc70284,english,43,61535523,5417284446,hotel 11,-2,ho,0.0,true,2023-09-20,feedback,22:00,contentful,5,650b29b79bfffe046b559680,1695230394029,2023-09-20,220023663,-1.0,0,1695230393709,5,7,contentful,8f2bb04d-322b-41b6-b935-995f1fdd2991,8234924315,2023-09-20T17:19:51.000Z,en_us,0,hr_reviewtext,queued_for_lang_detect,25138668,0,urs,1,Other than issues with the pool being green,great location!,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Morbi maximus rutrum eros ut porta. Vestibulum at accumsan metus, sit amet dapibus mi. Sed dictum velit nec consequat tincidunt. Mauris venenatis eleifend accumsan. Aenean eget ex elementum, ornare sem vitae, semper enim. Sed eu efficitur tellus. Sed interdum arcu ac nunc.",H&S VRBO Model - REF >> Pool Unclean Water,,,,,
english,650b53aeab6a40063a09cc3c,83,21,2023-09-20,not specified,15385286532,0,580b7e41-b095-43f2-b686-0f9f0958fc5b,english,130,61537599,5421273449,hotel 12,-2,ho,0.0,true,2023-09-20,feedback,01:00,contentful,4,650b53aeab6a40063a09cc3c,1695241140623,2023-09-20,221186074,-2.5,45,1695241140341,4,15,contentful,ad6550a5-53a5-4c8a-8eab-a0c2d8b93e71,8234948999,2023-09-20T20:18:52.000Z,en_us,0,hr_reviewtext,queued_for_lang_detect,22223208,0,urs,2,pools was stayed dirty never cleaned and hot tubs full of sand not cleaned out either,pools,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Morbi maximus rutrum eros ut porta. Vestibulum at accumsan metus, sit amet dapibus mi. Sed dictum velit nec consequat tincidunt. Mauris venenatis eleifend accumsan. Aenean eget ex elementum, ornare sem vitae, semper enim. Sed eu efficitur tellus. Sed interdum arcu ac nunc.",H&S VRBO Model - REF >> Pool Unclean Water,,,,,
english,650b71ec944ef9793c8be246,83,272,2023-09-20,not specified,15385294178,0,8ac0de97-5d2e-4f11-83f3-b7aab85c8305,english,1498,61547495,5423172454,hotel 13,-2,ho,0.0,true,2023-09-20,feedback,03:00,contentful,4,650b71ec944ef9793c8be246,1695248884781,2023-09-20,315551864,-1.75,851,1695248881786,3,122,contentful,4a7d7f5b-48ac-49dc-8a59-ab6c783a6362,8234965394,2023-09-20T22:27:54.000Z,en_us,0,hr_reviewtext,queued_for_lang_detect,70989037,0,urs,3,"- Shampoo/conditioner/soap provided were smaller than what a hotel would provide for a place that sleeps 10 ( bring your own) - Ended up having to buy extra toilet paper/paper towels as we ran out with at most 7 people in the home at a time and no extras provided - Attempted to use grill several times and it did not heat up enough to be usable despite hooking up our own propane tank - Power was out overnight one night we were there (problematic for groceries/breastmilk) - There is a makeshift fire pit we never used, we would have loved an actual fire pit for cooking smores - Lack of AC was not an issue this time of year but would be in summer",fun family/dog getaway,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Morbi maximus rutrum eros ut porta. Vestibulum at accumsan metus, sit amet dapibus mi. Sed dictum velit nec consequat tincidunt. Mauris venenatis eleifend accumsan. Aenean eget ex elementum, ornare sem vitae, semper enim. Sed eu efficitur tellus. Sed interdum arcu ac nunc.",H&S VRBO Model - REF >> Electrical - Power Outage,2.0,-2.0,,,
english,650ac5a152c59a38534663e4,83,120,2023-09-20,not specified,15385249856,0,020c8487-1559-4082-a0a0-74b87bef583f,english,655,61528966,5408399446,hotel 14,-2,ho,0.0,true,2023-09-20,feedback,15:00,contentful,4,650ac5a152c59a38534663e4,1695204775346,2023-09-20,213664641,-3.0,0,1695204773820,3,120,contentful,6e6dc4d9-adcc-4339-a34f-ff1b2d1bff78,8234870616,2023-09-20T10:12:49.000Z,pt_pt,0,hr_reviewtext,queued_for_lang_detect,35833792,0,urs,1,"Its not our fist stay in this house, the place is nice however there are a few thing that could be looked after, minor details such a few electric plugs (damaged) kitchen extractor (very noisy) upstairs shower needs attention, the cleaning on the kitchen utensils (we had to wash everything before use, they were bad) lack of towels and bed linen, the garden furniture is poor as well, load of ants and other insects will appear as the windows and doors are probably 50y old and they let everything in, the only good side is the location of the propriety and the size that fit our needs, nevertheless the price is a bit on high side for all the conditions",nice place,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Morbi maximus rutrum eros ut porta. Vestibulum at accumsan metus, sit amet dapibus mi. Sed dictum velit nec consequat tincidunt. Mauris venenatis eleifend accumsan. Aenean eget ex elementum, ornare sem vitae, semper enim. Sed eu efficitur tellus. Sed interdum arcu ac nunc.",H&S VRBO Model - REF >> Electrical - Power Outage,,,,,
german,650b12a8ef72745eab378b63,83,24,2023-09-20,not specified,15385268291,0,0832a424-3c4a-493c-993e-7896cba47b3f,german,130,61534128,5414778447,hotel 15,-2,ho,0.0,true,2023-09-20,feedback,20:00,contentful,5,650b12a8ef72745eab378b63,1695224498173,2023-09-20,217348266,0.0,60,1695224497491,5,12,contentful,65cfe861-4323-42f0-9459-0fba3e8e8fb7,8234910298,2023-09-20T15:41:26.000Z,de_de,0,hr_reviewtext,queued_for_lang_detect,33478858,0,urs,2,"Die Treppe im Haus ist zwar steil, hat aber ein ordentliches Geländer.",schöner urlaub,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Morbi maximus rutrum eros ut porta. Vestibulum at accumsan metus, sit amet dapibus mi. Sed dictum velit nec consequat tincidunt. Mauris venenatis eleifend accumsan. Aenean eget ex elementum, ornare sem vitae, semper enim. Sed eu efficitur tellus. Sed interdum arcu ac nunc.",H&S VRBO Model - REF >> Accommodation,,,"['im', 'haus', 'steil']",['person'],
english,650b34f1c311bb09881666ec,83,129,2023-09-20,not specified,15385278572,0,8d9f91fa-6c7f-4e16-80c5-f92906150b13,english,341,61535523,5418617446,hotel 16,-2,ho,0.0,true,2023-09-20,feedback,23:00,contentful,4,650b34f1c311bb09881666ec,1695233269469,2023-09-20,215808605,-2.0,221,1695233268805,3,23,contentful,03ffbbe8-5b5a-412a-8d90-246cbcfad537,8234931917,2023-09-20T18:07:43.000Z,en_us,0,hr_reviewtext,queued_for_lang_detect,33602410,0,urs,2,The walk up stairs (4 stories) was tough with a toddler and the stairs within the apartment were not safe for her either.,"mostly what we thought we were getting, a few caveats","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Morbi maximus rutrum eros ut porta. Vestibulum at accumsan metus, sit amet dapibus mi. Sed dictum velit nec consequat tincidunt. Mauris venenatis eleifend accumsan. Aenean eget ex elementum, ornare sem vitae, semper enim. Sed eu efficitur tellus. Sed interdum arcu ac nunc.",H&S VRBO Model - REF >> Stairs,,,,,
english,650a51b15b225235e6f2de81,83,224,2023-09-20,not specified,15385231062,0,154ae5fa-0578-4b21-bc0d-23d35502ec75,english,281,61522260,5402891446,hotel 17,-2,ho,0.0,true,2023-09-20,feedback,06:00,contentful,1,650a51b15b225235e6f2de81,1695175093680,2023-09-20,321482225,-2.25,0,1695175091303,3,57,contentful,90cfcfd5-aa0f-461e-853e-296eea2753d8,8234837190,2023-09-20T01:58:09.000Z,en_us,0,hr_reviewtext,queued_for_lang_detect,90167348,0,urs,1,"Never in my life of renting a spot Have I ever dealt with such an unprofessional host, We have dealt with doors not closing & water leakages even with these issues we did not complain but up until the middle of our stay the power went out and the host said he would fix it the day of.",very unprofessional host,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Morbi maximus rutrum eros ut porta. Vestibulum at accumsan metus, sit amet dapibus mi. Sed dictum velit nec consequat tincidunt. Mauris venenatis eleifend accumsan. Aenean eget ex elementum, ornare sem vitae, semper enim. Sed eu efficitur tellus. Sed interdum arcu ac nunc.",H&S VRBO Model - REF >> Electrical - Power Outage,,,,,
english,650a7d46ac191244c813680e,83,88,2023-09-04,not specified,15385239177,0,8940c7c5-15c7-41ca-b588-2d2591393d95,english,493,61524398,5405459469,hotel 18,-2,ho,0.0,true,2023-09-04,feedback,15:00,contentful,3,650a7d46ac191244c813680e,1695186248974,2023-09-20,218201627,-1.75,0,1695186247591,0,88,contentful,,8234853129,2023-09-04T10:31:06.000Z,en_us,0,hr_reviewtext,approved,40060696,0,urs,1,"Disliked: - broken elevator upon arrival and so many stairs, not convenient if lots of luggage - had to pick up/pay for linen and make beds and undo and bring back with keys - early 10:00 a.m. check-out, luckily elevator was fixed -mildiou on entrance door, tray full of congealed grease in oven - no trash bags - no a/c, had to leave windows open for air but above a street and the mopeds driving by all night long was unbearable LIKED: free parking elevator if working partial view of beach",actually wanted the grand palais!,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Morbi maximus rutrum eros ut porta. Vestibulum at accumsan metus, sit amet dapibus mi. Sed dictum velit nec consequat tincidunt. Mauris venenatis eleifend accumsan. Aenean eget ex elementum, ornare sem vitae, semper enim. Sed eu efficitur tellus. Sed interdum arcu ac nunc.",H&S VRBO Model - REF >> Window,,,,,
english,650ae05a4080ea283300368d,83,35,2023-09-20,not specified,15385255516,0,46c6d5d4-80d6-471b-a6f4-5adaa1e9901c,english,234,61531064,5410209467,hotel 19,-2,ho,0.0,true,2023-09-20,feedback,17:00,contentful,4,650ae05a4080ea283300368d,1695211614186,2023-09-20,213664394,-2.125,101,1695211613788,5,19,contentful,56a2363d-166c-4015-8b7f-1801eeb1508e,8234883856,2023-09-20T12:06:50.000Z,en_gb,0,hr_reviewtext,queued_for_lang_detect,33585210,0,urs,2,"Only snags were somewhat limited electric lighting and lack of electricity sockets for , e.g. charging phones , electric shavers, etc",delightful,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Morbi maximus rutrum eros ut porta. Vestibulum at accumsan metus, sit amet dapibus mi. Sed dictum velit nec consequat tincidunt. Mauris venenatis eleifend accumsan. Aenean eget ex elementum, ornare sem vitae, semper enim. Sed eu efficitur tellus. Sed interdum arcu ac nunc.",H&S VRBO Model - REF >> Fatality,5.0,,,,['frustration']
french,650b1c88fecb6761f5ef1a42,83,62,2023-09-20,not specified,15385271078,0,5aa9da80-1d67-4038-82db-79d22d6fde16,french,128,61534128,5415781456,hotel 20,-2,ho,0.0,true,2023-09-20,feedback,21:00,contentful,1,650b1c88fecb6761f5ef1a42,1695227018808,2023-09-20,316047859,-2.25,64,1695227017953,0,8,contentful,,8234915885,2023-09-20T16:23:36.000Z,en_us,0,hr_reviewtext,queued_for_lang_detect,74708585,0,urs,1,Poussièreux et vieillot Les escaliers sont franchement dangereux,sinistre,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Morbi maximus rutrum eros ut porta. Vestibulum at accumsan metus, sit amet dapibus mi. Sed dictum velit nec consequat tincidunt. Mauris venenatis eleifend accumsan. Aenean eget ex elementum, ornare sem vitae, semper enim. Sed eu efficitur tellus. Sed interdum arcu ac nunc.",H&S VRBO Model - REF >> Stairs,4.0,,,,['fear']
