_language,review_id,cb_document_word_count,hr_submissiontime,_id_source,_id_verbatim,hr_servicescore,hr_travelertype,ha_tuid,_languagedetected,_sentence_end_pos,_id_batch,_id_document,ha_hotelname,hr_tpid,hr_product_brand,hr_ecofriendlyscore,_doc_date,cb_interaction_type,time_of_day,cb_content_subtype,hr_overallrating,natural_id,cb_date_updated,hr_lastmodificationt,hr_roomtypeid,_degreesentimentindex,_sentence_start_pos,cb_date_created_utc,hr_roomcleanlinesssc,cb_sentence_word_count,cb_content_type,hr_itin,_id_sentence,_doc_time,hr_displaylocale,hr_hotelconditionsco,_verbatimtype,hr_moderationstatus,hr_triptype,adm_expediahotelid,hr_roomcomfortscore,adm_datasourceid,cb_sentence_quartile,_words,verbatim,topic,cb_emotion,cb_emotion_intensity,review_title
english,650a47ec22f0d01187d72631,6,2023-09-20,not specified,15385232201,1,partner,72615891,english,31,61522260,5403265447,hotel 1,1,ex,2.0,2023-09-20,feedback,06:00,contentful,3,650a47ec22f0d01187d72631,1695176451527,2023-09-20,218422924,-2.0,0,1695176451264,2,6,contentful,9143780707730,8234839417,2023-09-20T01:16:28.000Z,en_us,1,hr_reviewtext,queued_for_lang_detect,leisure,1040714,0,dynamic_collection,1,There are roaches on the floor.,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Morbi maximus rutrum eros ut porta. Vestibulum at accumsan metus, sit amet dapibus mi. Sed dictum velit nec consequat tincidunt. Mauris venenatis eleifend accumsan. Aenean eget ex elementum, ornare sem vitae, semper enim. Sed eu efficitur tellus. Sed interdum arcu ac nunc.",Health and Safety - Ref >> Pest-Control,,,
english,650a2871db4f6e19c7a17487,8,2023-09-19,not specified,15385224986,1,friends,1273503759,english,32,61520043,5400752446,hotel 2,1,ex,1.0,2023-09-19,feedback,04:00,contentful,1,650a2871db4f6e19c7a17487,1695168191738,2023-09-20,314051729,-3.0,0,1695168191331,1,4,contentful,9138971191036,8234825799,2023-09-19T23:02:09.000Z,en_us,1,hr_reviewtext,queued_for_lang_detect,business,5273,0,dynamic_collection,1,so many cockroaches - unlivable.,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Morbi maximus rutrum eros ut porta. Vestibulum at accumsan metus, sit amet dapibus mi. Sed dictum velit nec consequat tincidunt. Mauris venenatis eleifend accumsan. Aenean eget ex elementum, ornare sem vitae, semper enim. Sed eu efficitur tellus. Sed interdum arcu ac nunc.",Health and Safety - Ref >> Pest-Control,,,
dutch,650a17ca2e6cb12c43b973e5,62,2023-09-19,not specified,15385222046,2,partner,11764307,dutch,82,61520043,5399749452,hotel 3,11,ex,3.0,2023-09-19,feedback,02:00,contentful,3,650a17ca2e6cb12c43b973e5,1695164517689,2023-09-19,201206556,0.25,0,1695164516331,3,13,contentful,9141181263241,8234819483,2023-09-19T21:51:06.000Z,nl_nl,3,hr_reviewtext,queued_for_lang_detect,leisure,11849074,0,dynamic_collection,1,"Mooi hotel, schoon (op kit randen douche, een dode kakkerlak en rioolwormpjes na).","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Morbi maximus rutrum eros ut porta. Vestibulum at accumsan metus, sit amet dapibus mi. Sed dictum velit nec consequat tincidunt. Mauris venenatis eleifend accumsan. Aenean eget ex elementum, ornare sem vitae, semper enim. Sed eu efficitur tellus. Sed interdum arcu ac nunc.",Health and Safety - Ref >> Pest-Control,['joy'],2.0,
portuguese,650b19fb2c341f1193e563f1,64,2023-09-20,not specified,15385274993,3,,118598151,portuguese,122,61535523,5417268446,hotel 4,-1,hotels,2.0,2023-09-20,feedback,21:00,contentful,1,650b19fb2c341f1193e563f1,1695230259351,2023-09-20,200061934,-1.5,20,1695230258477,1,19,contentful,9213547103220,8234924110,2023-09-20T16:12:43.000Z,pt_br,2,hr_reviewtext,queued_for_lang_detect,,4316320,2,dynamic_collection,1,"ficamos em um quarto ao lado da lixeira, onde encontramos baratas próximas e quarto com cheiro de mofo","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Morbi maximus rutrum eros ut porta. Vestibulum at accumsan metus, sit amet dapibus mi. Sed dictum velit nec consequat tincidunt. Mauris venenatis eleifend accumsan. Aenean eget ex elementum, ornare sem vitae, semper enim. Sed eu efficitur tellus. Sed interdum arcu ac nunc.",Health and Safety - Ref >> Pest-Control,,,péssima experiência
english,650b306a0d0e354add0b045a,90,2023-09-20,not specified,15385281611,1,partner,1622963622,english,219,61536546,5419657460,hotel 5,1,expedia,1.0,2023-09-20,feedback,22:00,contentful,1,650b306a0d0e354add0b045a,1695235985612,2023-09-20,205736,-2.0,101,1695235985180,1,27,contentful,9138854510954,8234938329,2023-09-20T17:48:26.000Z,en_us,0,hr_reviewtext,queued_for_lang_detect,both business/leisure,118511,0,dynamic_collection,1,I had roaches in my room and they did not seem TJ care about the fact that they were all over the walls and on the bed.,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Morbi maximus rutrum eros ut porta. Vestibulum at accumsan metus, sit amet dapibus mi. Sed dictum velit nec consequat tincidunt. Mauris venenatis eleifend accumsan. Aenean eget ex elementum, ornare sem vitae, semper enim. Sed eu efficitur tellus. Sed interdum arcu ac nunc.",Health and Safety - Ref >> Pest-Control,,,
english,650ac1af5e2b0e17a5a1f1e3,23,2023-09-20,not specified,15385251812,2,family,702439529,english,71,61530105,5409048447,hotel  6,1,ex,1.0,2023-09-20,feedback,14:00,contentful,1,650ac1af5e2b0e17a5a1f1e3,1695207529849,2023-09-20,218130500,-2.5,16,1695207529484,1,11,contentful,9144212099086,8234874203,2023-09-20T09:55:59.000Z,en_us,1,hr_reviewtext,queued_for_lang_detect,leisure,996191,0,dynamic_collection,1,Found roaches in the room and it was generally a dump..,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Morbi maximus rutrum eros ut porta. Vestibulum at accumsan metus, sit amet dapibus mi. Sed dictum velit nec consequat tincidunt. Mauris venenatis eleifend accumsan. Aenean eget ex elementum, ornare sem vitae, semper enim. Sed eu efficitur tellus. Sed interdum arcu ac nunc.",Health and Safety - Ref >> Pest-Control,,2.0,
english,650a929f01262c6c3a000814,42,2023-09-20,not specified,15385245068,3,partner,604207317,english,142,61526607,5406982447,hotel 7,4,ex,3.0,2023-09-20,feedback,11:00,contentful,2,650a929f01262c6c3a000814,1695195971930,2023-09-20,115127,-2.5,54,1695195971580,2,17,contentful,9143957959400,8234862465,2023-09-20T06:35:11.000Z,en_ca,2,hr_reviewtext,queued_for_lang_detect,both business/leisure,17724,0,dynamic_collection,1,"We also did not feel safe, especially after one of the guests got mugged in the elevator.","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Morbi maximus rutrum eros ut porta. Vestibulum at accumsan metus, sit amet dapibus mi. Sed dictum velit nec consequat tincidunt. Mauris venenatis eleifend accumsan. Aenean eget ex elementum, ornare sem vitae, semper enim. Sed eu efficitur tellus. Sed interdum arcu ac nunc.",Health and Safety - Ref >> Lifts,,,
english,650b4ff40d0e354add0b61b5,21,2023-09-20,not specified,15385289329,0,,1110836166,english,119,61539326,5421901446,hotel 8,4,expedia,2.0,2023-09-20,feedback,01:00,contentful,2,650b4ff40d0e354add0b61b5,1695243947751,2023-09-20,95434,-2.25,0,1695243947477,2,21,contentful,9136211010354,8234955215,2023-09-20T20:03:00.000Z,en_ca,2,hr_reviewtext,queued_for_lang_detect,leisure,1154628,0,dynamic_collection,1,Pool was never cleaned Shuffleboard full of sand and water No lighting in hallway at night unsafe No lighting at pool,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Morbi maximus rutrum eros ut porta. Vestibulum at accumsan metus, sit amet dapibus mi. Sed dictum velit nec consequat tincidunt. Mauris venenatis eleifend accumsan. Aenean eget ex elementum, ornare sem vitae, semper enim. Sed eu efficitur tellus. Sed interdum arcu ac nunc.",Health and Safety - Ref >> Pool Safety,,,
english,650a1a922e6cb12c43b97c51,279,2023-09-19,not specified,15385224336,1,partner,314785277,english,448,61520043,5400529447,hotel 9,1,ex,2.0,2023-09-19,feedback,03:00,contentful,1,650a1a922e6cb12c43b97c51,1695167323528,2023-09-19,200904418,-2.0,327,1695167322235,1,22,contentful,9143872998031,8234824453,2023-09-19T22:02:58.000Z,en_us,1,hr_reviewtext,queued_for_lang_detect,leisure,10057288,0,dynamic_collection,1,"The next morning, we had noticed there were some bugs in the room, maybe not roaches but they were larger and concerning.","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Morbi maximus rutrum eros ut porta. Vestibulum at accumsan metus, sit amet dapibus mi. Sed dictum velit nec consequat tincidunt. Mauris venenatis eleifend accumsan. Aenean eget ex elementum, ornare sem vitae, semper enim. Sed eu efficitur tellus. Sed interdum arcu ac nunc.",Health and Safety - Ref >> Pest-Control,,,
english,650a2d58db4f6e19c7a187a8,180,2023-09-19,not specified,15385226982,1,,133123277,english,755,61521308,5401392446,hotel 10,-1,hotels,1.0,2023-09-19,feedback,04:00,contentful,1,650a2d58db4f6e19c7a187a8,1695170386507,2023-09-20,96355,-2.0,700,1695170385598,1,7,contentful,9002384571501,8234829738,2023-09-19T23:23:04.000Z,en_us,1,hr_reviewtext,queued_for_lang_detect,,67407,3,dynamic_collection,3,showed the lady at the desk the pictures of the roaches,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Morbi maximus rutrum eros ut porta. Vestibulum at accumsan metus, sit amet dapibus mi. Sed dictum velit nec consequat tincidunt. Mauris venenatis eleifend accumsan. Aenean eget ex elementum, ornare sem vitae, semper enim. Sed eu efficitur tellus. Sed interdum arcu ac nunc.",Health and Safety - Ref >> Pest-Control,,,nasty
